batch,p_batch,harvest_from,harvest_to,packaging_from,packaging_to
CJ1024,,20.01.2025,20.01.2025,03.03.2025,03.03.2025
GG1024,,20.01.2025,20.01.2025,11.03.2025,11.03.2025
OPM1024,,21.01.2025,21.01.2025,24.04.2025,25.04.2025
BG1024,,21.01.2025,21.01.2025,07.03.2025,07.03.2025
BSS1024,,22.01.2025,22.01.2025,04.03.2025,04.03.2025
HPA1024,,22.01.2025,22.01.2025,11.04.2025,11.04.2025
GG1024_01,P050092,17.03.2025,18.03.2025,31.07.2025,05.08.2025
GP0824_01,P050102,20.03.2025,21.03.2025,05.08.2025,07.08.2025
OMP1024_01,P050042,26.03.2025,27.03.2025,20.06.2025,20.06.2025
MB0824_04,P050032,02.04.2025,03.04.2025,16.06.2025,19.06.2025
GG1024_02,P050012,14.04.2025,15.04.2025,11.06.2025,16.06.2025
GP0824_02,P050022,22.04.2025,23.04.2025,03.06.2025,11.06.2025
HPA1024_01,P050052,27.05.2025,28.05.2025,27.06.2025,04.07.2025
OPM1024_02,P050062,29.05.2025,30.05.2025,04.07.2025,10.07.2025
BSS1024_01/1,P050122,04.06.2025,05.06.2025,01.09.2025,09.09.2025
BSS1024_01/2,P050142,— not given —,— not given —,30.09.2025,30.09.2025
GP0824_03,P050072,09.06.2025,10.06.2025,14.07.2025,17.07.2025
OPM1024_03,P050082,01.07.2025,02.07.2025,22.07.2025,30.07.2025
MB0824_05,P050112,08.07.2025,09.07.2025,25.08.2025,31.08.2025
OPM052501,P050132,11.08.2025,13.08.2025,09.09.2025,15.09.2025
GP052501,P050152,— not given —,— not given —,25.09.2025,25.09.2025
CJ052501/01,P050162,20.08.2025,20.08.2025,30.09.2025,01.10.2025
CJ052501/02,P050172,20.08.2025,20.08.2025,01.10.2025,02.10.2025
HPA052501,P050182,21.08.2025,23.08.2025,03.10.2025,09.10.2025
BSS052501,P050192,01.09.2025,03.09.2025,10.10.2025,21.10.2025
GP062501,P050202,15.09.2025,17.09.2025,30.10.2025,07.11.2025
SC062501,P050242,17.09.2025,17.09.2025,27.11.2025,27.11.2025
GOG062501,P050232,17.09.2025,17.09.2025,27.11.2025,27.11.2025
CJ062501/1,P050222,23.09.2025,23.09.2025,24.11.2025,25.11.2025
CJ062501/2,P050212,23.09.2025,24.09.2025,18.11.2025,24.11.2025
CJ072501,P050252,27.10.2025,27.10.2025,27.11.2025,28.11.2025
PM072501,P050272,27.10.2025,27.10.2025,02.12.2025,03.12.2025
WC072501,P050262,27.10.2025,28.10.2025,01.12.2025,01.12.2025
CLE072501,P050282,28.10.2025,28.10.2025,03.12.2025,04.12.2025
GP072501/1,P050292,11.11.2025,13.11.2025,15.12.2025,21.12.2025
GP072501/2,P050302,13.11.2025,13.11.2025,22.12.2025,22.12.2025
GP082501/1,P050312,19.11.2025,20.11.2025,23.12.2025,26.12.2025
GP082501/2,P050322,20.11.2025,20.11.2025,26.12.2025,26.12.2025
WC082501,P060012,09.12.2025,09.12.2025,13.01.2026,14.01.2026
CJ082501/1,P060022,09.12.2025,10.12.2025,16.01.2026,16.01.2026
CJ082501/2,P060032,10.12.2025,10.12.2025,29.01.2026,29.01.2026
PM092501,P060062,11.12.2025,11.12.2025,30.01.2026,30.01.2026
AB092501,P060052,11.12.2025,11.12.2025,30.01.2026,30.01.2026
SJ0925021,P060082,11.12.2025,12.12.2025,02.02.2026,02.02.2026
CJ092501,P060072,12.12.2025,12.12.2025,02.02.2026,02.02.2026
