batch_key,spellings,as_written,sources
AB092501,1,AB092501,certificate | gap analysis | register | scan filename
BG1024,2,BG 1024 | BG1024,certificate | gap analysis | register | scan filename
BSS052501,2,BSS 052501 | BSS052501,certificate | gap analysis | register | scan filename
BSS1024,2,BSS 1024 | BSS1024,certificate | gap analysis | register | scan filename
BSS1024/1,2,BSS 1024-01 | BSS1024_01,certificate | gap analysis | register
BSS10240/1,1,BSS10240_01,scan filename
CC112501,1,CC112501,certificate | gap analysis | register
CJ052501/1,3,CJ 052501/1 | CJ052501-1 | CJ052501/1,certificate | gap analysis | register | scan filename
CJ052501/2,3,CJ 052501/2 | CJ052501-2 | CJ052501/2,certificate | gap analysis | register | scan filename
CJ0602501/2,1,CJ0602501-2,scan filename
CJ062501/1,3,CJ 062501/1 | CJ062501-1 | CJ062501/1,certificate | gap analysis | register | scan filename
CJ062501/2,3,CJ 062501/2 | CJ062501-2 | CJ062501/2,certificate | gap analysis | register
CJ072501,2,CJ 072501 | CJ072501,certificate | gap analysis | register | scan filename
CJ082501/1,2,CJ082501-1 | CJ082501/1,certificate | gap analysis | register | scan filename
CJ082501/2,2,CJ082501-2 | CJ082501/2,certificate | gap analysis | register | scan filename
CJ092501,1,CJ092501,certificate | gap analysis | register | scan filename
CJ1024,2,CJ 1024 | CJ1024,certificate | gap analysis | register | scan filename
CLE072501,1,CLE072501,certificate | gap analysis | register | scan filename
FB012601,1,FB012601,register
FB012601/1,1,FB012601/1,certificate | gap analysis
FB012603,1,FB012603,certificate | gap analysis | register
FB012603V,1,FB012603V,certificate | gap analysis | register
FB032601,1,FB032601,certificate | gap analysis | register
FB112501,1,FB112501,certificate | gap analysis | register
GG012601,1,GG012601,certificate | gap analysis | register
GG012603,1,GG012603,certificate | gap analysis | register
GG032601,1,GG032601,certificate | gap analysis | register
GG1024,1,GG1024,gap analysis | scan filename
GG1024/1,3,GG 1024_01 | GG1024-01 | GG1024_01,certificate | gap analysis | register | scan filename
GG1024/2,3,GG 1024_02 | GG1024-02 | GG1024_02,certificate | gap analysis | register | scan filename
GG112501,1,GG112501,certificate | gap analysis | register
GP052501,2,GP 052501 | GP052501,certificate | gap analysis | register | scan filename
GP062501,2,GP 062501 | GP062501,certificate | gap analysis | register | scan filename
GP072501/1,3,GP 072501/1 | GP072501-1 | GP072501/1,certificate | gap analysis | register | scan filename
