Tranche	Batch	P lot	Strain	Determination	State	Document to cite	Issued	Laboratory	Where the document is	Blocked: document not issued	What the document prints	Other documents on file that also carry it
1	BG1024	—	Blue Gelato	1 Identification A — appearance	CITED	iCoA-PP_26-003	07.03.2025	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	BG1024	—	Blue Gelato	2 Identification B — microscopy	CITED	iCoA-PP_26-003	07.03.2025	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	BG1024	—	Blue Gelato	3 Identification C — HPLC	CITED	ППК25050	26.02.2025	CNP	in eCoA_DATABASE		identity by the HPLC cannabinoid profile on this certificate	197-1-K/26
1	BG1024	—	Blue Gelato	4 Assay — Total Δ⁹-THC	CITED	ППК25050	26.02.2025	CNP	in eCoA_DATABASE		0.90 %; 23.83 %; 21.80 %	197-1-K/26
1	BG1024	—	Blue Gelato	5 Assay — Total CBD	CITED	ППК25050	26.02.2025	CNP	in eCoA_DATABASE		0.05 %; ND %; 0.04 %	197-1-K/26
1	BG1024	—	Blue Gelato	6 Total CBN	CITED	ППК25050	26.02.2025	CNP	in eCoA_DATABASE		0.02 %	197-1-K/26
1	BG1024	—	Blue Gelato	7 Foreign matter	CITED	iCoA-PP_26-003	07.03.2025	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	BG1024	—	Blue Gelato	8 Loss on drying	CITED	ППК25050	26.02.2025	CNP	in eCoA_DATABASE		5.73 %	
1	BG1024	—	Blue Gelato	9 Microbiological purity	CITED	163-0271-25	24.02.2025	IJZ-MB	in eCoA_DATABASE		1,6 x 10⁴ CFU/g; 1 x 10⁴ CFU/g; < 10² и > 10 CFU/g; Одговара; Одговара	
1	BG1024	—	Blue Gelato	10 Mycotoxins	CITED	752-2025	27.02.2025	IJZ	in eCoA_DATABASE		< 2 µg/kg	197-1-M/26
1	BG1024	—	Blue Gelato	11 Heavy metals	CITED	752-2025	27.02.2025	IJZ	in eCoA_DATABASE		0,01 mg/kg; 0,016 mg/kg(l); 0,014 mg/kg(l); 0,005 mg/kg(l)	
1	BG1024	—	Blue Gelato	12 Pesticide residues	CITED	752-2025	27.02.2025	IJZ	in eCoA_DATABASE		н.д. mg/Kg; н.д. mg/Kg; н.д. mg/kg; н.д. mg/kg(l); н.д. mg/kg(l); н.д. mg/kg(l); н.д. mg/kg(l); н.д. mg/kg(l); н.д. mg/kg(l); н.д. mg/kg(l); н.д. mg/kg(l); н.д. mg/kg(l); н.д. mg/kg(l); н.д. mg/kg(l); н.д. mg/kg(l); н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg;	
1	BSS1024	—	Blue Sunset Sherbet	1 Identification A — appearance	CITED	iCoA-PP_26-002	04.03.2025	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	BSS1024	—	Blue Sunset Sherbet	2 Identification B — microscopy	CITED	iCoA-PP_26-002	04.03.2025	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	BSS1024	—	Blue Sunset Sherbet	3 Identification C — HPLC	CITED	ППК25051	26.02.2025	CNP	in eCoA_DATABASE		identity by the HPLC cannabinoid profile on this certificate	197-2-K/26
1	BSS1024	—	Blue Sunset Sherbet	4 Assay — Total Δ⁹-THC	CITED	ППК25051	26.02.2025	CNP	in eCoA_DATABASE		0.75 %; 23.13 %; 21.03 %	197-2-K/26
1	BSS1024	—	Blue Sunset Sherbet	5 Assay — Total CBD	CITED	ППК25051	26.02.2025	CNP	in eCoA_DATABASE		0.05 %; ND %; 0.04 %	197-2-K/26
1	BSS1024	—	Blue Sunset Sherbet	6 Total CBN	CITED	ППК25051	26.02.2025	CNP	in eCoA_DATABASE		0.02 %	197-2-K/26
1	BSS1024	—	Blue Sunset Sherbet	7 Foreign matter	CITED	iCoA-PP_26-002	04.03.2025	PP	planned, NOT ISSUED (2026-05-15)	YES — the certificate has not been issued	Conforms	
1	BSS1024	—	Blue Sunset Sherbet	8 Loss on drying	CITED	ППК25051	26.02.2025	CNP	in eCoA_DATABASE		5.99 %	
1	BSS1024	—	Blue Sunset Sherbet	9 Microbiological purity	CITED	161-0269-25	24.02.2025	IJZ-MB	in eCoA_DATABASE		1,5 x 10⁴ CFU/g; 2,2 x 10³ CFU/g; < 10² и > 10 CFU/g; Одговара; Одговара	
1	BSS1024	—	Blue Sunset Sherbet	10 Mycotoxins	CITED	751-2025	27.02.2025	IJZ	in eCoA_DATABASE		< 2 µg/kg	197-2-M/26
1	BSS1024	—	Blue Sunset Sherbet	11 Heavy metals	CITED	751-2025	27.02.2025	IJZ	in eCoA_DATABASE		0,081 mg/kg(l); 0,071 mg/kg(l); 0,014 mg/kg(l); 0,014 mg/kg(l)	
1	BSS1024	—	Blue Sunset Sherbet	12 Pesticide residues	CITED	751-2025	27.02.2025	IJZ	in eCoA_DATABASE		н.д. mg/Kg; н.д. mg/Kg; н.д. mg/kg; н.д. mg/kg(l); н.д. mg/kg(l); н.д. mg/kg(l); н.д. mg/kg(l); н.д. mg/kg(l); н.д. mg/kg(l); н.д. mg/kg(l); н.д. mg/kg(l); н.д. mg/kg(l); н.д. mg/kg(l); н.д. mg/kg(l); н.д. mg/kg(l); н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg; н.д. mg/kg;	
1	CC012601/1	P060332	CashCow	1 Identification A — appearance	CITED	iCoA-PP_26-065	22.05.2026	PP	planned, NOT ISSUED (2026-05-27)	YES — the certificate has not been issued	Conforms	
1	CC012601/1	P060332	CashCow	2 Identification B — microscopy	CITED	iCoA-PP_26-065	22.05.2026	PP	planned, NOT ISSUED (2026-05-27)	YES — the certificate has not been issued	Conforms	
1	CC012601/1	P060332	CashCow	3 Identification C — HPLC	CITED	197-6-K-26	07.08.2026	FHM-K	in eCoA_DATABASE		identity by the HPLC cannabinoid profile on this certificate	
1	CC012601/1	P060332	CashCow	4 Assay — Total Δ⁹-THC	CITED	197-6-K-26	07.08.2026	FHM-K	in eCoA_DATABASE		23.29 %w/w	
1	CC012601/1	P060332	CashCow	5 Assay — Total CBD	CITED	197-6-K-26	07.08.2026	FHM-K	in eCoA_DATABASE		< LOQ %w/w	
1	CC012601/1	P060332	CashCow	6 Total CBN	CITED	197-6-K-26	07.08.2026	FHM-K	in eCoA_DATABASE		< LOQ %w/w	
1	CC012601/1	P060332	CashCow	7 Foreign matter	CITED	iCoA-PP_26-065	22.05.2026	PP	planned, NOT ISSUED (2026-05-27)	YES — the certificate has not been issued	Conforms	
