code,date,method,method_line
ППК25050,26.02.2025,DAB,HPLC метод за определување на содржина на канабиноиди и определување на губиток при сушење според монографијата на германската фармакопеја (DAB*) за сув цвет од канабис
ППК25051,26.02.2025,DAB,HPLC метод за определување на содржина на канабиноиди и определување на губиток при сушење според монографија на германската фармакопеја (DAB*) за сув цвет од канабис
ППК25052,26.02.2025,DAB,HPLC метода за определување на содржина на канабиноиди и определување на губиток при сушење според монографија на германската фармакопеја (DAB*) за сув цвет од канабис
ППК25104,17.04.2025,DAB,HPLC метод за определување на содржина на канабиноиди и определување на губиток при сушење според монографија на германската фармакопеја (DAB8) за сув цвет од канабис
ППК25105,17.04.2025,DAB,НРЛС метод за определување на содржини на канабиноиди и определување на губиток при сушење според монографија на германската фармакопеја (DAB^8) за сув цвет од канабис
ППК25117,06.05.2025,DAB,HPLC метод за определување на содржина на канабиноиди и определување на губиток при сушење според монографија на германската фармакопеја (DAB*) за сув цвет од канабис
ППК25118,06.05.2025,DAB,HPLC метод за определување на содржина на канабиноиди и определување на губиток при сушење според монографија на германската фармакопеја (DAB*) за сув цвет од канабис
ППК25139,22.05.2025,DAB,HPLC метод за определување на содржина на канабиноиди и определување на губиток при сушење според монографија на германската фармакопеја (DAB^8) за сув цвет од канабис
ППК25140,22.05.2025,DAB,HPLC метод за определување на содржина на канабиноиди и определување на губиток при сушење според монографија на германската фармакопеја (DAB*) за сув цвет од канабис
ППК25154,24.06.2025,DAB,HPLC метод за определување на содржина на канабиноиди и определување на губиток при сушење според монографија на германската фармакопеја (DAB*) за сув цвет од канабис
ППК25155,24.06.2025,DAB,HPLC метода за определување на содржини на канабиноиди и определување на губиток при сушење според монорафија на германската фармакопеја (DAB*) за сув цвет од канабис
ППК25174,10.07.2025,DAB,HPLC метод за определување на содржина на канабиноиди и определување на губиток при сушење според монографија на германската фармакопеја (DAB*) за сув цвет од канабис
ППК25175,10.07.2025,DAB,HPLC метод за определување на содржина на канабиноиди и определување на губиток при сушење според монографија на германската фармакопеја (DAB*) за сув цвет од канабис
ППК25176,10.07.2025,DAB,HPLC метод за определување на содржина на канабиноиди и определување на губиток при сушење според монографија на германската фармакопеја (DAB*) за сув цвет од канабис
ППК25210,28.07.2025,DAB,HPLC метод за определување на содржина на канабиноиди и определување на губиток при сушење според монографија на германската фармакопеја (DAB*) за сув цвет од канабис
ППК25211,28.07.2025,DAB,HPLC метод за определување на содржина на канабиноиди и определување на губиток при сушење според монографија на германската фармакопеја (DAB*) за сув цвет од канабис
ППК25257,05.09.2025,DAB,HPLC метод за определување на содржина на канабиноиди и определување на губиток при сушење според монографија на германската фармакопеја (DAB*) за сув цвет од канабис
ППК25280,17.09.2025,DAB,HPLC метод за определување на содржина на канабиноиди и определување на губиток при сушење според монографија на германската фармакопејa (DAB*) за сув цвет од канабис
ППК25281,17.09.2025,DAB,HPLC метод за определување на содржина на канабиноиди и определување на губиток при сушење според монографија на германската фармакопеја (DAB*) за сув цвет од канабис
ППК25278,19.09.2025,DAB,HPLC метод за определување на содржина на канабиноиди и определување на губиток при сушење според монографија на германската фармакопеја (DAB*) за сув цвет од канабис
ППК25279,19.09.2025,DAB,HPLC метод за определување на содржина на канабиноиди и определување на губиток при сушење според монографија на германската фармакопеја (DAB*) за сув цвет од канабис
ППК25321,23.10.2025,DAB,HPLC метод за определување на содржина на канабиноиди и определување на губиток при сушење според монографија на германската фармакопеја (DAB*) за сув цвет од канабис
ППК25322,23.10.2025,DAB,HPLC метод за определување на содржина на канабиноиди и определување на губиток при сушење според монографија на германската фармакопеја (DAB*) за сув цвет од канабис
ППК25367,28.11.2025,DAB,HPLC метод за определување на содржина на канабиноиди и определување на губиток при сушење според монографија на германската фармакопеја (DAB*) за сув цвет од канабис
ППК25368,28.11.2025,DAB,HPLC метод за определување на содржина на канабиноиди и определување на губиток при сушење според монографија на германската фармакопеја (DAB*) за сув цвет од канабис
ППК25369,28.11.2025,DAB,HPLC метод за определување на содржина на канабиноиди и определување на губиток при сушење според монографија на германската фармакопеја (DAB*) за сув цвет од канабис
ППК25370,28.11.2025,DAB,HPLC метод за определување на содржина на канабиноиди и определување на губиток при сушење според монографија на германската фармакопеја (DAB*) за сув цвет од канабис
ППК25378,12.12.2025,DAB,HPLC метод за определување на содржина на канабиноиди (2.2.29) и определување на губиток при сушење (2.2.32) според монографија на германската фармакопеја (DAB*) за сув цвет од канабис
ППК25379,12.12.2025,DAB,HPLC метод за определување на содржина на канабиноиди (2.2.29) и определување на губиток при сушење (2.2.32) според монографија на германската фармакопеја (DAB*) за сув цвет од канабис
ППК25380,12.12.2025,DAB,HPLC метод за определување на содржина на канабиноиди (2.2.29) и определување на губиток при сушење (2.2.32) според монографија на германската фармакопеја (DAB*) за сув цвет од канабис
ППК25381,12.12.2025,DAB,HPLC метод за определување на содржина на канабиноиди (2.2.29) и определување на губиток при сушење (2.2.32) според монографија на германската фармакопеја (DAB*) за сув цвет од канабис
ППК26001,21.01.2026,DAB,Одредување на губиток со сушење (2.2.32) и содржина на канабиноиди (2.2.29) според монорафија на германската фармакопеја (DAB*) за сув цвет од канабис
ППК26002,21.01.2026,DAB,Определување на губиток со сушење (2.2.32) и содржина на канабиноиди (2.2.29) според монографија на германската фармакопеја (DAB*) за сув цвет од канабис
ППК26003,21.01.2026,DAB,Определување на губиток со сушење (2.2.32) и содржина на канабиноиди (2.2.29) според монографија на германската фармакопеја (DAB*) за сув цвет од канабис
ППК26004,21.01.2026,DAB,Определување на губиток по сушење (2.2.32) и содржина на канабиноиди (2.2.29) според монографија на германската фармакопеја (DAB*) за сув цвет од канабис
ППК26005,21.01.2026,DAB,Одредување на губиток со сушење (2.2.32) и содржина на канабиноиди (2.2.29) според монографија на германската фармакопеја (DAB*) за сув цвет од канабис
ППК26006,21.01.2026,DAB,Определување на губиток со сушење (2.2.32) и содржина на канабиноиди (2.2.29) според монографија на германската фармакопеја (DAB*) за сув цвет од канабис
ППК26007,21.01.2026,DAB,Определување на губиток со сушење (2.2.32) и содржина на канабиноиди (2.2.29) според монографија на германската фармакопеја (DAB)* за сув цвет од канабис
ППК26008,21.01.2026,DAB,Определување на губиток со сушење (2.2.32) и содржина на канабиноиди (2.2.29) според монографија на германската фармакопеја (DAB*) за сув цвет од канабис
ППК26009,21.01.2026,DAB,Определување на губиток со сушење (2.2.32) и содржина на канабиноиди (2.2.29) според монографија на германската фармакопеја (DAB*) за сув цвет од канабис
ППК26030,05.03.2026,DAB,Одредување на губиток со сушење (2.2.32) и содржина на канабиноиди (2.2.29) според монографијата на германската фармакопеја (DAB*) за сув цвет од канабис
ППК26031,05.03.2026,DAB,Одредување на губиток со сушење (2.2.32) и содржина на канабиноиди (2.2.29) според монографија на германската фармакопеја (DAB*) за сув цвет од канабис
ППК26032,05.03.2026,DAB,Одредување на губиток со сушење (2.2.32) и содржина на канабиноиди (2.2.29) според монографија на германската фармакопеја (DAB*) за сув цвет од канабис
