key,cu_batch,p_batch,series,coq_code,issue_date,rule_date,icoa_ref,icoa_issue_date,issuable
CJ1024|I,CJ1024,N/A — no P batch assigned,initial release,CoQ-PP_26-001,27.05.2026,27.05.2026,iCoA-PP_26-001,15.05.2026,yes
BSS1024|I,BSS1024,N/A — no P batch assigned,initial release,CoQ-PP_26-002,27.05.2026,27.05.2026,iCoA-PP_26-002,15.05.2026,yes
BG1024|I,BG1024,N/A — no P batch assigned,initial release,CoQ-PP_26-003,27.05.2026,27.05.2026,iCoA-PP_26-003,15.05.2026,yes
GG1024|I,GG1024,N/A — no P batch assigned,initial release,CoQ-PP_26-004,27.05.2026,27.05.2026,iCoA-PP_26-004,15.05.2026,yes
HPA1024|I,HPA1024,N/A — no P batch assigned,initial release,CoQ-PP_26-005,27.05.2026,27.05.2026,iCoA-PP_26-005,15.05.2026,yes
OPM1024|I,OPM1024,N/A — no P batch assigned,initial release,CoQ-PP_26-006,27.05.2026,27.05.2026,iCoA-PP_26-006,15.05.2026,yes
P050022|I,GP0824_02,P050022,initial release,CoQ-PP_26-007,27.05.2026,27.05.2026,iCoA-PP_26-007,15.05.2026,yes
P050012|I,GG1024_02,P050012,initial release,CoQ-PP_26-008,27.05.2026,27.05.2026,iCoA-PP_26-008,15.05.2026,yes
P050032|I,MB0824_04,P050032,initial release,CoQ-PP_26-009,27.05.2026,27.05.2026,iCoA-PP_26-009,15.05.2026,yes
P050042|I,OMP1024_01,P050042,initial release,CoQ-PP_26-010,27.05.2026,27.05.2026,iCoA-PP_26-010,15.05.2026,yes
P050052|I,HPA1024_01,P050052,initial release,CoQ-PP_26-011,27.05.2026,27.05.2026,iCoA-PP_26-011,15.05.2026,yes
P050062|I,OPM1024_02,P050062,initial release,CoQ-PP_26-012,27.05.2026,27.05.2026,iCoA-PP_26-012,15.05.2026,yes
P050072|I,GP0824_03,P050072,initial release,CoQ-PP_26-013,27.05.2026,27.05.2026,iCoA-PP_26-013,15.05.2026,yes
P050082|I,OPM1024_03,P050082,initial release,CoQ-PP_26-014,27.05.2026,27.05.2026,iCoA-PP_26-014,15.05.2026,yes
P050092|I,GG1024_01,P050092,initial release,CoQ-PP_26-015,27.05.2026,27.05.2026,iCoA-PP_26-015,15.05.2026,yes
P050102|I,GP0824_01,P050102,initial release,CoQ-PP_26-016,27.05.2026,27.05.2026,iCoA-PP_26-016,15.05.2026,yes
P050112|I,MB0824_05,P050112,initial release,CoQ-PP_26-017,27.05.2026,27.05.2026,iCoA-PP_26-017,15.05.2026,yes
P050122|I,BSS1024_01/1,P050122,initial release,CoQ-PP_26-018,27.05.2026,27.05.2026,iCoA-PP_26-018,15.05.2026,yes
P050132|I,OPM052501,P050132,initial release,CoQ-PP_26-019,27.05.2026,27.05.2026,iCoA-PP_26-019,15.05.2026,yes
P050152|I,GP052501,P050152,initial release,CoQ-PP_26-020,27.05.2026,27.05.2026,iCoA-PP_26-020,15.05.2026,yes
P050142|I,BSS1024_01/2,P050142,initial release,CoQ-PP_26-021,27.05.2026,27.05.2026,iCoA-PP_26-021,15.05.2026,yes
P050162|I,CJ052501/01,P050162,initial release,CoQ-PP_26-022,27.05.2026,27.05.2026,iCoA-PP_26-022,15.05.2026,yes
P050172|I,CJ052501/02,P050172,initial release,CoQ-PP_26-023,27.05.2026,27.05.2026,iCoA-PP_26-023,15.05.2026,yes
