CU batch	P batch	Strain	Status before	Parameter	Now covered by
CC012601/1	P060332		❌ 4 MISSING	#9 Microbiological purity	361/0691/26 (01.06.2026) [IJZ-MB]
FB012602*	P060352	Fat Bastard	❌ 4 MISSING	#9 Microbiological purity	366/0696/26 (01.06.2026) [IJZ-MB]
FB012603	P060432	Fat Bastard	⚠ 3 MISSING	#10 Mycotoxins	3661/ 2026 (22.06.2026) [IJZ]
FB012603	P060432	Fat Bastard	⚠ 3 MISSING	#11 Heavy metals	3661/ 2026 (22.06.2026) [IJZ]
FB012603	P060432	Fat Bastard	⚠ 3 MISSING	#12 Pesticide residues	3661/ 2026 (22.06.2026) [IJZ]
FB012603V	P060392	Fat Bastard	⚠ 3 MISSING	#10 Mycotoxins	3663/2026 (22.06.2026) [IJZ]
FB012603V	P060392	Fat Bastard	⚠ 3 MISSING	#11 Heavy metals	3663/2026 (22.06.2026) [IJZ]
FB012603V	P060392	Fat Bastard	⚠ 3 MISSING	#12 Pesticide residues	3663/2026 (22.06.2026) [IJZ]
FB032601	P060452	Fat Bastard	❌ 4 MISSING	#9 Microbiological purity	433/0847/26 (10.07.2026) [IJZ-MB]; 434/0848/26 (10.07.2026) [IJZ-MB]
FB032601	P060452	Fat Bastard	❌ 4 MISSING	#10 Mycotoxins	3924/2026 (20.07.2026) [IJZ]
FB032601	P060452	Fat Bastard	❌ 4 MISSING	#11 Heavy metals	3924/2026 (20.07.2026) [IJZ]
FB032601	P060452	Fat Bastard	❌ 4 MISSING	#12 Pesticide residues	3924/2026 (20.07.2026) [IJZ]
GG012603	P060402	Gorilla Glue	⚠ 3 MISSING	#9 Microbiological purity	404/0787/26 (24.06.2026) [IJZ-MB]
GG012603	P060402	Gorilla Glue	⚠ 3 MISSING	#11 Heavy metals	3659/2026 (22.06.2026) [IJZ]
GG012603	P060402	Gorilla Glue	⚠ 3 MISSING	#12 Pesticide residues	3659/2026 (22.06.2026) [IJZ]
GG032601	P060462	Gorilla Glue	❌ 4 MISSING	#10 Mycotoxins	3925/2026 (20.07.2026) [IJZ]
GG032601	P060462	Gorilla Glue	❌ 4 MISSING	#12 Pesticide residues	3925/2026 (20.07.2026) [IJZ]
GG1024	— not assigned —	Gorilla Glue	❌ 9 MISSING	#3 Identification C	ППК25008 (29.01.2025) [CNP]
GG1024	— not assigned —	Gorilla Glue	❌ 9 MISSING	#4 Total Δ⁹-THC	ППК25008 (29.01.2025) [CNP]
GG1024	— not assigned —	Gorilla Glue	❌ 9 MISSING	#5 Total CBD	ППК25008 (29.01.2025) [CNP]
GG1024	— not assigned —	Gorilla Glue	❌ 9 MISSING	#8 Loss on drying	ППК25008 (29.01.2025) [CNP]
GG1024	— not assigned —	Gorilla Glue	❌ 9 MISSING	#9 Microbiological purity	166/0274/25 (24.02.2025) [IJZ-MB]
GG1024	— not assigned —	Gorilla Glue	❌ 9 MISSING	#10 Mycotoxins	748/2025 (04.03.2025) [IJZ]
GG1024	— not assigned —	Gorilla Glue	❌ 9 MISSING	#11 Heavy metals	748/2025 (04.03.2025) [IJZ]
GG1024	— not assigned —	Gorilla Glue	❌ 9 MISSING	#12 Pesticide residues	748/2025 (04.03.2025) [IJZ]
GRC102501	P060142 / P060182		⚠ 3 MISSING	#11 Heavy metals	1060/2026 (09.03.2026) [IJZ]; 328/2026 (11.02.2026) [IJZ]
GRC102501	P060142 / P060182		⚠ 3 MISSING	#12 Pesticide residues	1060/2026 (09.03.2026) [IJZ]; 328/2026 (11.02.2026) [IJZ]
J31102501	P060152	Jokerz 31	⚠ 3 MISSING	#9 Microbiological purity	133/0230/26 (06.03.2026) [IJZ-MB]
J31102501	P060152	Jokerz 31	⚠ 3 MISSING	#11 Heavy metals	1056/2026 (09.03.2026) [IJZ]
J31102501	P060152	Jokerz 31	⚠ 3 MISSING	#12 Pesticide residues	1056/2026 (09.03.2026) [IJZ]
J31112501	P060202	Jokerz 31	⚠ 3 MISSING	#10 Mycotoxins	1057/2026 (09.03.2026) [IJZ]
J31112501	P060202	Jokerz 31	⚠ 3 MISSING	#11 Heavy metals	1057/2026 (09.03.2026) [IJZ]
J31112501	P060202	Jokerz 31	⚠ 3 MISSING	#12 Pesticide residues	1057/2026 (09.03.2026) [IJZ]
JD012603	P060362 / P060412 / P060422		❌ 4 MISSING	#9 Microbiological purity	365/0695/26 (01.06.2026) [IJZ-MB]
JD012603	P060362 / P060412 / P060422		❌ 4 MISSING	#9 Microbiological purity	405/0788/26 (24.06.2026) [IJZ-MB]
JD012603	P060362 / P060412 / P060422		❌ 4 MISSING	#9 Microbiological purity	406/0789/26 (24.06.2026) [IJZ-MB]
JD012603	P060362 / P060412 / P060422		❌ 4 MISSING	#10 Mycotoxins	3660/2026 (22.06.2026) [IJZ]
JD012603	P060362 / P060412 / P060422		❌ 4 MISSING	#10 Mycotoxins	3662/2026 (22.06.2026) [IJZ]
JD012603	P060362 / P060412 / P060422		❌ 4 MISSING	#11 Heavy metals	3660/2026 (22.06.2026) [IJZ]
JD012603	P060362 / P060412 / P060422		❌ 4 MISSING	#11 Heavy metals	3662/2026 (22.06.2026) [IJZ]
JD012603	P060362 / P060412 / P060422		❌ 4 MISSING	#12 Pesticide residues	3660/2026 (22.06.2026) [IJZ]
JD012603	P060362 / P060412 / P060422		❌ 4 MISSING	#12 Pesticide residues	3662/2026 (22.06.2026) [IJZ]
