code	round	p_lot	scope	citing_coqs
iCoA-PP_26-001	initial	—	1 2 7	CoQ-PP_26-001
iCoA-PP_26-002	initial	BSS1024	1 2 7	CoQ-PP_26-002
iCoA-PP_26-003	initial	BG1024	1 2 7	CoQ-PP_26-003
iCoA-PP_26-004	initial	GG1024	1 2 7	CoQ-PP_26-004
iCoA-PP_26-005	initial	HPA1024	1 2 4 5 7 9.1 9.2 9.3 9.4 9.5 10.2 11.1 11.2 11.3 11.4 12	CoQ-PP_26-005,CoQ-PP_26-097
iCoA-PP_26-006	initial	OPM1024	1 2 4 5 7 9.1 9.2 9.3 9.4 9.5 10.2 11.1 11.2 11.3 11.4 12	CoQ-PP_26-006,CoQ-PP_26-101
iCoA-PP_26-007	initial	P050022	1 2 7	CoQ-PP_26-007
iCoA-PP_26-008	initial	P050012	1 2 7	CoQ-PP_26-008
iCoA-PP_26-009	initial	P050032	1 2 7	CoQ-PP_26-009
iCoA-PP_26-010	initial	P050052	1 2 7	CoQ-PP_26-011
iCoA-PP_26-011	initial	P050062	1 2 7	CoQ-PP_26-012
iCoA-PP_26-012	initial	P050072	1 2 7	CoQ-PP_26-013
iCoA-PP_26-013	initial	P050082	1 2 7	CoQ-PP_26-014
iCoA-PP_26-014	initial	P050092	1 2 7	CoQ-PP_26-015
iCoA-PP_26-015	initial	P050102	1 2 7	CoQ-PP_26-016
iCoA-PP_26-016	initial	P050112	1 2 7	CoQ-PP_26-017
iCoA-PP_26-017	initial	P050132	1 2 7	CoQ-PP_26-019
iCoA-PP_26-018	initial	P050152	1 2 7	CoQ-PP_26-020
iCoA-PP_26-019	initial	P050142	1 2 7	CoQ-PP_26-021
iCoA-PP_26-020	initial	P050162	1 2 7	CoQ-PP_26-022
iCoA-PP_26-021	initial	P050172	1 2 7	CoQ-PP_26-023
iCoA-PP_26-022	initial	P050182	1 2 7	CoQ-PP_26-024
iCoA-PP_26-023	initial	P050192	1 2 4 5 7 8	CoQ-PP_26-025,CoQ-PP_26-107
iCoA-PP_26-024	initial	P050202	1 2 4 5 7 8	CoQ-PP_26-026,CoQ-PP_26-149
iCoA-PP_26-025	initial	P050212	1 2 7	CoQ-PP_26-027
iCoA-PP_26-026	initial	P050222	1 2 7	CoQ-PP_26-028
iCoA-PP_26-027	initial	P050252	1 2 7	CoQ-PP_26-029
iCoA-PP_26-028	initial	P050262	1 2 7	CoQ-PP_26-030
iCoA-PP_26-029	initial	P050272	1 2 7	CoQ-PP_26-031
iCoA-PP_26-030	initial	P050282	1 2 7	CoQ-PP_26-032
iCoA-PP_26-031	initial	P050292	1 2 7	CoQ-PP_26-033
iCoA-PP_26-032	initial	P050302	1 2 7	CoQ-PP_26-034
iCoA-PP_26-033	initial	P050312	1 2 7	CoQ-PP_26-035
iCoA-PP_26-034	initial	P050322	1 2 7	CoQ-PP_26-036
iCoA-PP_26-035	initial	P060012	1 2 7	CoQ-PP_26-037
iCoA-PP_26-036	initial	P060022	1 2 7	CoQ-PP_26-038
iCoA-PP_26-037	initial	P060032	1 2 7	CoQ-PP_26-039
iCoA-PP_26-038	initial	P060042	1 2 7	CoQ-PP_26-040
iCoA-PP_26-039	initial	P060052	1 2 7	CoQ-PP_26-041
iCoA-PP_26-040	initial	P060062	1 2 7	CoQ-PP_26-042
iCoA-PP_26-041	initial	P060072	1 2 7	CoQ-PP_26-043
iCoA-PP_26-042	initial	P060082	1 2 7	CoQ-PP_26-044
iCoA-PP_26-043	initial	P060092	1 2 7	CoQ-PP_26-045
iCoA-PP_26-044	initial	P060102	1 2 7	CoQ-PP_26-046
iCoA-PP_26-045	initial	P060112	1 2 7	CoQ-PP_26-047
iCoA-PP_26-046	initial	P060122	1 2 7	CoQ-PP_26-048
iCoA-PP_26-047	initial	P060132	1 2 7	CoQ-PP_26-049
iCoA-PP_26-048	initial	P060142	1 2 7	CoQ-PP_26-050
iCoA-PP_26-052	initial	P060152	1 2 7	CoQ-PP_26-051
iCoA-PP_26-053	initial	—	1 2 7	CoQ-PP_26-052
iCoA-PP_26-054	initial	P060172	1 2 7	CoQ-PP_26-053
iCoA-PP_26-055	initial	P060182	1 2 7	CoQ-PP_26-054
iCoA-PP_26-056	initial	—	1 2 7	CoQ-PP_26-055
iCoA-PP_26-057	initial	—	1 2 7	CoQ-PP_26-056
iCoA-PP_26-058	initial	P060212	1 2 7	CoQ-PP_26-057
iCoA-PP_26-059	initial	—	1 2 7	CoQ-PP_26-058
iCoA-PP_26-060	initial	P060232	1 2 7	CoQ-PP_26-059
iCoA-PP_26-061	initial	P060242	1 2 7	CoQ-PP_26-060
iCoA-PP_26-062	initial	—	1 2 7	CoQ-PP_26-061
iCoA-PP_26-070	initial	—	1 2 7	CoQ-PP_26-062
