icoa	coq	cu	p	strain	dir	series	tested	issued	conforms	source	path
iCoA-PP_26-001	CoQ-PP_26-001	CJ1024		Cap Junky	INITIAL	initial release	03.03.2025	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-001_CJ1024_CJ_Cap_Junky_Initial.html
iCoA-PP_26-002	CoQ-PP_26-002	BSS1024	BSS1024	Blue Sunset Sherbet	INITIAL	initial release	04.03.2025	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-002_BSS1024_BSS_Blue_Sunset_Sherbet_Initial.html
iCoA-PP_26-003	CoQ-PP_26-003	BG1024	BG1024	Blue Gelato	INITIAL	initial release	07.03.2025	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-003_BG1024_BG_Blue_Gelato_Initial.html
iCoA-PP_26-004	CoQ-PP_26-004	GG1024	GG1024	Gorilla Glue	INITIAL	initial release	11.03.2025	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-004_GG1024_GG_Gorilla_Glue_Initial.html
iCoA-PP_26-005	CoQ-PP_26-005	HPA1024	HPA1024	High Pro Amnesia	INITIAL	initial release	11.04.2025	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-005_HPA1024_HPA_High_Pro_Amnesia_Initial.html
iCoA-PP_26-006	CoQ-PP_26-006	OPM1024	OPM1024	Orange Punch Mimosa	INITIAL	initial release	24.04.2025	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-006_OPM1024_OPM_Orange_Punch_Mimosa_Initial.html
iCoA-PP_26-007	CoQ-PP_26-007	GP0824_02	P050022	Grape Pie	INITIAL	initial release	03.06.2025	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-007_P050022_GP_Grape_Pie_Initial.html
iCoA-PP_26-008	CoQ-PP_26-008	GG1024_02	P050012	Gorilla Glue	INITIAL	initial release	11.06.2025	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-008_P050012_GG_Gorilla_Glue_Initial.html
iCoA-PP_26-009	CoQ-PP_26-009	MB0824_04	P050032	Motor Breath	INITIAL	initial release	16.06.2025	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-009_P050032_MB_Motor_Breath_Initial.html
iCoA-PP_26-010	CoQ-PP_26-010	OMP1024_01	P050042	Orange Punch Mimosa	INITIAL	initial release		03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-010_P050042_OPM_Orange_Punch_Mimosa_Initial.html
iCoA-PP_26-011	CoQ-PP_26-011	HPA1024_01	P050052	High Pro Amnesia	INITIAL	initial release	27.06.2025	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-011_P050052_HPA_High_Pro_Amnesia_Initial.html
iCoA-PP_26-012	CoQ-PP_26-012	OPM1024_02	P050062	Orange Punch Mimosa	INITIAL	initial release	04.07.2025	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-012_P050062_OPM_Orange_Punch_Mimosa_Initial.html
iCoA-PP_26-013	CoQ-PP_26-013	GP0824_03	P050072	Grape Pie	INITIAL	initial release	14.07.2025	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-013_P050072_GP_Grape_Pie_Initial.html
iCoA-PP_26-014	CoQ-PP_26-014	OPM1024_03	P050082	Orange Punch Mimosa	INITIAL	initial release	22.07.2025	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-014_P050082_OPM_Orange_Punch_Mimosa_Initial.html
iCoA-PP_26-015	CoQ-PP_26-015	GG1024_01	P050092	Gorilla Glue	INITIAL	initial release	31.07.2025	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-015_P050092_GG_Gorilla_Glue_Initial.html
iCoA-PP_26-016	CoQ-PP_26-016	GP0824_01	P050102	Grape Pie	INITIAL	initial release	05.08.2025	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-016_P050102_GP_Grape_Pie_Initial.html
iCoA-PP_26-017	CoQ-PP_26-017	MB0824_05	P050112	Motor Breath	INITIAL	initial release	25.08.2025	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-017_P050112_MB_Motor_Breath_Initial.html
iCoA-PP_26-018	CoQ-PP_26-018	BSS1024_01	P050122	Blue Sunset Sherbet	INITIAL	initial release		03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-018_P050122_BSS_Blue_Sunset_Sherbet_Initial.html
iCoA-PP_26-019	CoQ-PP_26-019	OPM052501	P050132	Orange Punch Mimosa	INITIAL	initial release	09.09.2025	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-019_P050132_OPM_Orange_Punch_Mimosa_Initial.html
iCoA-PP_26-020	CoQ-PP_26-020	GP052501	P050152	Grape Pie	INITIAL	initial release	25.09.2025	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-020_P050152_GP_Grape_Pie_Initial.html
iCoA-PP_26-021	CoQ-PP_26-021	BSS1024_01/2	P050142	Blue Sunset Sherbet	INITIAL	initial release	30.09.2025	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-021_P050142_BSS_Blue_Sunset_Sherbet_Initial.html
iCoA-PP_26-022	CoQ-PP_26-022	CJ052501/01	P050162	Cap Junky	INITIAL	initial release	30.09.2025	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-022_P050162_CJ_Cap_Junky_Initial.html
iCoA-PP_26-023	CoQ-PP_26-023	CJ052501-2	P050172	Cap Junky	INITIAL	initial release	01.10.2025	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-023_P050172_CJ_Cap_Junky_Initial.html
iCoA-PP_26-024	CoQ-PP_26-024	HPA052501	P050182	High Pro Amnesia	INITIAL	initial release	03.10.2025	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-024_P050182_HPA_High_Pro_Amnesia_Initial.html
iCoA-PP_26-025	CoQ-PP_26-025	BSS052501	P050192	Blue Sunset Sherbet	INITIAL	initial release	10.10.2025	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-025_P050192_BSS_Blue_Sunset_Sherbet_Initial.html
iCoA-PP_26-026	CoQ-PP_26-026	GP062501	P050202	Grape Pie	INITIAL	initial release	30.10.2025	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-026_P050202_GP_Grape_Pie_Initial.html
iCoA-PP_26-027	CoQ-PP_26-027	CJ062501-2	P050212	Cap Junky	INITIAL	initial release	18.11.2025	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-027_P050212_CJ_Cap_Junky_Initial.html
iCoA-PP_26-028	CoQ-PP_26-028	CJ062501/1	P050222	Cap Junky	INITIAL	initial release	24.11.2025	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-028_P050222_CJ_Cap_Junky_Initial.html
iCoA-PP_26-029	CoQ-PP_26-029	CJ072501	P050252	Cap Junky	INITIAL	initial release	27.11.2025	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-029_P050252_CJ_Cap_Junky_Initial.html
iCoA-PP_26-030	CoQ-PP_26-030	WC072501	P050262	Wedding Crusher	INITIAL	initial release	01.12.2025	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-030_P050262_WC_Wedding_Crusher_Initial.html
iCoA-PP_26-031	CoQ-PP_26-031	PM072501	P050272	Permanent Marker	INITIAL	initial release	02.12.2025	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-031_P050272_PM_Permanent_Marker_Initial.html
iCoA-PP_26-032	CoQ-PP_26-032	CLE072501	P050282	Clemosa A Bud	INITIAL	initial release	03.12.2025	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-032_P050282_CLE_Clemosa_A_Bud_Initial.html
iCoA-PP_26-033	CoQ-PP_26-033	GP072501-1	P050292	Grape Pie	INITIAL	initial release	15.12.2025	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-033_P050292_GP_Grape_Pie_Initial.html
iCoA-PP_26-034	CoQ-PP_26-034	GP072501/2	P050302	Grape Pie	INITIAL	initial release	22.12.2025	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-034_P050302_GP_Grape_Pie_Initial.html
iCoA-PP_26-035	CoQ-PP_26-035	GP082501/1	P050312	Grape Pie	INITIAL	initial release	23.12.2025	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-035_P050312_GP_Grape_Pie_Initial.html
iCoA-PP_26-036	CoQ-PP_26-036	GP082501/2	P050322	Grape Pie	INITIAL	initial release	26.12.2025	03.06.2026	conforms	in-house	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-036_P050322_GP_Grape_Pie_Initial.html
