seq,release_date,register_ref,batch,strain,icoa_scope,ident_A,ident_B,ident_C,foreign_matter,coq_initial,coq_reissue,reissue_basis_date,outsourced_outstanding,in_register,note
1,23.01.2025,79,HPA1024,HighProAmnesia,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,yes,10.08.2026,microbiology; physchem,Y,
2,27.02.2025,1,BG1024,Blue Gelato,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,yes,10.08.2026,,Y,
3,27.02.2025,2,BSS1024,Blue Sunset Sherbet,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,yes,10.08.2026,,Y,
4,27.02.2025,3,CJ1024,Cup Junky,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,,,,Y,
5,17.04.2025,4,GG1024_01,Gorilla Glue,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,yes,10.08.2026,,Y,
6,17.04.2025,5,GP0824_01,Grape Pie,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,,,,Y,
7,23.04.2025,80,OPM1024,OrangePunchMimosa,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,yes,10.08.2026,microbiology; physchem,Y,
8,07.05.2025,6,MB0824_04,Motor Breath,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,,,,Y,
9,07.05.2025,7,OPM1024_01,Orange Punch Mimosa,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,,,microbiology,Y,
10,30.05.2025,8,GG1024_02,Gorilla Glue,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,,,,Y,
11,24.06.2025,9,HPA1024_01,High Pro Amnesia,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,yes,10.08.2026,,Y,
12,24.06.2025,10,OPM1024_02,Orange Punch Mimosa,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,yes,10.08.2026,,Y,
13,10.07.2025,13,BSS1024_01,Blue Sunset Sherbet,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,,,,Y,
14,29.07.2025,14,OPM1024_03,Orange Punch Mimosa,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,,,,Y,
15,29.07.2025,15,MB0824_05,Motor Breath,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,,,,Y,
16,05.09.2025,16,OPM052501,Orange Punch Mimosa,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,,,,Y,
17,17.09.2025,17,CJ052501-1,Cup Junky,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,yes,10.08.2026,,Y,
18,17.09.2025,18,CJ052501-2,Cup Junky,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,,,,Y,
19,19.09.2025,19,GP052501,Grape Pie,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,yes,10.08.2026,,Y,
20,19.09.2025,20,HPA052501,High Pro Amnesia,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,,,,Y,
21,01.12.2025,23,CJ062501-1,Cap Junkie,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,,,,Y,
22,02.12.2025,25,CJ072501,Cup Junky,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,,,,Y,
23,02.12.2025,26,WC072501,Wedding Crasher,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,,,,Y,
24,04.12.2025,24,BSS052501,Blue Sunset Sherbet,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,,,,Y,
25,21.01.2026,27,PM072501,Permanent Market,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,,,,Y,
26,21.01.2026,28,CLE072501,Clemosa a bud,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,,,,Y,
27,21.01.2026,29,GP072501-1,Grape Pie,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,,,,Y,
28,21.01.2026,30,GP072501-2,Grape Pie,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,,,,Y,
29,21.01.2026,31,GP082501-1,Grape Pie,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,,,,Y,
30,21.01.2026,32,GP082501-2,Grape Pie,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,yes,10.08.2026,,Y,
31,24.01.2026,22,CJ062501-2,Cap Junkie,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,yes,10.08.2026,,Y,
32,20.02.2026,33,WC082501,Wedding Crasher,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,,,,Y,
33,20.02.2026,34,CJ082501-1,Cap Junky,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,,,,Y,
34,20.02.2026,35,CJ082501-2,Cap Junky,full panel (IdentA/B + IdentC + foreign matter),required,required,required,required,yes,yes,10.08.2026,,Y,
