Batch	P lot	iCoA cited (not issued)	Determinations blocked
BG1024	—	iCoA-PP_26-003	1 Identification A — appearance; 2 Identification B — microscopy; 7 Foreign matter
BSS1024	—	iCoA-PP_26-002	1 Identification A — appearance; 2 Identification B — microscopy; 7 Foreign matter
CC012601/1	P060332	iCoA-PP_26-065	1 Identification A — appearance; 2 Identification B — microscopy; 7 Foreign matter
CJ052501/01	P050162	iCoA-PP_26-022	1 Identification A — appearance; 2 Identification B — microscopy; 7 Foreign matter
CJ062501/2	P050212	iCoA-PP_26-027	1 Identification A — appearance; 2 Identification B — microscopy; 7 Foreign matter
CJ082501/2	P060032	iCoA-PP_26-039	1 Identification A — appearance; 2 Identification B — microscopy; 7 Foreign matter
FB012602	P060352	iCoA-PP_26-067	1 Identification A — appearance; 2 Identification B — microscopy; 7 Foreign matter
GG1024_01	P050092	iCoA-PP_26-015	1 Identification A — appearance; 2 Identification B — microscopy; 7 Foreign matter
GP052501	P050152	iCoA-PP_26-020	1 Identification A — appearance; 2 Identification B — microscopy; 7 Foreign matter
GP0824_02	P050022	iCoA-PP_26-007	1 Identification A — appearance; 2 Identification B — microscopy; 7 Foreign matter
GP082501/2	P050322	iCoA-PP_26-036	1 Identification A — appearance; 2 Identification B — microscopy; 7 Foreign matter
HPA1024	—	iCoA-PP_26-005	1 Identification A — appearance; 2 Identification B — microscopy; 7 Foreign matter
HPA1024_01	P050052	iCoA-PP_26-011	1 Identification A — appearance; 2 Identification B — microscopy; 7 Foreign matter
J31102501	P060152	iCoA-PP_26-048	1 Identification A — appearance; 2 Identification B — microscopy; 7 Foreign matter
JD112501	P060212	iCoA-PP_26-054	1 Identification A — appearance; 2 Identification B — microscopy; 7 Foreign matter
OPM1024	—	iCoA-PP_26-006	2 Identification B — microscopy
OPM1024_02	P050062	iCoA-PP_26-012	1 Identification A — appearance; 2 Identification B — microscopy; 7 Foreign matter
OPM122501	P060242	iCoA-PP_26-057	1 Identification A — appearance; 2 Identification B — microscopy; 7 Foreign matter
PM092501	P060062	iCoA-PP_26-042	1 Identification A — appearance; 2 Identification B — microscopy; 7 Foreign matter
SCR012603	P060382	iCoA-PP_26-069	1 Identification A — appearance; 2 Identification B — microscopy; 7 Foreign matter
BSS052501	P050192	iCoA-PP_26-025	1 Identification A — appearance; 2 Identification B — microscopy; 7 Foreign matter
CJ062501/1	P050222	iCoA-PP_26-028	1 Identification A — appearance; 2 Identification B — microscopy; 7 Foreign matter
CJ082501/1	P060022	iCoA-PP_26-038	1 Identification A — appearance; 2 Identification B — microscopy; 7 Foreign matter
CJ092501	P060072	iCoA-PP_26-043	1 Identification A — appearance; 2 Identification B — microscopy; 7 Foreign matter
CLE072501	P050282	iCoA-PP_26-032	1 Identification A — appearance; 2 Identification B — microscopy; 7 Foreign matter
FB012601/1	P060322	iCoA-PP_26-066	1 Identification A — appearance; 2 Identification B — microscopy; 7 Foreign matter
GG1024	—	iCoA-PP_26-004	1 Identification A — appearance; 2 Identification B — microscopy; 7 Foreign matter
GP072501/2	P050302	iCoA-PP_26-034	1 Identification A — appearance; 2 Identification B — microscopy; 7 Foreign matter
GP0824_03	P050072	iCoA-PP_26-013	1 Identification A — appearance; 2 Identification B — microscopy; 7 Foreign matter
GP082501/1	P050312	iCoA-PP_26-035	1 Identification A — appearance; 2 Identification B — microscopy; 7 Foreign matter
GP092501	P060092	iCoA-PP_26-045	1 Identification A — appearance; 2 Identification B — microscopy; 7 Foreign matter
HPA052501	P050182	iCoA-PP_26-024	1 Identification A — appearance; 2 Identification B — microscopy; 7 Foreign matter
KC102501	P060172	iCoA-PP_26-050	1 Identification A — appearance; 2 Identification B — microscopy; 7 Foreign matter
MB0824_05	P050112	iCoA-PP_26-017	1 Identification A — appearance; 2 Identification B — microscopy; 7 Foreign matter
OMP1024_01	P050042	iCoA-PP_26-010	1 Identification A — appearance; 2 Identification B — microscopy; 7 Foreign matter
OPM092501	P060042	iCoA-PP_26-040	1 Identification A — appearance; 2 Identification B — microscopy; 7 Foreign matter
OPM1024_03	P050082	iCoA-PP_26-014	1 Identification A — appearance; 2 Identification B — microscopy; 7 Foreign matter
PM112501	P060232	iCoA-PP_26-056	1 Identification A — appearance; 2 Identification B — microscopy; 7 Foreign matter
SCR112501	P060282	iCoA-PP_26-061	1 Identification A — appearance; 2 Identification B — microscopy; 7 Foreign matter
WC082501	P060012	iCoA-PP_26-037	1 Identification A — appearance; 2 Identification B — microscopy; 7 Foreign matter
