CoQ code,P lot,Batch,Determination,Reissue prints,from certificate,of,Campaign result,from certificate ,of 
CoQ-PP_26-105,P050192,BSS052501,#9.1 TAMC,200,1157/2058/25,24.11.2025,5.4×10²,548-1079-26,31.08.2026
CoQ-PP_26-105,P050192,BSS052501,#9.2 TYMC,200,1157/2058/25,24.11.2025,3.7×10²,548-1079-26,31.08.2026
CoQ-PP_26-105,P050192,BSS052501,#9.3 Bile-tolerant GNB,< 10² and > 10,1157/2058/25,24.11.2025,<10,548-1079-26,31.08.2026
CoQ-PP_26-140,,CJ1024,#9.1 TAMC,8.4 × 10³,164/0272/25,24.02.2025,<10,565-1096-26,01.09.2026
CoQ-PP_26-140,,CJ1024,#9.2 TYMC,< 10,164/0272/25,24.02.2025,10,565-1096-26,01.09.2026
CoQ-PP_26-148,P050102,GP0824_01,#9.1 TAMC,4.2 × 10³,318/0585/25,14.04.2025,<10,562-1093-26,01.09.2026
CoQ-PP_26-148,P050102,GP0824_01,#9.2 TYMC,6 × 10³,318/0585/25,14.04.2025,50,562-1093-26,01.09.2026
CoQ-PP_26-144,P050012,GG1024_02,#9.1 TAMC,2.1 × 10⁴,472/0863/25,22.05.2025,<10,564-1095-26,01.09.2026
CoQ-PP_26-144,P050012,GG1024_02,#9.2 TYMC,1.9 × 10⁴,472/0863/25,22.05.2025,<10,564-1095-26,01.09.2026
CoQ-PP_26-135,P050122,BSS1024_01,#9.1 TAMC,< 10,626/1127/25,02.07.2025,10,561-1092-26,01.09.2026
CoQ-PP_26-135,P050122,BSS1024_01,#9.2 TYMC,< 10,626/1127/25,02.07.2025,20,561-1092-26,01.09.2026
CoQ-PP_26-153,P050132,OPM052501,#9.1 TAMC,1.2 × 10⁴,904/1589/25,02.09.2025,<10,560-1091-26,01.09.2026
CoQ-PP_26-153,P050132,OPM052501,#9.2 TYMC,3.3 × 10⁴,904/1589/25,02.09.2025,<10,560-1091-26,01.09.2026
CoQ-PP_26-138,P050172,CJ052501-2,#9.1 TAMC,9 × 10³,947/1685/25,17.09.2025,<10,558-1089-26,01.09.2026
CoQ-PP_26-138,P050172,CJ052501-2,#9.2 TYMC,6.3 × 10³,947/1685/25,17.09.2025,<10,558-1089-26,01.09.2026
CoQ-PP_26-139,P050252,CJ072501,#9.1 TAMC,4.5 × 10³,1218/2169/25,01.12.2025,<10,556-1087-26,01.09.2026
CoQ-PP_26-139,P050252,CJ072501,#9.2 TYMC,3.5 × 10³,1218/2169/25,01.12.2025,<10,556-1087-26,01.09.2026
CoQ-PP_26-160,P050262,WC072501,#9.1 TAMC,100,1221/2172/25,01.12.2025,<10,555-1086-26,01.09.2026
CoQ-PP_26-160,P050262,WC072501,#9.2 TYMC,90,1221/2172/25,01.12.2025,<10,555-1086-26,01.09.2026
CoQ-PP_26-155,P050272,PM072501,#9.1 TAMC,110,1220/2171/25,01.12.2025,<10,554-1085-26,01.09.2026
CoQ-PP_26-155,P050272,PM072501,#9.2 TYMC,200,1220/2171/25,01.12.2025,<10,554-1085-26,01.09.2026
CoQ-PP_26-147,P050292,GP072501-1,#9.1 TAMC,6 × 10³,1228/2194/25,05.12.2025,<10,553-1084-26,01.09.2026
CoQ-PP_26-147,P050292,GP072501-1,#9.2 TYMC,6.5 × 10³,1228/2194/25,05.12.2025,<10,553-1084-26,01.09.2026
CoQ-PP_26-146,P050202,GP062501,#9.1 TAMC,1.3 × 10⁴,1009/1813/25,08.10.2025,<10,557-1088-26,01.09.2026
CoQ-PP_26-146,P050202,GP062501,#9.2 TYMC,4.2 × 10³,1009/1813/25,08.10.2025,<10,557-1088-26,01.09.2026
CoQ-PP_26-146,P050202,GP062501,#9.3 Bile-tolerant GNB,< 10³ and > 10²,1009/1813/25,08.10.2025,<10,557-1088-26,01.09.2026
