tranche	folder
T1	SCR012603_P060382
T1	PM092501_P060062
T1	OPM122501_P060242
T1	OPM1024_02_P050062
T1	OPM1024
T1	JD112501_P060212
T1	J31102501_P060152
T1	HPA1024_01_P050052
T1	HPA1024
T1	GP082501_2_P050322
T1	GP0824_02_P050022
T1	GP052501_P050152
T1	GG1024_01_P050092
T1	GG012603_P060402
T1	FB012602__P060352
T1	CJ082501_2_P060032
T1	CJ062501_2_P050212
T1	CJ052501_01_P050162
T1	BSS1024
T1	BG1024
T2	WC082501_P060012
T2	SCR112501_P060282
T2	PUM102501_P060112
T2	PM112501_P060232
T2	OPM1024_03_P050082
T2	OMP1024_01_P050042
T2	MB0824_05_P050112
T2	KC102501_P060172
T2	JD012603_P060422
T2	JD012603_P060412
T2	JD012603_P060362
T2	HPA052501_P050182
T2	GRC102501_P060182
T2	GP092501_P060092
T2	GP082501_1_P050312
T2	GP0824_03_P050072
T2	GP072501_2_P050302
T2	GG1024
T2	FB012601_1_P060322
T2	CJ092501_P060072
T2	CJ082501_1_P060022
T2	CJ062501_1_P050222
T2	CF102501_P060132
T2	CC012603_P060372
T2	BSS052501_P050192
T2	ACC102501_P060122
T3	WED102501_P060102
T3	WC072501_P050262
T3	SJ112501_P060192
T3	SJ102501_P060162
T3	SCR022601_P060442
T3	SCR012601__P060342
T3	PM072501_P050272
T3	OPM112501_P060222
T3	OPM052501_P050132
T3	MB0824_04_P050032
T3	JD012601＊_P060312
T3	J31122501_P060262
T3	J31112501_P060202
T3	GRC102501_P060142
T3	GP0824_01_P050102
T3	GP072501_1_P050292
T3	GP062501_P050202
T3	GG112501_P060252
T3	GG1024_02_P050012
T3	GG012601＊_P060302
T3	FB112501_P060292
T3	FB012603V_P060392
T3	FB012603_P060432
T3	CJ1024
T3	CJ072501_P050252
T3	CJ052501_02_P050172
T3	CC112501_P060272
T3	BSS1024_01_2_P050142
T3	BSS1024_01_1_P050122
T3	AB092501_P060052
T3	CC012601_1_P060332
