batch,p_lot,strain,period,kind,campaign,tested,icoa_issue,last_external,coq_issue,parameters
BG1024,,Blue Gelato,27.02.2025,initial release,,07.03.2025,03.06.2026,27.02.2025,06.06.2026,E G I J K L M N O R S T U V
BG1024,,Blue Gelato,10.08.2026,retest 1,197,21.07.2026,27.07.2026,10.08.2026,17.08.2026,E F G H O P Q
BSS1024,,Blue Sunset Sherbet,27.02.2025,initial release,,04.03.2025,03.06.2026,27.02.2025,06.06.2026,E G I J K L M N O R S T U V
BSS1024,,Blue Sunset Sherbet,10.08.2026,retest 1,197,21.07.2026,27.07.2026,10.08.2026,17.08.2026,E F G H O P Q
CJ1024,,Cup Junky,27.02.2025,initial release,,03.03.2025,03.06.2026,27.02.2025,06.06.2026,E G I J K L M N O R S T U V
CJ1024,,Cup Junky,11.09.2026,retest 1,227,21.08.2026,24.08.2026,11.09.2026,18.09.2026,E F G H
GG1024_01,P050092,Gorilla Glue,17.04.2025,initial release,,31.07.2025,03.06.2026,17.04.2025,06.06.2026,E G I J K L M N O R S T U V
GG1024_01,P050092,Gorilla Glue,10.08.2026,retest 1,197,22.07.2026,27.07.2026,10.08.2026,17.08.2026,E F G H O P Q
GP0824_01,P050102,Grape Pie,17.04.2025,initial release,,05.08.2025,03.06.2026,17.04.2025,06.06.2026,E G I J K L M N O R S T U V
GP0824_01,P050102,Grape Pie,11.09.2026,retest 1,227,19.08.2026,24.08.2026,11.09.2026,18.09.2026,E F G H
MB0824_04,P050032,Motor Breath,07.05.2025,initial release,,16.06.2025,03.06.2026,07.05.2025,06.06.2026,E G I J K L M N O R S T U V
MB0824_04,P050032,Motor Breath,11.09.2026,retest 1,227,20.08.2026,24.08.2026,11.09.2026,18.09.2026,E F G H
OPM1024_01,P050042,Orange Punch Mimosa,07.05.2025,initial release,,07.05.2025,03.06.2026,07.05.2025,06.06.2026,E G I J K L M N O R S T U V
OPM1024_01,P050042,Orange Punch Mimosa,11.09.2026,retest 1,220,13.08.2026,17.08.2026,11.09.2026,18.09.2026,O P Q
GG1024_02,P050012,Gorilla Glue,30.05.2025,initial release,,11.06.2025,03.06.2026,30.05.2025,06.06.2026,E G I J K L M N O R S T U V
GG1024_02,P050012,Gorilla Glue,11.09.2026,retest 1,227,20.08.2026,24.08.2026,11.09.2026,18.09.2026,E F G H
HPA1024_01,P050052,High Pro Amnesia,24.06.2025,initial release,,27.06.2025,03.06.2026,24.06.2025,06.06.2026,E G I J K L M N O R S T U V
HPA1024_01,P050052,High Pro Amnesia,10.08.2026,retest 1,197,23.07.2026,27.07.2026,10.08.2026,17.08.2026,E F G H O P Q
OPM1024_02,P050062,Orange Punch Mimosa,24.06.2025,initial release,,04.07.2025,03.06.2026,24.06.2025,06.06.2026,E G I J K L M N O R S T U V
OPM1024_02,P050062,Orange Punch Mimosa,10.08.2026,retest 1,197,24.07.2026,27.07.2026,10.08.2026,17.08.2026,E F G H O P Q
GP0824_02,P050022,Grape Pie,02.07.2025,initial release,,03.06.2025,03.06.2026,02.07.2025,06.06.2026,E G H I J K L M N O R S T U V
GP0824_02,P050022,Grape Pie,05.03.2026,retest 1,,05.03.2026,03.06.2026,05.03.2026,06.06.2026,E G H I
GP0824_02,P050022,Grape Pie,05.03.2026,retest 2,,05.03.2026,03.06.2026,05.03.2026,06.06.2026,E G H I
GP0824_02,P050022,Grape Pie,11.05.2026,retest 3,,11.05.2026,03.06.2026,11.05.2026,06.06.2026,E G H I
GP0824_02,P050022,Grape Pie,11.05.2026,retest 4,,11.05.2026,03.06.2026,11.05.2026,06.06.2026,E G I
GP0824_02,P050022,Grape Pie,10.08.2026,retest 5,197,22.07.2026,27.07.2026,10.08.2026,17.08.2026,E F G H O P Q
GP0824_03,P050072,Grape Pie,05.03.2026,initial release,,14.07.2025,03.06.2026,05.03.2026,06.06.2026,E G H I J K L M N O R S T U V
GP0824_03,P050072,Grape Pie,11.05.2026,retest 1,,11.05.2026,03.06.2026,11.05.2026,06.06.2026,E G H I
GP0824_03,P050072,Grape Pie,05.03.2026,retest 2,,05.03.2026,03.06.2026,05.03.2026,06.06.2026,E G I
GP0824_03,P050072,Grape Pie,11.05.2026,retest 3,,11.05.2026,03.06.2026,11.05.2026,06.06.2026,E G I
GP0824_03,P050072,Grape Pie,11.09.2026,retest 4,220,12.08.2026,17.08.2026,11.09.2026,18.09.2026,O P Q
BSS1024_01,P050122,Blue Sunset Sherbet,10.07.2025,initial release,,10.07.2025,03.06.2026,10.07.2025,06.06.2026,E G I J K L M N O R S T U V
BSS1024_01,P050122,Blue Sunset Sherbet,11.09.2026,retest 1,227,21.08.2026,24.08.2026,11.09.2026,18.09.2026,E F G H
OPM1024_03,P050082,Orange Punch Mimosa,29.07.2025,initial release,,22.07.2025,03.06.2026,29.07.2025,06.06.2026,E G I J K L M N O R S T U V
OPM1024_03,P050082,Orange Punch Mimosa,11.09.2026,retest 1,220,14.08.2026,17.08.2026,11.09.2026,18.09.2026,O P Q
MB0824_05,P050112,Motor Breath,29.07.2025,initial release,,25.08.2025,03.06.2026,29.07.2025,06.06.2026,E G I J K L M N O R S T U V
MB0824_05,P050112,Motor Breath,11.09.2026,retest 1,220,13.08.2026,17.08.2026,11.09.2026,18.09.2026,O P Q
OPM052501,P050132,Orange Punch Mimosa,05.09.2025,initial release,,09.09.2025,03.06.2026,05.09.2025,06.06.2026,E G I J K L M N O R S T U V
OPM052501,P050132,Orange Punch Mimosa,11.09.2026,retest 1,227,20.08.2026,24.08.2026,11.09.2026,18.09.2026,E F G H
CJ052501-1,P050162,Cup Junky,17.09.2025,initial release,,30.09.2025,03.06.2026,17.09.2025,06.06.2026,E G I J K L M N O R S T U V
CJ052501-1,P050162,Cup Junky,10.08.2026,retest 1,197,21.07.2026,27.07.2026,10.08.2026,17.08.2026,E F G H O P Q
CJ052501-2,P050172,Cup Junky,17.09.2025,initial release,,01.10.2025,03.06.2026,17.09.2025,06.06.2026,E G I J K L M N O R S T U V
CJ052501-2,P050172,Cup Junky,11.09.2026,retest 1,227,21.08.2026,24.08.2026,11.09.2026,18.09.2026,E F G H
GP052501,P050152,Grape Pie,19.09.2025,initial release,,25.09.2025,03.06.2026,19.09.2025,06.06.2026,E G I J K L M N O R S T U V
GP052501,P050152,Grape Pie,10.08.2026,retest 1,197,22.07.2026,27.07.2026,10.08.2026,17.08.2026,E F G H O P Q
HPA052501,P050182,High Pro Amnesia,19.09.2025,initial release,,03.10.2025,03.06.2026,19.09.2025,06.06.2026,E G I J K L M N O R S T U V
HPA052501,P050182,High Pro Amnesia,11.09.2026,retest 1,220,13.08.2026,17.08.2026,11.09.2026,18.09.2026,O P Q
GP062501,P050202,Grape Pie,05.03.2026,initial release,,30.10.2025,03.06.2026,05.03.2026,06.06.2026,E F G H I J K L M N O R S T U V
GP062501,P050202,Grape Pie,11.05.2026,retest 1,,11.05.2026,03.06.2026,11.05.2026,06.06.2026,E G H I J K L M N
GP062501,P050202,Grape Pie,11.05.2026,retest 2,,11.05.2026,03.06.2026,11.05.2026,06.06.2026,E G H I
GP062501,P050202,Grape Pie,11.05.2026,retest 3,,11.05.2026,03.06.2026,11.05.2026,06.06.2026,E G I
GP062501,P050202,Grape Pie,11.05.2026,retest 4,,11.05.2026,03.06.2026,11.05.2026,06.06.2026,E G I
GP062501,P050202,Grape Pie,11.09.2026,retest 5,227,20.08.2026,24.08.2026,11.09.2026,18.09.2026,E F G H
CJ062501-2,P050212,Cap Junkie,24.10.2025,initial release,,18.11.2025,03.06.2026,24.10.2025,06.06.2026,E F G I J K L M N O R S T U V
CJ062501-2,P050212,Cap Junkie,10.08.2026,retest 1,197,21.07.2026,27.07.2026,10.08.2026,17.08.2026,E F G H O P Q
CJ062501-1,P050222,Cap Junkie,01.12.2025,initial release,,24.11.2025,03.06.2026,01.12.2025,06.06.2026,E F G I J K L M N O R S T U V
CJ062501-1,P050222,Cap Junkie,11.09.2026,retest 1,220,12.08.2026,17.08.2026,11.09.2026,18.09.2026,O P Q
BSS052501,P050192,Blue Sunset Sherbet,04.12.2025,initial release,,10.10.2025,03.06.2026,04.12.2025,06.06.2026,E F G I J K L M N P Q R S T U V
BSS052501,P050192,Blue Sunset Sherbet,11.09.2026,retest 1,220,12.08.2026,17.08.2026,11.09.2026,18.09.2026,O P Q
CJ072501,P050252,Cup Junky,02.12.2025,initial release,,27.11.2025,03.06.2026,02.12.2025,06.06.2026,E F G I J K L M N O R S T U V
CJ072501,P050252,Cup Junky,11.09.2026,retest 1,227,21.08.2026,24.08.2026,11.09.2026,18.09.2026,E F G H
WC072501,P050262,Wedding Crasher,02.12.2025,initial release,,01.12.2025,03.06.2026,02.12.2025,06.06.2026,E F G I J K L M N O R S T U V
WC072501,P050262,Wedding Crasher,11.09.2026,retest 1,227,19.08.2026,24.08.2026,11.09.2026,18.09.2026,E F G H
PM072501,P050272,Permanent Market,02.12.2025,initial release,,02.12.2025,03.06.2026,02.12.2025,06.06.2026,E F G I J K L M N O R S T U V
PM072501,P050272,Permanent Market,11.09.2026,retest 1,227,19.08.2026,24.08.2026,11.09.2026,18.09.2026,E F G H
CLE072501,P050282,Clemosa a bud,21.01.2026,initial release,,03.12.2025,03.06.2026,21.01.2026,06.06.2026,E F G I J K L M N O R S T U V
CLE072501,P050282,Clemosa a bud,11.09.2026,retest 1,220,12.08.2026,17.08.2026,11.09.2026,18.09.2026,O P Q
GP072501-1,P050292,Grape Pie,21.01.2026,initial release,,15.12.2025,03.06.2026,21.01.2026,06.06.2026,E F G I J K L M N O R S T U V
GP072501-1,P050292,Grape Pie,11.09.2026,retest 1,227,20.08.2026,24.08.2026,11.09.2026,18.09.2026,E F G H
GP072501-2,P050302,Grape Pie,21.01.2026,initial release,,22.12.2025,03.06.2026,21.01.2026,06.06.2026,E F G I J K L M N O R S T U V
GP072501-2,P050302,Grape Pie,11.09.2026,retest 1,220,12.08.2026,17.08.2026,11.09.2026,18.09.2026,O P Q
GP082501-1,P050312,Grape Pie,21.01.2026,initial release,,23.12.2025,03.06.2026,21.01.2026,06.06.2026,E F G I J K L M N O R S T U V
GP082501-1,P050312,Grape Pie,11.09.2026,retest 1,220,13.08.2026,17.08.2026,11.09.2026,18.09.2026,O P Q
GP082501-2,P050322,Grape Pie,21.01.2026,initial release,,26.12.2025,03.06.2026,21.01.2026,06.06.2026,E F G I J K L M N O R S T U V
GP082501-2,P050322,Grape Pie,10.08.2026,retest 1,197,23.07.2026,27.07.2026,10.08.2026,17.08.2026,E F G H O P Q
WC082501,P060012,Wedding Crasher,02.02.2026,initial release,,13.01.2026,03.06.2026,02.02.2026,06.06.2026,E F G I J K L M N O R S T U V
WC082501,P060012,Wedding Crasher,11.09.2026,retest 1,220,14.08.2026,17.08.2026,11.09.2026,18.09.2026,O P Q
CJ082501-1,P060022,Cap Junky,02.02.2026,initial release,,16.01.2026,03.06.2026,02.02.2026,06.06.2026,E F G I J K L M N O R S T U V
CJ082501-1,P060022,Cap Junky,11.09.2026,retest 1,220,12.08.2026,17.08.2026,11.09.2026,18.09.2026,O P Q
CJ082501-2,P060032,Cap Junky,02.02.2026,initial release,,29.01.2026,03.06.2026,02.02.2026,06.06.2026,E F G I J K L M N O R S T U V
CJ082501-2,P060032,Cap Junky,10.08.2026,retest 1,197,21.07.2026,27.07.2026,10.08.2026,17.08.2026,E F G H O P Q
OPM092501,P060042,Orange Punch Mimosa,03.02.2026,initial release,,29.01.2026,03.06.2026,03.02.2026,06.06.2026,E F G I J K L M N O R S T U V
OPM092501,P060042,Orange Punch Mimosa,11.09.2026,retest 1,220,13.08.2026,17.08.2026,11.09.2026,18.09.2026,O P Q
AB092501,P060052,Apple and Banana,02.02.2026,initial release,,30.01.2026,03.06.2026,02.02.2026,06.06.2026,E F G I J K L M N O R S T U V
AB092501,P060052,Apple and Banana,11.09.2026,retest 1,227,21.08.2026,24.08.2026,11.09.2026,18.09.2026,E F G H
PM092501,P060062,Permanent Market,02.02.2026,initial release,,30.01.2026,03.06.2026,02.02.2026,06.06.2026,E F G I J K L M N O R S T U V
PM092501,P060062,Permanent Market,10.08.2026,retest 1,197,24.07.2026,27.07.2026,10.08.2026,17.08.2026,E F G H O P Q
CJ092501,P060072,Cap Junky,02.02.2026,initial release,,02.02.2026,03.06.2026,02.02.2026,06.06.2026,E F G I J K L M N O R S T U V
CJ092501,P060072,Cap Junky,11.09.2026,retest 1,220,12.08.2026,17.08.2026,11.09.2026,18.09.2026,O P Q
SJ092501,P060082,Sleepy Joy,02.02.2026,initial release,,02.02.2026,03.06.2026,02.02.2026,06.06.2026,E F G I J K L M N O R S T U V
SJ092501,P060082,Sleepy Joy,11.09.2026,retest 1,220,14.08.2026,17.08.2026,11.09.2026,18.09.2026,O P Q
GP092501,P060092,Grape Pie,03.02.2026,initial release,,03.02.2026,03.06.2026,03.02.2026,06.06.2026,E F G I J K L M N O R S T U V
GP092501,P060092,Grape Pie,11.09.2026,retest 1,220,13.08.2026,17.08.2026,11.09.2026,18.09.2026,O P Q
GRC102501-2,,Graps & Creme,04.03.2026,initial release,,14.03.2026,03.06.2026,04.03.2026,06.06.2026,E G H I
GRC102501-2,,Graps & Creme,11.09.2026,retest 1,220,13.08.2026,17.08.2026,11.09.2026,18.09.2026,O P Q
J31102501,,Jokerz 31,04.03.2026,initial release,,05.03.2026,03.06.2026,04.03.2026,06.06.2026,E G H I
J31112501,,Jokerz 31,04.03.2026,initial release,,17.04.2026,03.06.2026,04.03.2026,06.06.2026,E G H I
J31112501,,Jokerz 31,09.04.2026,retest 1,,09.04.2026,03.06.2026,09.04.2026,06.06.2026,E G H I
J31112501,,Jokerz 31,11.09.2026,retest 2,227,20.08.2026,24.08.2026,11.09.2026,18.09.2026,E F G H
KC102501,,Kush Crasher,04.03.2026,initial release,,12.03.2026,03.06.2026,04.03.2026,06.06.2026,E G H I
KC102501,,Kush Crasher,11.09.2026,retest 1,220,13.08.2026,17.08.2026,11.09.2026,18.09.2026,O P Q
SJ102501,,Sleepy Joy,04.03.2026,initial release,,09.03.2026,03.06.2026,04.03.2026,06.06.2026,E G H I
SJ102501,,Sleepy Joy,11.09.2026,retest 1,227,19.08.2026,24.08.2026,11.09.2026,18.09.2026,E F G H
SJ112501,,Sleepy Joy,04.03.2026,initial release,,31.03.2026,03.06.2026,04.03.2026,06.06.2026,E G H I
SJ112501,,Sleepy Joy,11.09.2026,retest 1,227,19.08.2026,24.08.2026,11.09.2026,18.09.2026,E F G H
OPM112501,,Orange Punch Mimosa,05.03.2026,initial release,,24.04.2026,03.06.2026,05.03.2026,06.06.2026,E G I
OPM112501,,Orange Punch Mimosa,11.09.2026,retest 1,227,19.08.2026,24.08.2026,11.09.2026,18.09.2026,E F G H
PM112501,,Permanent Market,05.03.2026,initial release,,27.04.2026,03.06.2026,05.03.2026,06.06.2026,E G I
PM112501,,Permanent Market,11.09.2026,retest 1,220,14.08.2026,17.08.2026,11.09.2026,18.09.2026,O P Q
J31122501,,Jokerz 31,23.04.2026,initial release,,14.05.2026,03.06.2026,23.04.2026,06.06.2026,E G H I J K L M N O R S T U V
J31122501,,Jokerz 31,11.09.2026,retest 1,227,20.08.2026,24.08.2026,11.09.2026,18.09.2026,E F G H
OPM122501,,Orange Punch Mimosa,23.04.2026,initial release,,28.04.2026,03.06.2026,23.04.2026,06.06.2026,E G H I J K L M N O R S T U V
CC112501,,Cash Cow,11.05.2026,initial release,,18.05.2026,03.06.2026,11.05.2026,06.06.2026,E G I
CC112501,,Cash Cow,11.09.2026,retest 1,227,21.08.2026,24.08.2026,11.09.2026,18.09.2026,E F G H
FB012601/1,,Fat Bastard,11.05.2026,initial release,,22.05.2026,03.06.2026,11.05.2026,06.06.2026,E G I
FB012601/1,,Fat Bastard,11.09.2026,retest 1,220,12.08.2026,17.08.2026,11.09.2026,18.09.2026,O P Q
FB112501,,Fat Bastard,11.05.2026,initial release,,19.05.2026,03.06.2026,11.05.2026,06.06.2026,E G I
FB112501,,Fat Bastard,11.09.2026,retest 1,227,21.08.2026,24.08.2026,11.09.2026,18.09.2026,E F G H
GG012601,,Gorilla Glue,11.05.2026,initial release,,11.05.2026,03.06.2026,11.05.2026,06.06.2026,E G I
GG012601,,Gorilla Glue,11.09.2026,retest 1,227,21.08.2026,24.08.2026,11.09.2026,18.09.2026,E F G H
GG112501,,Gorilla Glue,11.05.2026,initial release,,05.05.2026,03.06.2026,11.05.2026,06.06.2026,E G I
GG112501,,Gorilla Glue,11.09.2026,retest 1,227,20.08.2026,24.08.2026,11.09.2026,18.09.2026,E F G H
JD012601,,Jelly Donutz,11.05.2026,initial release,,11.05.2026,03.06.2026,11.05.2026,06.06.2026,E G I
JD012601,,Jelly Donutz,11.09.2026,retest 1,227,20.08.2026,24.08.2026,11.09.2026,18.09.2026,E F G H
JD112501,,Jelly Donutz,11.05.2026,initial release,,21.04.2026,03.06.2026,11.05.2026,06.06.2026,E G I
SCR112501,,Scrambler,11.05.2026,initial release,,18.05.2026,03.06.2026,11.05.2026,06.06.2026,E G I
SCR112501,,Scrambler,11.09.2026,retest 1,220,14.08.2026,17.08.2026,11.09.2026,18.09.2026,O P Q
FB012603,,Fat Bastard,30.06.2026,initial release,,15.06.2026,15.06.2026,30.06.2026,07.07.2026,E F G H I
FB012603,,Fat Bastard,11.09.2026,retest 1,227,21.08.2026,24.08.2026,11.09.2026,18.09.2026,E F G H
FB012603V,,FatBastard,30.06.2026,initial release,,23.05.2026,03.06.2026,30.06.2026,07.07.2026,E F G H I
FB012603V,,FatBastard,11.09.2026,retest 1,227,21.08.2026,24.08.2026,11.09.2026,18.09.2026,E F G H
GG012603,,GorillaGlue,30.06.2026,initial release,,24.05.2026,03.06.2026,30.06.2026,07.07.2026,E F G H I
JD012603-02,,JellyDonutz,30.06.2026,initial release,,24.05.2026,03.06.2026,30.06.2026,07.07.2026,E F G H I
JD012603-02,,JellyDonutz,11.09.2026,retest 1,220,13.08.2026,17.08.2026,11.09.2026,18.09.2026,O P Q
JD012603-02V,,JellyDonutz,30.06.2026,initial release,,23.05.2026,03.06.2026,30.06.2026,07.07.2026,E F G H I
JD012603-02V,,JellyDonutz,11.09.2026,retest 1,220,13.08.2026,17.08.2026,11.09.2026,18.09.2026,O P Q
JD022601,,JellyDonutz,30.06.2026,initial release,,05.08.2026,05.08.2026,30.06.2026,12.08.2026,E F G H I
P160012,P160012,GrapePie,06.07.2026,initial release,,06.07.2026,06.07.2026,06.07.2026,13.07.2026,E F G H I
P160022,P160022,GrapePie,06.07.2026,initial release,,06.07.2026,06.07.2026,06.07.2026,13.07.2026,E F G H I
P160032,P160032,GrapePie,06.07.2026,initial release,,06.07.2026,06.07.2026,06.07.2026,13.07.2026,E F G H I
SCR022601,,Scrambler,06.07.2026,initial release,,18.06.2026,18.06.2026,06.07.2026,13.07.2026,E F G H I
SCR022601,,Scrambler,11.09.2026,retest 1,227,19.08.2026,24.08.2026,11.09.2026,18.09.2026,E F G H
FB032601,,FatBastard,21.07.2026,initial release,,29.06.2026,29.06.2026,21.07.2026,28.07.2026,E F G H I
GG032601,,GorillaGlue,21.07.2026,initial release,,16.07.2026,16.07.2026,21.07.2026,28.07.2026,E F G H I
P060152,P060152,Jokerz31,10.08.2026,retest 1,197,23.07.2026,27.07.2026,10.08.2026,17.08.2026,E F G H O P Q
P060212,P060212,JellyDonutz,10.08.2026,retest 1,197,23.07.2026,27.07.2026,10.08.2026,17.08.2026,E F G H O P Q
P060242,P060242,OrangePunchMimosa,10.08.2026,retest 1,197,24.07.2026,27.07.2026,10.08.2026,17.08.2026,E F G H O P Q
P060332,P060332,CashCow,10.08.2026,retest 1,197,21.07.2026,27.07.2026,10.08.2026,17.08.2026,E F G H O P Q
P060352,P060352,FatBastard,10.08.2026,retest 1,197,22.07.2026,27.07.2026,10.08.2026,17.08.2026,E F G H O P Q
P060382,P060382,Scrambler,10.08.2026,retest 1,197,24.07.2026,27.07.2026,10.08.2026,17.08.2026,E F G H O P Q
P060402,P060402,GorillaGlue,10.08.2026,retest 1,197,22.07.2026,27.07.2026,10.08.2026,17.08.2026,E F G H O P Q
HPA1024,,HighProAmnesia,23.01.2025,initial release,,11.04.2025,03.06.2026,23.01.2025,06.06.2026,E F G J K L M N O R S T U V
HPA1024,,HighProAmnesia,10.08.2026,retest 1,197,23.07.2026,27.07.2026,10.08.2026,17.08.2026,E F G H O P Q
OPM1024,,OrangePunchMimosa,23.04.2025,initial release,,24.04.2025,03.06.2026,23.04.2025,06.06.2026,E F G J K L M N O R S T U V
