strain,abbr,status,results_n,results_range,grades_n,basis,nominal,tolerance,window_low,window_high,measured
Amnesia Core Cut,ACC,FINISHED,1,12.09–12.09,1,all results,12.00,0.95,11.05,12.94,12.09
Apple and Banana,AB,FINISHED,2,16.93–22.97,2,all results,18.00,1.80,16.20,19.79,16.93 22.97
Apple and Banana,AB,FINISHED,2,16.93–22.97,2,all results,22.00,2.20,19.80,24.19,16.93 22.97
Blue Gelato,BG,FINISHED,2,21.80–26.14,2,all results,22.00,2.20,19.80,24.19,21.80 26.14
Blue Gelato,BG,FINISHED,2,21.80–26.14,2,all results,26.00,1.80,24.20,27.79,21.80 26.14
Blue Sunset Sherbet,BSS,FINISHED,7,20.39–26.10,3,all results,20.00,1.89,18.11,21.88,20.39 20.39 20.52 21.03 23.42 25.01 26.10
Blue Sunset Sherbet,BSS,FINISHED,7,20.39–26.10,3,all results,24.00,2.11,21.89,26.10,20.39 20.39 20.52 21.03 23.42 25.01 26.10
Blue Sunset Sherbet,BSS,FINISHED,7,20.39–26.10,3,all results,28.00,1.93,26.07,29.92,20.39 20.39 20.52 21.03 23.42 25.01 26.10
Cap Junky,CJ,FINISHED,18,14.93–28.34,5,all results,14.00,1.40,12.60,15.39,14.93 16.56 18.29 18.91 20.29 20.84 21.30 21.51 22.30 23.00 23.70 24.05 24.80 24.96 25.65 28.12 28.18 28.34
Cap Junky,CJ,FINISHED,18,14.93–28.34,5,all results,17.00,1.40,15.60,18.39,14.93 16.56 18.29 18.91 20.29 20.84 21.30 21.51 22.30 23.00 23.70 24.05 24.80 24.96 25.65 28.12 28.18 28.34
Cap Junky,CJ,FINISHED,18,14.93–28.34,5,all results,20.00,1.60,18.40,21.59,14.93 16.56 18.29 18.91 20.29 20.84 21.30 21.51 22.30 23.00 23.70 24.05 24.80 24.96 25.65 28.12 28.18 28.34
Cap Junky,CJ,FINISHED,18,14.93–28.34,5,all results,24.00,2.40,21.60,26.39,14.93 16.56 18.29 18.91 20.29 20.84 21.30 21.51 22.30 23.00 23.70 24.05 24.80 24.96 25.65 28.12 28.18 28.34
Cap Junky,CJ,FINISHED,18,14.93–28.34,5,all results,28.00,1.60,26.40,29.59,14.93 16.56 18.29 18.91 20.29 20.84 21.30 21.51 22.30 23.00 23.70 24.05 24.80 24.96 25.65 28.12 28.18 28.34
Cash Cow,CC,FINISHED,4,13.35–17.67,2,all results,14.00,1.35,12.65,15.34,13.35 14.76 16.36 17.67
Cash Cow,CC,FINISHED,4,13.35–17.67,2,all results,17.00,1.65,15.35,18.64,13.35 14.76 16.36 17.67
Chem Flyer,CF,FINISHED,1,9.55–9.55,1,all results,10.00,1.00,9.00,10.99,9.55
Clemosa A Bud,CLE,FINISHED,1,8.02–8.02,1,all results,8.00,0.80,7.20,8.79,8.02
Fat Bastard,FB,FINISHED,9,12.39–20.83,4,all results,12.00,1.20,10.80,13.19,12.39 14.68 16.69 17.99 18.29 18.86 19.31 20.00 20.83
Fat Bastard,FB,FINISHED,9,12.39–20.83,4,all results,15.00,1.20,13.80,16.19,12.39 14.68 16.69 17.99 18.29 18.86 19.31 20.00 20.83
Fat Bastard,FB,FINISHED,9,12.39–20.83,4,all results,18.00,1.80,16.20,19.79,12.39 14.68 16.69 17.99 18.29 18.86 19.31 20.00 20.83
Fat Bastard,FB,FINISHED,9,12.39–20.83,4,all results,22.00,2.20,19.80,24.19,12.39 14.68 16.69 17.99 18.29 18.86 19.31 20.00 20.83
Gorilla Glue,GG,FINISHED,12,15.35–19.16,2,all results,15.00,1.23,13.77,16.22,15.35 15.51 15.95 16.70 17.22 17.59 17.76 17.94 18.64 18.67 18.98 19.16
Gorilla Glue,GG,FINISHED,12,15.35–19.16,2,all results,18.00,1.77,16.23,19.76,15.35 15.51 15.95 16.70 17.22 17.59 17.76 17.94 18.64 18.67 18.98 19.16
Grape Pie,GP,FINISHED,17,14.83–28.68,4,initial result per batch,16.00,1.60,14.40,17.59,14.83 18.29 18.98 19.81 20.79 21.29 21.36 23.79 24.89 25.13 25.24 25.45 25.73 25.97 26.54 28.03 28.68
Grape Pie,GP,FINISHED,17,14.83–28.68,4,initial result per batch,20.00,2.00,18.00,21.99,14.83 18.29 18.98 19.81 20.79 21.29 21.36 23.79 24.89 25.13 25.24 25.45 25.73 25.97 26.54 28.03 28.68
Grape Pie,GP,FINISHED,17,14.83–28.68,4,initial result per batch,24.00,2.00,22.00,25.99,14.83 18.29 18.98 19.81 20.79 21.29 21.36 23.79 24.89 25.13 25.24 25.45 25.73 25.97 26.54 28.03 28.68
Grape Pie,GP,FINISHED,17,14.83–28.68,4,initial result per batch,28.00,2.00,26.00,29.99,14.83 18.29 18.98 19.81 20.79 21.29 21.36 23.79 24.89 25.13 25.24 25.45 25.73 25.97 26.54 28.03 28.68
Grapes And Cream,GRC,FINISHED,3,7.50–11.53,3,all results,8.00,0.80,7.20,8.79,7.50 9.80 11.53
Grapes And Cream,GRC,FINISHED,3,7.50–11.53,3,all results,10.00,1.00,9.00,10.99,7.50 9.80 11.53
Grapes And Cream,GRC,FINISHED,3,7.50–11.53,3,all results,12.00,1.00,11.00,12.99,7.50 9.80 11.53
High Pro Amnesia,HPA,FINISHED,6,14.97–22.43,3,all results,15.00,1.20,13.80,16.19,14.97 17.31 19.69 20.39 21.61 22.43
High Pro Amnesia,HPA,FINISHED,6,14.97–22.43,3,all results,18.00,1.80,16.20,19.79,14.97 17.31 19.69 20.39 21.61 22.43
High Pro Amnesia,HPA,FINISHED,6,14.97–22.43,3,all results,22.00,2.20,19.80,24.19,14.97 17.31 19.69 20.39 21.61 22.43
Jelly Donuts,JD,FINISHED,11,13.93–21.01,3,all results,15.00,1.20,13.80,16.19,13.93 14.43 15.16 17.09 18.16 18.58 19.64 19.99 20.32 20.54 21.01
Jelly Donuts,JD,FINISHED,11,13.93–21.01,3,all results,18.00,1.80,16.20,19.79,13.93 14.43 15.16 17.09 18.16 18.58 19.64 19.99 20.32 20.54 21.01
Jelly Donuts,JD,FINISHED,11,13.93–21.01,3,all results,22.00,2.20,19.80,24.19,13.93 14.43 15.16 17.09 18.16 18.58 19.64 19.99 20.32 20.54 21.01
Jokerz 31,J31,FINISHED,8,17.32–25.27,3,all results,18.00,1.80,16.20,19.79,17.32 19.14 19.84 20.21 21.84 23.85 24.48 25.27
Jokerz 31,J31,FINISHED,8,17.32–25.27,3,all results,22.00,2.20,19.80,24.19,17.32 19.14 19.84 20.21 21.84 23.85 24.48 25.27
Jokerz 31,J31,FINISHED,8,17.32–25.27,3,all results,26.00,1.80,24.20,27.79,17.32 19.14 19.84 20.21 21.84 23.85 24.48 25.27
Kush Crasher,KC,FINISHED,1,17.04–17.04,1,all results,18.00,1.80,16.20,19.79,17.04
Motor Breath,MB,FINISHED,4,16.82–18.67,1,all results,18.00,1.80,16.20,19.79,16.82 17.57 17.93 18.67
Orange Punch Mimosa,OPM,FINISHED,15,7.91–20.03,5,all results,8.00,0.80,7.20,8.79,7.91 8.00 8.09 9.43 9.73 14.16 15.38 16.55 17.83 18.04 18.27 18.99 19.30 19.96 20.03
Orange Punch Mimosa,OPM,FINISHED,15,7.91–20.03,5,all results,10.00,1.00,9.00,10.99,7.91 8.00 8.09 9.43 9.73 14.16 15.38 16.55 17.83 18.04 18.27 18.99 19.30 19.96 20.03
Orange Punch Mimosa,OPM,FINISHED,15,7.91–20.03,5,all results,14.00,1.40,12.60,15.39,7.91 8.00 8.09 9.43 9.73 14.16 15.38 16.55 17.83 18.04 18.27 18.99 19.30 19.96 20.03
Orange Punch Mimosa,OPM,FINISHED,15,7.91–20.03,5,all results,17.00,1.60,15.40,18.59,7.91 8.00 8.09 9.43 9.73 14.16 15.38 16.55 17.83 18.04 18.27 18.99 19.30 19.96 20.03
Orange Punch Mimosa,OPM,FINISHED,15,7.91–20.03,5,all results,20.00,1.40,18.60,21.39,7.91 8.00 8.09 9.43 9.73 14.16 15.38 16.55 17.83 18.04 18.27 18.99 19.30 19.96 20.03
Permanent Marker,PM,FINISHED,6,10.01–14.06,3,all results,10.00,1.00,9.00,10.99,10.01 10.79 12.25 12.77 13.33 14.06
Permanent Marker,PM,FINISHED,6,10.01–14.06,3,all results,12.00,1.00,11.00,12.99,10.01 10.79 12.25 12.77 13.33 14.06
Permanent Marker,PM,FINISHED,6,10.01–14.06,3,all results,14.00,1.00,13.00,14.99,10.01 10.79 12.25 12.77 13.33 14.06
Pure Michigen,PUM,FINISHED,1,13.95–13.95,1,all results,14.00,1.40,12.60,15.39,13.95
Scrambler,SCR,FINISHED,6,16.68–22.40,2,all results,18.00,1.80,16.20,19.79,16.68 17.13 17.84 19.73 21.92 22.40
Scrambler,SCR,FINISHED,6,16.68–22.40,2,all results,22.00,2.20,19.80,24.19,16.68 17.13 17.84 19.73 21.92 22.40
Sleepy Joe,SJ,FINISHED,5,9.20–11.27,2,all results,10.00,1.00,9.00,10.99,9.20 10.61 10.96 11.20 11.27
Sleepy Joe,SJ,FINISHED,5,9.20–11.27,2,all results,12.00,1.00,11.00,12.99,9.20 10.61 10.96 11.20 11.27
Wedding Crusher,WC,FINISHED,4,21.67–25.37,2,all results,22.00,1.40,20.60,23.39,21.67 22.11 23.48 25.37
Wedding Crusher,WC,FINISHED,4,21.67–25.37,2,all results,26.00,2.60,23.40,28.59,21.67 22.11 23.48 25.37
