code,lab,received,source,phrase
ППК25050,CNP,13.02.2025,certificate text (corpus),Доставил на испитување … на
ППК25051,CNP,13.02.2025,certificate text (corpus),Доставил на испитување … на
ППК25052,CNP,13.02.2025,certificate text (corpus),Доставил на испитување … на
ППК25104,CNP,08.04.2025,certificate text (corpus),Доставил на испитување … на
ППК25105,CNP,08.04.2025,certificate text (corpus),Доставил на испитување … на
ППК25117,CNP,28.04.2025,certificate text (corpus),Доставил на испитување … на
ППК25118,CNP,28.04.2025,certificate text (corpus),Доставил на испитување … на
ППК25140,CNP,15.05.2025,certificate text (corpus),Доставил на испитување … на
ППК25154,CNP,12.06.2025,certificate text (corpus),Доставил на испитување … на
ППК25155,CNP,12.06.2025,certificate text (corpus),Доставил на испитување … на
ППК25174,CNP,23.06.2025,certificate text (corpus),Доставил на испитување … на
ППК25175,CNP,23.06.2025,certificate text (corpus),Доставил на испитување … на
ППК25176,CNP,23.06.2025,certificate text (corpus),Доставил на испитување … на
ППК25210,CNP,21.07.2025,certificate text (corpus),Доставил на испитување … на
ППК25211,CNP,21.07.2025,certificate text (corpus),Доставил на испитување … на
ППК25257,CNP,25.08.2025,certificate text (corpus),Доставил на испитување … на
ППК25278,CNP,05.09.2025,certificate text (corpus),Доставил на испитување … на
ППК25279,CNP,05.09.2025,certificate text (corpus),Доставил на испитување … на
ППК25280,CNP,05.09.2025,certificate text (corpus),Доставил на испитување … на
ППК25281,CNP,05.09.2025,certificate text (corpus),Доставил на испитување … на
ППК25321,CNP,10.10.2025,certificate text (corpus),Доставил на испитување … на
ППК25322,CNP,10.10.2025,certificate text (corpus),Доставил на испитување … на
ППК25367,CNP,24.11.2025,certificate text (corpus),Доставил на испитување … на
ППК25368,CNP,24.11.2025,certificate text (corpus),Доставил на испитување … на
ППК25369,CNP,24.11.2025,certificate text (corpus),Доставил на испитување … на
ППК25370,CNP,24.11.2025,certificate text (corpus),Доставил на испитување … на
ППК25378,CNP,01.12.2025,certificate text (corpus),Доставил на испитување … на
ППК25379,CNP,01.12.2025,certificate text (corpus),Доставил на испитување … на
ППК25380,CNP,01.12.2025,certificate text (corpus),Доставил на испитување … на
ППК25381,CNP,01.12.2025,certificate text (corpus),Доставил на испитување … на
ППК26001,CNP,08.01.2026,certificate text (corpus),Доставил на испитување … на
ППК26002,CNP,08.01.2026,certificate text (corpus),Доставил на испитување … на
ППК26003,CNP,08.01.2026,certificate text (corpus),Доставил на испитување … на
ППК26004,CNP,08.01.2026,certificate text (corpus),Доставил на испитување … на
ППК26005,CNP,08.01.2026,certificate text (corpus),Доставил на испитување … на
ППК26006,CNP,08.01.2026,certificate text (corpus),Доставил на испитување … на
ППК26007,CNP,08.01.2026,certificate text (corpus),Доставил на испитување … на
ППК26008,CNP,08.01.2026,certificate text (corpus),Доставил на испитување … на
ППК26009,CNP,08.01.2026,certificate text (corpus),Доставил на испитување … на
ППК26030,CNP,23.02.2026,certificate text (corpus),Доставил на испитување … на
ППК26031,CNP,23.02.2026,certificate text (corpus),Доставил на испитување … на
ППК26032,CNP,23.02.2026,certificate text (corpus),Доставил на испитување … на
ППК26033,CNP,23.02.2026,certificate text (corpus),Доставил на испитување … на
ППК26034,CNP,23.02.2026,certificate text (corpus),Доставил на испитување … на
ППК26035,CNP,23.02.2026,certificate text (corpus),Доставил на испитување … на
ППК26036,CNP,23.02.2026,certificate text (corpus),Доставил на испитување … на
ППК26037,CNP,23.02.2026,certificate text (corpus),Доставил на испитување … на
ППК26057,CNP,21.04.2026,certificate text (corpus),Доставил на испитување … на
ППК26058,CNP,21.04.2026,certificate text (corpus),Доставил на испитување … на
ППК26059,CNP,21.04.2026,certificate text (corpus),Доставил на испитување … на
ППК26060,CNP,21.04.2026,certificate text (corpus),Доставил на испитување … на
ППК26061,CNP,21.04.2026,certificate text (corpus),Доставил на испитување … на
ППК26062,CNP,21.04.2026,certificate text (corpus),Доставил на испитување … на
ППК26063,CNP,21.04.2026,certificate text (corpus),Доставил на испитување … на
ППК26064,CNP,21.04.2026,certificate text (corpus),Доставил на испитување … на
ППК26065,CNP,21.04.2026,certificate text (corpus),Доставил на испитување … на
ППК26066,CNP,21.04.2026,certificate text (corpus),Доставил на испитување … на
ППК26067,CNP,21.04.2026,certificate text (corpus),Доставил на испитување … на
ППК26068,CNP,21.04.2026,certificate text (corpus),Доставил на испитување … на
ППК26069,CNP,21.04.2026,certificate text (corpus),Доставил на испитување … на
ППК26110,CNP,17.06.2026,certificate text (corpus),Доставил на испитување … на
ППК26111,CNP,17.06.2026,certificate text (corpus),Доставил на испитување … на
ППК26112,CNP,17.06.2026,certificate text (corpus),Доставил на испитување … на
ППК26113,CNP,17.06.2026,certificate text (corpus),Доставил на испитување … на
ППК26114,CNP,17.06.2026,certificate text (corpus),Доставил на испитување … на
ППК26115,CNP,17.06.2026,certificate text (corpus),Доставил на испитување … на
ППК26116,CNP,17.06.2026,certificate text (corpus),Доставил на испитување … на
ППК26117,CNP,17.06.2026,certificate text (corpus),Доставил на испитување … на
ППК26118,CNP,17.06.2026,certificate text (corpus),Доставил на испитување … на
ППК26119,CNP,17.06.2026,certificate text (corpus),Доставил на испитување … на
ППК26127,CNP,02.07.2026,certificate text (corpus),Доставил на испитување … на
ППК26128,CNP,02.07.2026,certificate text (corpus),Доставил на испитување … на
10802_2845-2 EN,DFL,14.11.2025,certificate text (corpus),Date of sample receiving
10802_2845-2 MK,DFL,14.11.2025,certificate text (corpus),Дата и час на прием за анализа
051-1-K-26,FHM,23.02.2026,certificate text (corpus),Датум на прием
051-1-LoD-26,FHM,23.02.2026,certificate text (corpus),Датум на прием
051-2-K-26,FHM,23.02.2026,certificate text (corpus),Датум на прием
051-2-LoD-26,FHM,23.02.2026,certificate text (corpus),Датум на прием
051-3-K-26,FHM,23.02.2026,certificate text (corpus),Датум на прием
