code,phenotype,dominance,dom,chemotype,processing,packaging,printed_code,file
QCSP_001_AA-III_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_AA-III_v.01,BASE_SPCs/AA_Amsterdam_Amnesia_Grade_III.pdf
QCSP_001_AA-II_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_AA-II_v.01,BASE_SPCs/AA_Amsterdam_Amnesia_Grade_II.pdf
QCSP_001_AA-IV_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_AA-IV_v.01,BASE_SPCs/AA_Amsterdam_Amnesia_Grade_IV.pdf
QCSP_001_AA-I_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_AA-I_v.01,BASE_SPCs/AA_Amsterdam_Amnesia_Grade_I.pdf
QCSP_001_AB-III_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_AB-III_v.01,BASE_SPCs/AB_Apples_Bananas_Grade_III.pdf
QCSP_001_AB-II_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_AB-II_v.01,BASE_SPCs/AB_Apples_Bananas_Grade_II.pdf
QCSP_001_AB-I_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_AB-I_v.01,BASE_SPCs/AB_Apples_Bananas_Grade_I.pdf
QCSP_001_AC-III_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_AC-III_v.01,RENs/AC_Amnesia_Core_Grade_III.pdf
QCSP_001_AC-II_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_AC-II_v.01,RENs/AC_Amnesia_Core_Grade_II.pdf
QCSP_001_AC-IV_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_AC-IV_v.01,RENs/AC_Amnesia_Core_Grade_IV.pdf
QCSP_001_AC-I_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_AC-I_v.01,RENs/AC_Amnesia_Core_Grade_I.pdf
QCSP_001_ACC-III_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_ACC-III_v.01,BASE_SPCs/ACC_Amnesia_Core_Cut_Grade_III.pdf
QCSP_001_ACC-II_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_ACC-II_v.01,BASE_SPCs/ACC_Amnesia_Core_Cut_Grade_II.pdf
QCSP_001_ACC-IV_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_ACC-IV_v.01,BASE_SPCs/ACC_Amnesia_Core_Cut_Grade_IV.pdf
QCSP_001_ACC-I_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_ACC-I_v.01,BASE_SPCs/ACC_Amnesia_Core_Cut_Grade_I.pdf
QCSP_001_BB-III_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_BB-III_v.01,BASE_SPCs/BB_Banana_Blaze_Grade_III.pdf
QCSP_001_BB-II_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_BB-II_v.01,BASE_SPCs/BB_Banana_Blaze_Grade_II.pdf
QCSP_001_BB-IV_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_BB-IV_v.01,BASE_SPCs/BB_Banana_Blaze_Grade_IV.pdf
QCSP_001_BB-I_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_BB-I_v.01,BASE_SPCs/BB_Banana_Blaze_Grade_I.pdf
QCSP_001_BC-III_v.01,INDICA,,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_BC-III_v.01,NEWs/BC_Banana_Cake_Grade_III.pdf
QCSP_001_BC-II_v.01,INDICA,,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_BC-II_v.01,NEWs/BC_Banana_Cake_Grade_II.pdf
QCSP_001_BC-IV_v.01,INDICA,,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_BC-IV_v.01,NEWs/BC_Banana_Cake_Grade_IV.pdf
QCSP_001_BC-I_v.01,INDICA,,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_BC-I_v.01,NEWs/BC_Banana_Cake_Grade_I.pdf
QCSP_001_BG-II_v.01,INDICA,,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_BG-II_v.01,BASE_SPCs/BG_Blue_Gelato_Grade_II.pdf
QCSP_001_BG-I_v.01,INDICA,,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_BG-I_v.01,BASE_SPCs/BG_Blue_Gelato_Grade_I.pdf
QCSP_001_BSS-II_v.01,INDICA,,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_BSS-II_v.01,BASE_SPCs/BSS_Blue_Sunset_Sherbet_Grade_II.pdf
QCSP_001_BSS-I_v.01,INDICA,,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_BSS-I_v.01,BASE_SPCs/BSS_Blue_Sunset_Sherbet_Grade_I.pdf
QCSP_001_CAL-III_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_CAL-III_v.01,RENs/CAL_Calmino_Grade_III.pdf
QCSP_001_CAL-II_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_CAL-II_v.01,RENs/CAL_Calmino_Grade_II.pdf
QCSP_001_CAL-IV_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_CAL-IV_v.01,RENs/CAL_Calmino_Grade_IV.pdf
QCSP_001_CAL-I_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_CAL-I_v.01,RENs/CAL_Calmino_Grade_I.pdf
QCSP_001_CB-III_v.01,INDICA,,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_CB-III_v.01,RENs/CB_Citrus_Bloom_Grade_III.pdf
QCSP_001_CB-II_v.01,INDICA,,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_CB-II_v.01,RENs/CB_Citrus_Bloom_Grade_II.pdf
QCSP_001_CB-IV_v.01,INDICA,,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_CB-IV_v.01,T1_rename/CB_Citrus_Bloom_Grade_IV.pdf
QCSP_001_CB-I_v.01,INDICA,,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_CB-I_v.01,RENs/CB_Citrus_Bloom_Grade_I.pdf
QCSP_001_CC-III_v.01,HYBRID,INDICA 70 : SATIVA 30,Indica dom.,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_CC-III_v.01,BASE_SPCs/CC_Cash_Cow_Grade_III.pdf
QCSP_001_CC-II_v.01,HYBRID,INDICA 70 : SATIVA 30,Indica dom.,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_CC-II_v.01,BASE_SPCs/CC_Cash_Cow_Grade_II.pdf
QCSP_001_CC-I_v.01,HYBRID,INDICA 70 : SATIVA 30,Indica dom.,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_CC-I_v.01,BASE_SPCs/CC_Cash_Cow_Grade_I.pdf
QCSP_001_CF-III_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_CF-III_v.01,BASE_SPCs/CF_Chem_Flyer_Grade_III.pdf
QCSP_001_CF-II_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_CF-II_v.01,BASE_SPCs/CF_Chem_Flyer_Grade_II.pdf
QCSP_001_CF-IV_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_CF-IV_v.01,BASE_SPCs/CF_Chem_Flyer_Grade_IV.pdf
QCSP_001_CF-I_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_CF-I_v.01,BASE_SPCs/CF_Chem_Flyer_Grade_I.pdf
QCSP_001_CHA-III_v.01,HYBRID,TO BE DETERMINED,,CBD,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_CHA-III_v.01,BASE_SPCs/CHA_CBD_Charlotte_s_Angel_Grade_III.pdf
QCSP_001_CHA-II_v.01,HYBRID,TO BE DETERMINED,,CBD,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_CHA-II_v.01,BASE_SPCs/CHA_CBD_Charlotte_s_Angel_Grade_II.pdf
QCSP_001_CHA-IV_v.01,HYBRID,TO BE DETERMINED,,CBD,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_CHA-IV_v.01,BASE_SPCs/CHA_CBD_Charlotte_s_Angel_Grade_IV.pdf
QCSP_001_CHA-I_v.01,HYBRID,TO BE DETERMINED,,CBD,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_CHA-I_v.01,BASE_SPCs/CHA_CBD_Charlotte_s_Angel_Grade_I.pdf
QCSP_001_CHC-III_v.01,INDICA,,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_CHC-III_v.01,RENs/CHC_Cherry_Chocolate_Grade_III.pdf
QCSP_001_CHC-II_v.01,INDICA,,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_CHC-II_v.01,RENs/CHC_Cherry_Chocolate_Grade_II.pdf
QCSP_001_CHC-I_v.01,INDICA,,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_CHC-I_v.01,RENs/CHC_Cherry_Chocolate_Grade_I.pdf
QCSP_001_CJ-III_v.01,HYBRID,INDICA 60 : SATIVA 40,Indica dom.,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_CJ-III_v.01,BASE_SPCs/CJ_Cap_Junky_Grade_III.pdf
QCSP_001_CJ-II_v.01,HYBRID,INDICA 60 : SATIVA 40,Indica dom.,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_CJ-II_v.01,BASE_SPCs/CJ_Cap_Junky_Grade_II.pdf
QCSP_001_CJ-I_v.01,HYBRID,INDICA 60 : SATIVA 40,Indica dom.,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_CJ-I_v.01,BASE_SPCs/CJ_Cap_Junky_Grade_I.pdf
QCSP_001_CK-III_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_CK-III_v.01,RENs/CK_Cookie_Kush_Grade_III.pdf
QCSP_001_CK-II_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_CK-II_v.01,T1_rename/CK_Cookie_Kush_Grade_II.pdf
QCSP_001_CK-I_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_CK-I_v.01,RENs/CK_Cookie_Kush_Grade_I.pdf
QCSP_001_CLE-III_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_CLE-III_v.01,BASE_SPCs/CLE_Clemosa_Grade_III.pdf
QCSP_001_CLE-II_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_CLE-II_v.01,BASE_SPCs/CLE_Clemosa_Grade_II.pdf
QCSP_001_CLE-IV_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_CLE-IV_v.01,BASE_SPCs/CLE_Clemosa_Grade_IV.pdf
QCSP_001_CLE-I_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_CLE-I_v.01,BASE_SPCs/CLE_Clemosa_Grade_I.pdf
QCSP_001_CLE-V_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_CLE-V_v.01,BASE_SPCs/CLE_Clemosa_Grade_V.pdf
QCSP_001_COP-III_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_COP-III_v.01,BASE_SPCs/COP_Critical_Orange_Punch_Grade_III.pdf
QCSP_001_COP-II_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_COP-II_v.01,BASE_SPCs/COP_Critical_Orange_Punch_Grade_II.pdf
QCSP_001_COP-IV_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_COP-IV_v.01,BASE_SPCs/COP_Critical_Orange_Punch_Grade_IV.pdf
QCSP_001_COP-I_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_COP-I_v.01,BASE_SPCs/COP_Critical_Orange_Punch_Grade_I.pdf
QCSP_001_DI8-III_v.01,INDICA,,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_DI8-III_v.01,NEWs/DI8_Dante_s_Inferno_8_Grade_III.pdf
QCSP_001_DI8-II_v.01,INDICA,,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_DI8-II_v.01,NEWs/DI8_Dante_s_Inferno_8_Grade_II.pdf
QCSP_001_DI8-IV_v.01,INDICA,,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_DI8-IV_v.01,NEWs/DI8_Dante_s_Inferno_8_Grade_IV.pdf
QCSP_001_DI8-I_v.01,INDICA,,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_DI8-I_v.01,NEWs/DI8_Dante_s_Inferno_8_Grade_I.pdf
QCSP_001_DW-III_v.01,HYBRID,TO BE DETERMINED,,THC,MACHINE TRIMMED,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",QCSP 001_DW-III_v.01,RENs/DW_Daywalker_Grade_III.pdf
