Batch,Cultivation batch,Strain,Certificate,Series,Date of issue,#,Parameter,Result,Document,Issued,Laboratory,Internal,Status
CJ1024,CJ1024,Cup Junky,CoQ-PP_26-001,release,06.06.2026,1,"Identification A, Appearance · Macroscopic",Conforms | Одговара,iCoA-PP_26-001,03.06.2026,Purely Plant GmbH (in-house),yes,to be performed — see route
CJ1024,CJ1024,Cup Junky,CoQ-PP_26-142,reissue — 12-month retest,21.09.2026,1,"Identification A, Appearance · Macroscopic",Conforms | Одговара,iCoA-PP_26-178,24.08.2026,Purely Plant GmbH (in-house),yes,covered
CJ1024,CJ1024,Cup Junky,CoQ-PP_26-001,release,06.06.2026,2,Identification B · Microscopic,Conforms | Одговара,iCoA-PP_26-001,03.06.2026,Purely Plant GmbH (in-house),yes,to be performed — see route
CJ1024,CJ1024,Cup Junky,CoQ-PP_26-142,reissue — 12-month retest,21.09.2026,2,Identification B · Microscopic,Conforms | Одговара,iCoA-PP_26-178,24.08.2026,Purely Plant GmbH (in-house),yes,to be performed — see route
CJ1024,CJ1024,Cup Junky,CoQ-PP_26-001,release,06.06.2026,3,Identification C · HPLC/HPTLC,Conforms | Одговара,ППК25052,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,,covered
CJ1024,CJ1024,Cup Junky,CoQ-PP_26-142,reissue — 12-month retest,21.09.2026,3,Identification C · HPLC/HPTLC,Conforms | Одговара,227-26-К/26,11.09.2026,Farmahem,,covered
CJ1024,CJ1024,Cup Junky,CoQ-PP_26-001,release,06.06.2026,4,Assay — Total Δ⁹-THC,23.00,ППК25052,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,,covered
CJ1024,CJ1024,Cup Junky,CoQ-PP_26-142,reissue — 12-month retest,21.09.2026,4,Assay — Total Δ⁹-THC,28.12,227-26-К/26,11.09.2026,Farmahem,,covered
CJ1024,CJ1024,Cup Junky,CoQ-PP_26-001,release,06.06.2026,5,Assay — Total CBD,0.05,ППК25052,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,,covered
CJ1024,CJ1024,Cup Junky,CoQ-PP_26-142,reissue — 12-month retest,21.09.2026,5,Assay — Total CBD,< LOQ,227-26-К/26,11.09.2026,Farmahem,,covered
CJ1024,CJ1024,Cup Junky,CoQ-PP_26-001,release,06.06.2026,6,Total CBN,not tested,—,—,—,,not tested — no certificate covers it
CJ1024,CJ1024,Cup Junky,CoQ-PP_26-142,reissue — 12-month retest,21.09.2026,6,Total CBN,0.20,227-26-К/26,11.09.2026,Farmahem,,covered
CJ1024,CJ1024,Cup Junky,CoQ-PP_26-001,release,06.06.2026,7,Foreign Matter,Conforms | Одговара,iCoA-PP_26-001,03.06.2026,Purely Plant GmbH (in-house),yes,to be performed — see route
CJ1024,CJ1024,Cup Junky,CoQ-PP_26-142,reissue — 12-month retest,21.09.2026,7,Foreign Matter,Conforms | Одговара,iCoA-PP_26-178,24.08.2026,Purely Plant GmbH (in-house),yes,covered
CJ1024,CJ1024,Cup Junky,CoQ-PP_26-001,release,06.06.2026,8,Loss on Drying,5.91,ППК25052,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,,covered
CJ1024,CJ1024,Cup Junky,CoQ-PP_26-142,reissue — 12-month retest,21.09.2026,8,Loss on Drying,5.91,ППК25052,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,,carried from the initial testing (the batch's initial CoQ (number assigned on issue)) — covered
CJ1024,CJ1024,Cup Junky,CoQ-PP_26-001,release,06.06.2026,9.1,TAMC,8.4 × 10³,164/0272/25,24.02.2025,IPH — Institute of Public Health,,covered
