batch	total_thc_pct	loss_on_drying_pct	TAMC	TYMC	Pb	Cd	As	Hg
BG1024	26.14	5.73	1.6e4	1e4	0.01	0.016	0.014	0.005
BSS1024	25.01	5.99	1.5e4	2.2e3	0.071	0.014	0.081	0.014
GG1024	15.51	7.8	1.1e4	<10	0.052	0.016	0.04	0.004
HPA1024	17.31	7.9	1.3e4	7e2	0.031	0.017	0.045	0.005
OPM1024	20.03	7.15	1.3e4	7e2	0.031	0.017	0.045	0.005
P050042	18.14	5.86	<10	<10	0.031	0.004	0.01	0.001
P050052	21.61	6.36	9.6e3	1.5e4	0.059	0.014	0.037	0.008
P050062	18.04	6.89	3.4e3	3.6e3	0.052	0.011	0.028	0.061
P050072	28.30	6.58	1.1e4	1.2e4	ND	ND	0.119	ND
P050082	19.30	6.38	2e2	3e2	ND	ND	0.135	0.03
P050092	18.67	7.54	5.1e4	4.2e4	0.02	0.007	0.015	0.005
P050112	17.93	6.56	3.5e3	1e3	ND	ND	0.086	0.006
P050152	18.52	7.30	2.1e4	3.6e4	0.06	ND	ND	ND
P050162	24.05	7.93	2.8e4	1.7e4	0.085	ND	ND	ND
P050182	19.69	7.29	2.7e4	2.6e4	0.034	ND	ND	ND
P050192	20.52	8.60	2e2	2e2	0.024	0.004	0.025	0.0036
P050212	18.91	6.70	6.2e3	2.3e3	0.026	0.002	0.011	0.012
P05022	22.61	7.21	<10	<10	ND	ND	0.047	ND
P050222	24.80	7.77	<10	20	0.037	0.002	0.027	0.017
P050302	18.29	7.41	2e2	3e2	0.017	0.0028	0.02	0.019
P050312	25.13	6.29	4.3e2	1e3	0.014	0.003	0.02	0.017
P050322	15.70	6.88	3.2e3	5.8e3	0.013	0.003	0.02	0.016
P060012	23.48	7.50	10	30	ND	ND	ND	ND
P060022	28.34	7.21	1.5e2	1.3e2	0.075	ND	ND	ND
P060032	18.29	7.37	9.5e2	1.2e3	0.073	ND	ND	ND
P060062	12.25	7.97	2e3	2.2e3	0.03	ND	ND	ND
P060072	25.65	7.64	<10	<10	0.04	ND	ND	0.004
P060092	25.24	6.91	1e2	<10	0.022	ND	ND	0.007
P060112	13.95	6.4	5e1	5e1	0.078	ND	0.0187	ND
P060122	12.09	7.1	1e3	1.6e3	0.078	ND	0.022	ND
P060132	9.55	5.6	3.1e4	3.9e4	0.07	ND	0.0942	ND
P060152	17.32	6.3	1.6e2	1.9e2	0.061	ND	ND	ND
P060172	17.06	8.6	3.8e3	6.8e3	ND	ND	ND	ND
P060182	9.80	7.7	2.3e2	1.3e2	ND	ND	ND	0.0013
P060212	20.32	6.69	2.6e3	3.3e3	0.022	0.0149	0.02	0.0166
P060232	10.80	8.61	10	<10	ND	ND	ND	ND
P060242	7.91	6.6	120	100	0.049	0.165	ND	ND
P060282	19.73	6.84	2.3e3	4.3e3	0.0299	0.0136	0.0154	0.017
P060322	17.99	7.67	2e3	2.1e3	0.0114	0.017	0.0144	0.0155
P060352	18.86	6.08	6.3e4	2.2e4	0.017	0.008	0.009	0.002
P060362	21.01	6.95	2e2	1e2	0.008	0.011	0.01	0.002
P060372	14.76	6.42	2.7e3	1.6e1	0.006	0.007	0.006	0.001
P060382	17.84	7.15	5.4e4	1.8e4	0.004	0.008	0.009	0.004
P060402	16.70	6.48	5e3	4.1e3	0.059	0.03	0.05	0.015
P060412	14.43	7.52	6.3e3	4.4e3	0.085	0.044	0.042	0.042
P060422	17.09	7.04	5.1e3	4.7e3	ND	0.06	0.03	0.045
