batch,coq_code,issued,supersedes,supersedes_issued,icoa_cited,icoa_cited_issued,parameters_referenced,parameters_referenced_named,icoa_per_register,note
BG1024,CoQ-PP_26-085,17.08.2026,CoQ-PP_26-003,06.06.2026,iCoA-PP_26-098,27.07.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-085,
BSS1024,CoQ-PP_26-086,17.08.2026,CoQ-PP_26-002,06.06.2026,iCoA-PP_26-099,27.07.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-086,
GG1024,CoQ-PP_26-115,18.09.2026,CoQ-PP_26-004,06.06.2026,iCoA-PP_26-129,17.08.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-115,
HPA1024,CoQ-PP_26-097,17.08.2026,CoQ-PP_26-005,06.06.2026,iCoA-PP_26-110,27.07.2026,"1,2,7,8",Identification A · appearance · Identification B · microscopy · Foreign matter · Loss on drying,iCoA-PP_26-097,
OPM1024,CoQ-PP_26-101,17.08.2026,CoQ-PP_26-006,06.06.2026,iCoA-PP_26-114,27.07.2026,"1,2,7,8",Identification A · appearance · Identification B · microscopy · Foreign matter · Loss on drying,iCoA-PP_26-101,
P050042,CoQ-PP_26-128,18.09.2026,CoQ-PP_26-010,06.06.2026,iCoA-PP_26-142,17.08.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-128,
P050052,CoQ-PP_26-098,17.08.2026,CoQ-PP_26-011,06.06.2026,iCoA-PP_26-111,27.07.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-098,
P050062,CoQ-PP_26-102,17.08.2026,CoQ-PP_26-012,06.06.2026,iCoA-PP_26-115,27.07.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-102,
P050072,CoQ-PP_26-117,18.09.2026,CoQ-PP_26-013,06.06.2026,iCoA-PP_26-131,17.08.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-117,
P050082,CoQ-PP_26-130,18.09.2026,CoQ-PP_26-014,06.06.2026,iCoA-PP_26-147,17.08.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-130,
P050092,CoQ-PP_26-093,17.08.2026,CoQ-PP_26-015,06.06.2026,iCoA-PP_26-104,27.07.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-093,
P050112,CoQ-PP_26-127,18.09.2026,CoQ-PP_26-017,06.06.2026,iCoA-PP_26-140,17.08.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-127,
P050152,CoQ-PP_26-094,17.08.2026,CoQ-PP_26-020,06.06.2026,iCoA-PP_26-105,27.07.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-094,
P050162,CoQ-PP_26-088,17.08.2026,CoQ-PP_26-022,06.06.2026,iCoA-PP_26-100,27.07.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-088,
P050182,CoQ-PP_26-121,18.09.2026,CoQ-PP_26-024,06.06.2026,iCoA-PP_26-135,17.08.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-121,
P050192,CoQ-PP_26-107,18.09.2026,CoQ-PP_26-025,06.06.2026,iCoA-PP_26-122 + iCoA-PP_26-023,17.08.2026 + 03.06.2026,"1,2,7,8",Identification A · appearance · Identification B · microscopy · Foreign matter · Loss on drying,iCoA-PP_26-107,
P050212,CoQ-PP_26-089,07.09.2026,CoQ-PP_26-027,06.06.2026,iCoA-PP_26-091,27.07.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-089,
P05022,CoQ-PP_26-095,17.08.2026,CoQ-PP_26-007,06.06.2026,iCoA-PP_26-106,27.07.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-095,
P050222,CoQ-PP_26-110,18.09.2026,CoQ-PP_26-028,06.06.2026,iCoA-PP_26-124,17.08.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-110,
P050302,CoQ-PP_26-116,18.09.2026,CoQ-PP_26-034,06.06.2026,iCoA-PP_26-130,17.08.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-116,
P050312,CoQ-PP_26-118,18.09.2026,CoQ-PP_26-035,06.06.2026,iCoA-PP_26-132,17.08.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-118,
P050322,CoQ-PP_26-096,17.08.2026,CoQ-PP_26-036,06.06.2026,iCoA-PP_26-109,27.07.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-096,
P060012,CoQ-PP_26-135,18.09.2026,CoQ-PP_26-037,06.06.2026,iCoA-PP_26-152,17.08.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-135,
P060022,CoQ-PP_26-111,18.09.2026,CoQ-PP_26-038,06.06.2026,iCoA-PP_26-125,17.08.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-111,
P060032,CoQ-PP_26-090,17.08.2026,CoQ-PP_26-039,06.06.2026,iCoA-PP_26-102,27.07.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-090,
P060062,CoQ-PP_26-104,17.08.2026,CoQ-PP_26-042,06.06.2026,iCoA-PP_26-118,27.07.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-104,
P060072,CoQ-PP_26-112,18.09.2026,CoQ-PP_26-043,06.06.2026,iCoA-PP_26-126,17.08.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-112,
P060092,CoQ-PP_26-119,18.09.2026,CoQ-PP_26-045,06.06.2026,iCoA-PP_26-133,17.08.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-119,
P060112,CoQ-PP_26-132,18.09.2026,CoQ-PP_26-047,06.06.2026,iCoA-PP_26-149,17.08.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-132,
P060122,CoQ-PP_26-106,18.09.2026,CoQ-PP_26-048,06.06.2026,iCoA-PP_26-121,17.08.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-106,
P060132,CoQ-PP_26-109,18.09.2026,CoQ-PP_26-049,06.06.2026,iCoA-PP_26-123,17.08.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-109,
P060152,CoQ-PP_26-099,17.08.2026,CoQ-PP_26-051,06.06.2026,iCoA-PP_26-112,27.07.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-099,
P060172,CoQ-PP_26-126,18.09.2026,CoQ-PP_26-053,06.06.2026,iCoA-PP_26-139,17.08.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-126,
P060182,CoQ-PP_26-120,18.09.2026,CoQ-PP_26-054,06.06.2026,iCoA-PP_26-134,17.08.2026,"1,2,7",Identification A · appearance · Identification B · microscopy · Foreign matter,iCoA-PP_26-120,"9,11 credited to no laboratory"
