batch	pheno	split
BG1024	INDICA	
BSS1024	INDICA	
GG1024	INDICA	
HPA1024	SATIVA	
OPM1024	INDICA	
P050042	INDICA	
P050052	SATIVA	
P050062	INDICA	
P050072	HYBRID	
P050082	INDICA	
P050092	INDICA	
P050112	HYBRID	
P050152	HYBRID	
P050162	HYBRID	INDICA60 : SATIVA40
P050182	SATIVA	
P050192	INDICA	
P050212	HYBRID	INDICA60 : SATIVA40
P05022	HYBRID	
P050222	HYBRID	INDICA60 : SATIVA40
P050302	HYBRID	
P050312	HYBRID	
P050322	HYBRID	
P060012	HYBRID	
P060022	HYBRID	INDICA60 : SATIVA40
P060032	HYBRID	INDICA60 : SATIVA40
P060062	HYBRID	
P060072	HYBRID	INDICA60 : SATIVA40
P060092	HYBRID	
P060112	HYBRID	
P060122	HYBRID	
P060132	HYBRID	
P060152	HYBRID	INDICA70 : SATIVA30
P060172	INDICA	
P060182	HYBRID	
P060212	HYBRID	SATIVA60 : INDICA40
P060232	HYBRID	
P060242	INDICA	
P060282	HYBRID	
P060322	HYBRID	
P060352	HYBRID	
P060362	HYBRID	SATIVA60 : INDICA40
P060372	HYBRID	INDICA70 : SATIVA30
P060382	HYBRID	
P060402	INDICA	
P060412	HYBRID	SATIVA60 : INDICA40
P060422	HYBRID	SATIVA60 : INDICA40
