Tranche,Release CoQ code,Issued,Superseded by (retest CoQ),Retest issued,Production batch (P lot),Cultivation batch,Strain,Product type,Grade,Product code,Potency window (%),Nominal ± tol (%),Total THC result (%),CBD (%),CBN (%),Potency certificate,Certificate issued,Laboratory,Internal CoA,Internal CoA issued,Retest Total THC (%),Retest potency certificate
3,CoQ-PP_26-001,06.06.2026,CoQ-PP_26-142,21.09.2026,,CJ1024,Cup Junky,HYBRID · THC · MACHINE TRIMMED (INDICA 60 : SATIVA 40),Grade II,CJ_THC24 : CBD1,21.60 – 26.39,24.00 ± 2.40,23.00,0.05,—,ППК25052,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-001,03.06.2026,28.12,227-26-К/26
1,CoQ-PP_26-002,06.06.2026,CoQ-PP_26-086,17.08.2026,BSS1024,BSS1024,Blue Sunset Sherbet,INDICA · THC · MACHINE TRIMMED,Grade III,BSS_THC20 : CBD1,18.11 – 21.88,20.00 ± 1.89,21.03,0.04,0.02,ППК25051,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-002,03.06.2026,25.01,197-2-К/26
1,CoQ-PP_26-003,06.06.2026,CoQ-PP_26-085,17.08.2026,BG1024,BG1024,Blue Gelato,INDICA · THC · MACHINE TRIMMED,Grade II,BG_THC22 : CBD1,19.80 – 24.19,22.00 ± 2.20,21.80,0.04,0.02,ППК25050,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-003,03.06.2026,26.14,197-1-К/26
2,CoQ-PP_26-004,06.06.2026,CoQ-PP_26-115,18.09.2026,GG1024,GG1024,Gorilla Glue,INDICA · THC · MACHINE TRIMMED,,,,,—,—,—,—,,,iCoA-PP_26-004,03.06.2026,15.51,220-9-К/26
1,CoQ-PP_26-005,06.06.2026,CoQ-PP_26-097,17.08.2026,HPA1024,HPA1024,High Pro Amnesia,SATIVA · THC · MACHINE TRIMMED,Grade III,HPA_THC15 : CBD1,13.80 – 16.19,15.00 ± 1.20,14.97,0.04,—,iCoA-PP_26-005,03.06.2026,Purely Plant GmbH (in-house),iCoA-PP_26-005,03.06.2026,17.31,197-13-К/26
1,CoQ-PP_26-006,06.06.2026,CoQ-PP_26-101,17.08.2026,OPM1024,OPM1024,Orange Punch Mimosa,INDICA · THC · MACHINE TRIMMED,Grade I,OPM_THC20 : CBD1,18.60 – 21.39,20.00 ± 1.40,19.96,0.05,—,iCoA-PP_26-006,03.06.2026,Purely Plant GmbH (in-house),iCoA-PP_26-006,03.06.2026,20.03,197-17-К/26
1,CoQ-PP_26-007,06.06.2026,CoQ-PP_26-095,17.08.2026,P050022,GP0824_02,Grape Pie,HYBRID · THC · MACHINE TRIMMED (INDICA-DOMINANT),Grade II,GP_THC24 : CBD1,22.00 – 25.99,24.00 ± 2.00,23.79,0.10,0.02,ППК25139,22.05.2025,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-007,03.06.2026,22.61,197-11-К/26
3,CoQ-PP_26-008,06.06.2026,CoQ-PP_26-147,21.09.2026,P050012,GG1024_02,Gorilla Glue,INDICA · THC · MACHINE TRIMMED,Grade II,GG_THC15 : CBD1,13.77 – 16.22,15.00 ± 1.23,15.95,0.05,—,ППК25140,22.05.2025,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-008,03.06.2026,17.76,227-19-К/26
3,CoQ-PP_26-009,06.06.2026,CoQ-PP_26-156,21.09.2026,P050032,MB0824_04,Motor Breath,HYBRID · THC · MACHINE TRIMMED (INDICA-DOMINANT),Grade I,MB_THC18 : CBD1,16.20 – 19.79,18.00 ± 1.80,18.67,0.05,—,ППК25118,06.05.2025,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-009,03.06.2026,17.57,227-12-К/26
2,CoQ-PP_26-010,06.06.2026,CoQ-PP_26-128,18.09.2026,P050042,OMP1024_01,Orange Punch Mimosa,INDICA · THC · MACHINE TRIMMED,Grade III,OPM_THC14 : CBD1,12.60 – 15.39,14.00 ± 1.40,15.38,0.04,0.01,ППК25117,06.05.2025,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-090,03.06.2026,18.14,220-21-К/26
