CoQ code,Series,Register status,Date of issue,Supersedes,Plan no.,Batch (cultivation),P lot,Strain,Harvest,Packaging,Manuf. date (template),Pack. date (template),iCoA code,iCoA issued,iCoA tested / sampled,Retest campaign,Total THC (%),THC certificate,Grade,Potency window,Product code,Specification code,Specification status,Phenotype,Chemotype,Processing,Dominance,Packaging (spec.),Latest external certificate,#1 result,#1 document,#1 issued,#1 laboratory,#2 result,#2 document,#2 issued,#2 laboratory,#3 result,#3 document,#3 issued,#3 laboratory,#4 result,#4 document,#4 issued,#4 laboratory,#5 result,#5 document,#5 issued,#5 laboratory,#6 result,#6 document,#6 issued,#6 laboratory,#7 result,#7 document,#7 issued,#7 laboratory,#8 result,#8 document,#8 issued,#8 laboratory,#9.1 result,#9.1 document,#9.1 issued,#9.1 laboratory,#9.2 result,#9.2 document,#9.2 issued,#9.2 laboratory,#9.3 result,#9.3 document,#9.3 issued,#9.3 laboratory,#9.4 result,#9.4 document,#9.4 issued,#9.4 laboratory,#9.5 result,#9.5 document,#9.5 issued,#9.5 laboratory,#9.6 result,#9.6 document,#9.6 issued,#9.6 laboratory,#9.7 result,#9.7 document,#9.7 issued,#9.7 laboratory,#10.1 result,#10.1 document,#10.1 issued,#10.1 laboratory,#10.2 result,#10.2 document,#10.2 issued,#10.2 laboratory,#10.3 result,#10.3 document,#10.3 issued,#10.3 laboratory,#11.1 result,#11.1 document,#11.1 issued,#11.1 laboratory,#11.2 result,#11.2 document,#11.2 issued,#11.2 laboratory,#11.3 result,#11.3 document,#11.3 issued,#11.3 laboratory,#11.4 result,#11.4 document,#11.4 issued,#11.4 laboratory,#12 result,#12 document,#12 issued,#12 laboratory
CoQ-PP_26-001,release,issuable,06.06.2026,n/a — release certificate,(assigned on issue),CJ1024,— no P lot assigned —,Cap Junky,20.01.2025,03.03.2025,—,—,iCoA-PP_26-001,03.06.2026,03.03.2025,—,23.00,ППК25052,II,21.60 – 26.39 %,CJ_THC24 : CBD1,QCSP_001_CJ-II_v.01,"for review — replaces the issued QCSP_001_CJ-II_v.01 (was CJ_THC26 : CBD1, 25.01 – 26.99 %); now CJ_THC24 : CBD1 21.60 – 26.39 %",HYBRID,THC,MACHINE TRIMMED,INDICA 60 : SATIVA 40,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",27.02.2025,Conforms | Одговара,iCoA-PP_26-001,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,iCoA-PP_26-001,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,ППК25052,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,23.00,ППК25052,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,0.05,ППК25052,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,not tested,—,—,—,Conforms | Одговара,iCoA-PP_26-001,03.06.2026,Purely Plant GmbH (in-house),5.91,ППК25052,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,8.4 × 10³,164/0272/25,24.02.2025,IPH — Institute of Public Health,< 10,164/0272/25,24.02.2025,IPH — Institute of Public Health,< 10,164/0272/25,24.02.2025,IPH — Institute of Public Health,Absent | Отсутна,164/0272/25,24.02.2025,IPH — Institute of Public Health,Absent | Отсутна,164/0272/25,24.02.2025,IPH — Institute of Public Health,upon request — not required for release,—,—,—,upon request — not required for release,—,—,—,not tested,—,—,—,< 2,750/2025,27.02.2025,IPH — Institute of Public Health,not tested,—,—,—,0.036,750/2025,27.02.2025,IPH — Institute of Public Health,0.013,750/2025,27.02.2025,IPH — Institute of Public Health,0.063,750/2025,27.02.2025,IPH — Institute of Public Health,0.006,750/2025,27.02.2025,IPH — Institute of Public Health,ND,750/2025,27.02.2025,IPH — Institute of Public Health
CoQ-PP_26-002,release,issuable,06.06.2026,n/a — release certificate,CoQ-PP-2025-0001,BSS1024,BSS1024,Blue Sunset Sherbet,22.01.2025,04.03.2025,22.01.2025,04.03.2025,iCoA-PP_26-002,03.06.2026,04.03.2025,—,21.03,ППК25051,III,18.11 – 21.88 %,BSS_THC20 : CBD1,QCSP_001_BSS-III_v.01,for review — new,INDICA,THC,MACHINE TRIMMED,—,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",27.02.2025,Conforms | Одговара,iCoA-PP_26-002,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,iCoA-PP_26-002,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,ППК25051,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,21.03,ППК25051,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,0.04,ППК25051,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,0.02,ППК25051,26.02.2025,CNP,Conforms | Одговара,iCoA-PP_26-002,03.06.2026,Purely Plant GmbH (in-house),5.99,ППК25051,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,1.5 × 10⁴,161/0269/25,24.02.2025,IPH — Institute of Public Health,2.2 × 10³,161/0269/25,24.02.2025,IPH — Institute of Public Health,< 10² and > 10,161/0269/25,24.02.2025,IPH — Institute of Public Health,Absent | Отсутна,161/0269/25,24.02.2025,IPH — Institute of Public Health,Absent | Отсутна,161/0269/25,24.02.2025,IPH — Institute of Public Health,upon request — not required for release,—,—,—,upon request — not required for release,—,—,—,not tested,—,—,—,< 2,751/2025,27.02.2025,IPH — Institute of Public Health,not tested,—,—,—,0.071,751/2025,27.02.2025,IPH — Institute of Public Health,0.014,751/2025,27.02.2025,IPH — Institute of Public Health,0.081,751/2025,27.02.2025,IPH — Institute of Public Health,0.014,751/2025,27.02.2025,IPH — Institute of Public Health,ND,751/2025,27.02.2025,IPH — Institute of Public Health
CoQ-PP_26-003,release,issuable,06.06.2026,n/a — release certificate,CoQ-PP-2025-0002,BG1024,BG1024,Blue Gelato,21.01.2025,07.03.2025,21.01.2025,07.03.2025,iCoA-PP_26-003,03.06.2026,07.03.2025,—,21.80,ППК25050,II,19.80 – 24.19 %,BG_THC22 : CBD1,QCSP_001_BG-II_v.01,"for review — replaces the issued QCSP_001_BG-II_v.01 (was BG_THC23:CBD1, 23.00% ± 2.22%); now BG_THC22 : CBD1 19.80 – 24.19 %",INDICA,THC,MACHINE TRIMMED,—,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",27.02.2025,Conforms | Одговара,iCoA-PP_26-003,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,iCoA-PP_26-003,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,ППК25050,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,21.80,ППК25050,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,0.04,ППК25050,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,0.02,ППК25050,26.02.2025,CNP,Conforms | Одговара,iCoA-PP_26-003,03.06.2026,Purely Plant GmbH (in-house),5.73,ППК25050,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,1.6 × 10⁴,163/0271/25,24.02.2025,IPH — Institute of Public Health,1 × 10⁴,163/0271/25,24.02.2025,IPH — Institute of Public Health,< 10² and > 10,163/0271/25,24.02.2025,IPH — Institute of Public Health,Absent | Отсутна,163/0271/25,24.02.2025,IPH — Institute of Public Health,Absent | Отсутна,163/0271/25,24.02.2025,IPH — Institute of Public Health,upon request — not required for release,—,—,—,upon request — not required for release,—,—,—,not tested,—,—,—,< 2,752/2025,27.02.2025,IPH — Institute of Public Health,not tested,—,—,—,0.01,752/2025,27.02.2025,IPH — Institute of Public Health,0.016,752/2025,27.02.2025,IPH — Institute of Public Health,0.014,752/2025,27.02.2025,IPH — Institute of Public Health,0.005,752/2025,27.02.2025,IPH — Institute of Public Health,ND,752/2025,27.02.2025,IPH — Institute of Public Health
CoQ-PP_26-004,release,issuable,06.06.2026,n/a — release certificate,CoQ-PP-2025-0003,GG1024,GG1024,Gorilla Glue,20.01.2025,11.03.2025,20.01.2025,11.03.2025,iCoA-PP_26-004,03.06.2026,11.03.2025,—,—,—,—,Per grade of the potency specification of 15.09.2026 — no Total THC result on file,—,—,—,—,—,—,—,—,04.03.2025,Conforms | Одговара,iCoA-PP_26-004,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,iCoA-PP_26-004,03.06.2026,Purely Plant GmbH (in-house),not tested,—,—,—,not tested,—,—,—,not tested,—,—,—,not tested,—,—,—,Conforms | Одговара,iCoA-PP_26-004,03.06.2026,Purely Plant GmbH (in-house),7.8,ППК25008,29.01.2025,CNP,1.1 × 10⁴ CFU/g,166/0274/25,24.02.2025,IPH — Institute of Public Health,< 10,166/0274/25,24.02.2025,IPH — Institute of Public Health,< 10² and > 10 CFU/g,166/0274/25,24.02.2025,IPH — Institute of Public Health,Absent | Отсутна,166/0274/25,24.02.2025,IPH — Institute of Public Health,Absent | Отсутна,166/0274/25,24.02.2025,IPH — Institute of Public Health,upon request — not required for release,—,—,—,upon request — not required for release,—,—,—,not tested,—,—,—,< 2,748/2025,04.03.2025,IPH — Institute of Public Health,not tested,—,—,—,0.052,748/2025,04.03.2025,IPH — Institute of Public Health,0.016,748/2025,04.03.2025,IPH — Institute of Public Health,0.04,748/2025,04.03.2025,IPH — Institute of Public Health,0.004,748/2025,04.03.2025,IPH — Institute of Public Health,ND mg/Kg — all 22 residues,748/2025,04.03.2025,IJZ
CoQ-PP_26-005,release,issuable,06.06.2026,n/a — release certificate,CoQ-PP-2025-0004,HPA1024,HPA1024,High Pro Amnesia,22.01.2025,11.04.2025,22.01.2025,11.04.2025,iCoA-PP_26-005,03.06.2026,11.04.2025,—,14.97,iCoA-PP_26-005,III,13.80 – 16.19 %,HPA_THC15 : CBD1,QCSP_001_HPA-III_v.01,"for review — replaces the issued QCSP_001_HPA-III_v.01 (was HPA_THC18 : CBD1, 17.00 – 19.00 %); now HPA_THC15 : CBD1 13.80 – 16.19 %",SATIVA,THC,MACHINE TRIMMED,—,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",23.01.2025,Conforms | Одговара,iCoA-PP_26-005,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,iCoA-PP_26-005,03.06.2026,Purely Plant GmbH (in-house),not tested,—,—,—,14.97,iCoA-PP_26-005,03.06.2026,Purely Plant GmbH (in-house),0.04,iCoA-PP_26-005,03.06.2026,Purely Plant GmbH (in-house),not tested,—,—,—,Conforms | Одговара,iCoA-PP_26-005,03.06.2026,Purely Plant GmbH (in-house),not tested,—,—,—,5.2 × 10⁴,iCoA-PP_26-005,03.06.2026,Purely Plant GmbH (in-house),7 × 10²,iCoA-PP_26-005,03.06.2026,Purely Plant GmbH (in-house),< 10,iCoA-PP_26-005,03.06.2026,Purely Plant GmbH (in-house),Absent | Отсутна,iCoA-PP_26-005,03.06.2026,Purely Plant GmbH (in-house),Absent | Отсутна,iCoA-PP_26-005,03.06.2026,Purely Plant GmbH (in-house),upon request — not required for release,—,—,—,upon request — not required for release,—,—,—,not tested,—,—,—,< 2,iCoA-PP_26-005,03.06.2026,Purely Plant GmbH (in-house),not tested,—,—,—,0.02,iCoA-PP_26-005,03.06.2026,Purely Plant GmbH (in-house),0.013,iCoA-PP_26-005,03.06.2026,Purely Plant GmbH (in-house),0.017,iCoA-PP_26-005,03.06.2026,Purely Plant GmbH (in-house),0.0026,iCoA-PP_26-005,03.06.2026,Purely Plant GmbH (in-house),ND,iCoA-PP_26-005,03.06.2026,Purely Plant GmbH (in-house)
CoQ-PP_26-006,release,issuable,06.06.2026,n/a — release certificate,CoQ-PP-2025-0005,OPM1024,OPM1024,Orange Punch Mimosa,21.01.2025,24.04.2025 – 25.04.2025,21.01.2025,24.04.2025,iCoA-PP_26-006,03.06.2026,24.04.2025,—,19.96,iCoA-PP_26-006,I,18.60 – 21.39 %,OPM_THC20 : CBD1,QCSP_001_OPM-I_v.01,"for review — replaces the issued QCSP_001_OPM-I_v.01 (was OPM_THC22 : CBD1, 19.81 – 24.19 %); now OPM_THC20 : CBD1 18.60 – 21.39 %",INDICA,THC,MACHINE TRIMMED,—,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",23.04.2025,Conforms | Одговара,iCoA-PP_26-006,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,iCoA-PP_26-006,03.06.2026,Purely Plant GmbH (in-house),not tested,—,—,—,19.96,iCoA-PP_26-006,03.06.2026,Purely Plant GmbH (in-house),0.05,iCoA-PP_26-006,03.06.2026,Purely Plant GmbH (in-house),not tested,—,—,—,Conforms | Одговара,iCoA-PP_26-006,03.06.2026,Purely Plant GmbH (in-house),not tested,—,—,—,1.3 × 10⁴,iCoA-PP_26-006,03.06.2026,Purely Plant GmbH (in-house),7 × 10²,iCoA-PP_26-006,03.06.2026,Purely Plant GmbH (in-house),< 10² > 10³,iCoA-PP_26-006,03.06.2026,Purely Plant GmbH (in-house),Absent | Отсутна,iCoA-PP_26-006,03.06.2026,Purely Plant GmbH (in-house),Absent | Отсутна,iCoA-PP_26-006,03.06.2026,Purely Plant GmbH (in-house),upon request — not required for release,—,—,—,upon request — not required for release,—,—,—,not tested,—,—,—,< 2,iCoA-PP_26-006,03.06.2026,Purely Plant GmbH (in-house),not tested,—,—,—,0.031,iCoA-PP_26-006,03.06.2026,Purely Plant GmbH (in-house),0.017,iCoA-PP_26-006,03.06.2026,Purely Plant GmbH (in-house),0.045,iCoA-PP_26-006,03.06.2026,Purely Plant GmbH (in-house),0.005,iCoA-PP_26-006,03.06.2026,Purely Plant GmbH (in-house),ND,iCoA-PP_26-006,03.06.2026,Purely Plant GmbH (in-house)
CoQ-PP_26-007,release,issuable,06.06.2026,n/a — release certificate,CoQ-PP-2025-0006,GP0824_02,P050022,Grape Pie,22.04.2025 – 23.04.2025,03.06.2025 – 11.06.2025,22.04.2025,03.06.2025,iCoA-PP_26-008,03.06.2026,03.06.2025,—,23.79,ППК25139,II,22.00 – 25.99 %,GP_THC24 : CBD1,QCSP_001_GP-II_v.01,"for review — replaces the issued QCSP_001_GP-II_v.01 (was GP_THC26 : CBD1, 25.40 – 26.60 %); now GP_THC24 : CBD1 22.00 – 25.99 %",HYBRID,THC,MACHINE TRIMMED,INDICA-DOMINANT,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",02.07.2025,Conforms | Одговара,iCoA-PP_26-008,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,iCoA-PP_26-008,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,ППК25139,22.05.2025,UKIM Faculty of Pharmacy — Center for Natural Products,23.79,ППК25139,22.05.2025,UKIM Faculty of Pharmacy — Center for Natural Products,0.10,ППК25139,22.05.2025,UKIM Faculty of Pharmacy — Center for Natural Products,0.02,ППК25139,22.05.2025,UKIM Faculty of Pharmacy — Center for Natural Products,Conforms | Одговара,iCoA-PP_26-008,03.06.2026,Purely Plant GmbH (in-house),7.21,ППК25139,22.05.2025,UKIM Faculty of Pharmacy — Center for Natural Products,700,471-0862-25,22.05.2025,IPH — Institute of Public Health,< 10,471-0862-25,22.05.2025,IPH — Institute of Public Health,< 10² and > 10,471-0862-25,22.05.2025,IPH — Institute of Public Health,Absent | Отсутна,471-0862-25,22.05.2025,IPH — Institute of Public Health,Absent | Отсутна,471-0862-25,22.05.2025,IPH — Institute of Public Health,upon request — not required for release,—,—,—,upon request — not required for release,—,—,—,not tested,—,—,—,< 2,2471-2025,30.05.2025,IPH — Institute of Public Health,not tested,—,—,—,ND,2471-2025,30.05.2025,IPH — Institute of Public Health,ND,2471-2025,30.05.2025,IPH — Institute of Public Health,ND,2471-2025,30.05.2025,IPH — Institute of Public Health,ND,2471-2025,30.05.2025,IPH — Institute of Public Health,ND,2471-2025,30.05.2025,IPH — Institute of Public Health
CoQ-PP_26-008,release,issuable,06.06.2026,n/a — release certificate,(assigned on issue),GG1024_02,P050012,Gorilla Glue,14.04.2025 – 15.04.2025,11.06.2025 – 16.06.2025,—,—,iCoA-PP_26-009,03.06.2026,11.06.2025,—,15.95,ППК25140,II,13.77 – 16.22 %,GG_THC15 : CBD1,QCSP_001_GG-II_v.01,"for review — replaces the issued QCSP_001_GG-II_v.01 (was GG_THC16 : CBD1, 15.00 – 17.00 %); now GG_THC15 : CBD1 13.77 – 16.22 %",INDICA,THC,MACHINE TRIMMED,—,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",30.05.2025,Conforms | Одговара,iCoA-PP_26-009,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,iCoA-PP_26-009,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,ППК25140,22.05.2025,UKIM Faculty of Pharmacy — Center for Natural Products,15.95,ППК25140,22.05.2025,UKIM Faculty of Pharmacy — Center for Natural Products,0.05,ППК25140,22.05.2025,UKIM Faculty of Pharmacy — Center for Natural Products,not tested,—,—,—,Conforms | Одговара,iCoA-PP_26-009,03.06.2026,Purely Plant GmbH (in-house),6.88,ППК25140,22.05.2025,UKIM Faculty of Pharmacy — Center for Natural Products,2.1 × 10⁴,472/0863/25,22.05.2025,IPH — Institute of Public Health,1.9 × 10⁴,472/0863/25,22.05.2025,IPH — Institute of Public Health,< 10,472/0863/25,22.05.2025,IPH — Institute of Public Health,Absent | Отсутна,472/0863/25,22.05.2025,IPH — Institute of Public Health,Absent | Отсутна,472/0863/25,22.05.2025,IPH — Institute of Public Health,upon request — not required for release,—,—,—,upon request — not required for release,—,—,—,not tested,—,—,—,< 2,2472/2025,30.05.2025,IPH — Institute of Public Health,not tested,—,—,—,ND,2472/2025,30.05.2025,IPH — Institute of Public Health,ND,2472/2025,30.05.2025,IPH — Institute of Public Health,ND,2472/2025,30.05.2025,IPH — Institute of Public Health,ND,2472/2025,30.05.2025,IPH — Institute of Public Health,ND,2472/2025,30.05.2025,IPH — Institute of Public Health
CoQ-PP_26-009,release,issuable,06.06.2026,n/a — release certificate,(assigned on issue),MB0824_04,P050032,Motor Breath,02.04.2025 – 03.04.2025,16.06.2025 – 19.06.2025,—,—,iCoA-PP_26-010,03.06.2026,16.06.2025,—,18.67,ППК25118,I,16.20 – 19.79 %,MB_THC18 : CBD1,QCSP_001_MB-I_v.01,"for review — replaces the issued QCSP_001_MB-I_v.01 (was MB_THC18 : CBD1, 16.20 – 19.80 %); now MB_THC18 : CBD1 16.20 – 19.79 %",HYBRID,THC,MACHINE TRIMMED,INDICA-DOMINANT,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",07.05.2025,Conforms | Одговара,iCoA-PP_26-010,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,iCoA-PP_26-010,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,ППК25118,06.05.2025,UKIM Faculty of Pharmacy — Center for Natural Products,18.67,ППК25118,06.05.2025,UKIM Faculty of Pharmacy — Center for Natural Products,0.05,ППК25118,06.05.2025,UKIM Faculty of Pharmacy — Center for Natural Products,not tested,—,—,—,Conforms | Одговара,iCoA-PP_26-010,03.06.2026,Purely Plant GmbH (in-house),6.01,ППК25118,06.05.2025,UKIM Faculty of Pharmacy — Center for Natural Products,< 10,406/0744/25,05.05.2025,IPH — Institute of Public Health,< 10,406/0744/25,05.05.2025,IPH — Institute of Public Health,< 10,406/0744/25,05.05.2025,IPH — Institute of Public Health,Absent | Отсутна,406/0744/25,05.05.2025,IPH — Institute of Public Health,Absent | Отсутна,406/0744/25,05.05.2025,IPH — Institute of Public Health,upon request — not required for release,—,—,—,upon request — not required for release,—,—,—,not tested,—,—,—,< 2,2157/2025,07.05.2025,IPH — Institute of Public Health,not tested,—,—,—,0.031,2157/2025,07.05.2025,IPH — Institute of Public Health,0.005,2157/2025,07.05.2025,IPH — Institute of Public Health,0.011,2157/2025,07.05.2025,IPH — Institute of Public Health,ND,2157/2025,07.05.2025,IPH — Institute of Public Health,ND,2157/2025,07.05.2025,IPH — Institute of Public Health
CoQ-PP_26-010,release,issuable,06.06.2026,n/a — release certificate,CoQ-PP-2025-0007,OMP1024_01,P050042,Orange Punch Mimosa,26.03.2025 – 27.03.2025,20.06.2025,26.03.2025,20.06.2025,iCoA-PP_26-092,03.06.2026,—,—,15.38,ППК25117,III,12.60 – 15.39 %,OPM_THC14 : CBD1,QCSP_001_OPM-III_v.01,"for review — replaces the issued QCSP_001_OPM-III_v.01 (was OPM_THC16:CBD1, 16.00% ± 3.00%); now OPM_THC14 : CBD1 12.60 – 15.39 %",INDICA,THC,MACHINE TRIMMED,—,"Triplex Alu Bag | Триплекс Aлу Kеса, PET 12 · ALU 7 · PE 80, 300 × 500 mm, net. 400.0 g ±3%",07.05.2025,Conforms | Одговара,iCoA-PP_26-092,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,iCoA-PP_26-092,03.06.2026,Purely Plant GmbH (in-house),Conforms | Одговара,ППК25117,06.05.2025,UKIM Faculty of Pharmacy — Center for Natural Products,15.38,ППК25117,06.05.2025,UKIM Faculty of Pharmacy — Center for Natural Products,0.04,ППК25117,06.05.2025,UKIM Faculty of Pharmacy — Center for Natural Products,0.01,ППК25117,06.05.2025,CNP,Conforms | Одговара,iCoA-PP_26-092,03.06.2026,Purely Plant GmbH (in-house),5.86,ППК25117,06.05.2025,UKIM Faculty of Pharmacy — Center for Natural Products,10,407-0745-25,05.05.2025,IPH — Institute of Public Health,< 10,407-0745-25,05.05.2025,IPH — Institute of Public Health,< 10² and > 10,407-0745-25,05.05.2025,IPH — Institute of Public Health,Absent | Отсутна,407-0745-25,05.05.2025,IPH — Institute of Public Health,Absent | Отсутна,407-0745-25,05.05.2025,IPH — Institute of Public Health,upon request — not required for release,—,—,—,upon request — not required for release,—,—,—,not tested,—,—,—,< 2,2156/2025,07.05.2025,IPH — Institute of Public Health,not tested,—,—,—,0.031,2156/2025,07.05.2025,IPH — Institute of Public Health,0.004,2156/2025,07.05.2025,IPH — Institute of Public Health,0.01,2156/2025,07.05.2025,IPH — Institute of Public Health,0.001,2156/2025,07.05.2025,IPH — Institute of Public Health,ND,2156/2025,07.05.2025,IPH — Institute of Public Health
