coq	series	p_lot	cultivation_batch	row	parameter	class	carried_from_initial	register_status	certificates_that_report_it
CoQ-PP_26-001	initial		CJ1024	10.1	Aflatoxin B1	UNTESTED		not tested at release — the IPH certificate reports total aflatoxins o	
CoQ-PP_26-001	initial		CJ1024	10.3	Ochratoxin A	UNTESTED		not tested at release — the IPH certificate reports total aflatoxins o	
CoQ-PP_26-002	initial	BSS1024	BSS1024	10.1	Aflatoxin B1	LATER-ROUND		not tested — no certificate covers it	exact 197-2-М/26 10.08.2026 = ND (after the CoQ) | exact 197-2-М/26 10.08.2026 = ND (after the CoQ)
CoQ-PP_26-002	initial	BSS1024	BSS1024	10.3	Ochratoxin A	LATER-ROUND		not tested — no certificate covers it	exact 197-2-М/26 10.08.2026 = ND (after the CoQ) | exact 197-2-М/26 10.08.2026 = ND (after the CoQ)
CoQ-PP_26-003	initial	BG1024	BG1024	10.1	Aflatoxin B1	LATER-ROUND		not tested — no certificate covers it	exact None 10.08.2026 = ND (after the CoQ) | exact 197-1-М/26  = ND (after the CoQ)
CoQ-PP_26-003	initial	BG1024	BG1024	10.3	Ochratoxin A	LATER-ROUND		not tested — no certificate covers it	exact None 10.08.2026 = ND (after the CoQ) | exact 197-1-М/26  = ND (after the CoQ)
CoQ-PP_26-004	initial	GG1024	GG1024	3	Identification C (HPLC)	WIRED-MISS		not tested — no certificate covers it	exact None 23.04.2025 = Confirms | exact in-house record, no certificate  = Conforms | Одговара
CoQ-PP_26-004	initial	GG1024	GG1024	4	Total THC	WIRED-MISS		not tested — no certificate covers it	exact None 23.04.2025 = 13.34 % | exact in-house record, no certificate  = 13.34 | exact 220-9-К/26  = 15.51 (after the CoQ)
CoQ-PP_26-004	initial	GG1024	GG1024	5	Total CBD	WIRED-MISS		not tested — no certificate covers it	exact None 23.04.2025 = 0.03 % | exact in-house record, no certificate  = 0.03 | exact 220-9-К/26  = <LOQ (after the CoQ)
CoQ-PP_26-004	initial	GG1024	GG1024	6	Total CBN	WIRED-MISS		not tested — no certificate covers it	exact None 23.04.2025 = N.D. | exact 220-9-К/26  = <LOQ (after the CoQ)
CoQ-PP_26-004	initial	GG1024	GG1024	10.1	Aflatoxin B1	LATER-ROUND		not tested — no certificate covers it	exact 220-9-М/26  = ND (after the CoQ)
CoQ-PP_26-004	initial	GG1024	GG1024	10.3	Ochratoxin A	LATER-ROUND		not tested — no certificate covers it	exact 220-9-М/26  = ND (after the CoQ)
