batch	coq	icoa	scope
BG1024	CoQ-PP_26-085	iCoA-PP_26-098	1,2,7
BSS1024	CoQ-PP_26-086	iCoA-PP_26-099	1,2,7
GG1024	CoQ-PP_26-115	iCoA-PP_26-129	1,2,7
HPA1024	CoQ-PP_26-097	iCoA-PP_26-110	1,2,7,8
OPM1024	CoQ-PP_26-101	iCoA-PP_26-114	1,2,7,8
P050042	CoQ-PP_26-128	iCoA-PP_26-142	1,2,7
P050052	CoQ-PP_26-098	iCoA-PP_26-111	1,2,7
P050062	CoQ-PP_26-102	iCoA-PP_26-115	1,2,7
P050072	CoQ-PP_26-117	iCoA-PP_26-131	1,2,7
P050082	CoQ-PP_26-130	iCoA-PP_26-147	1,2,7
P050092	CoQ-PP_26-093	iCoA-PP_26-104	1,2,7
P050112	CoQ-PP_26-127	iCoA-PP_26-140	1,2,7
P050152	CoQ-PP_26-094	iCoA-PP_26-105	1,2,7
P050162	CoQ-PP_26-088	iCoA-PP_26-100	1,2,7
P050182	CoQ-PP_26-121	iCoA-PP_26-135	1,2,7
P050192	CoQ-PP_26-107	iCoA-PP_26-122	1,2,7
P050212	CoQ-PP_26-089	iCoA-PP_26-091	1,2,7
P05022	CoQ-PP_26-095	iCoA-PP_26-106	1,2,7
P050222	CoQ-PP_26-110	iCoA-PP_26-124	1,2,7
P050302	CoQ-PP_26-116	iCoA-PP_26-130	1,2,7
P050312	CoQ-PP_26-118	iCoA-PP_26-132	1,2,7
P050322	CoQ-PP_26-096	iCoA-PP_26-109	1,2,7
P060012	CoQ-PP_26-135	iCoA-PP_26-152	1,2,7
P060022	CoQ-PP_26-111	iCoA-PP_26-125	1,2,7
P060032	CoQ-PP_26-090	iCoA-PP_26-102	1,2,7
P060062	CoQ-PP_26-104	iCoA-PP_26-118	1,2,7
P060072	CoQ-PP_26-112	iCoA-PP_26-126	1,2,7
P060092	CoQ-PP_26-119	iCoA-PP_26-133	1,2,7
P060112	CoQ-PP_26-132	iCoA-PP_26-149	1,2,7
P060122	CoQ-PP_26-106	iCoA-PP_26-121	1,2,7
P060132	CoQ-PP_26-109	iCoA-PP_26-123	1,2,7
P060152	CoQ-PP_26-099	iCoA-PP_26-112	1,2,7
P060172	CoQ-PP_26-126	iCoA-PP_26-139	1,2,7
P060182	CoQ-PP_26-120	iCoA-PP_26-134	1,2,7
P060212	CoQ-PP_26-100	iCoA-PP_26-113	1,2,7
P060232	CoQ-PP_26-131	iCoA-PP_26-148	1,2,7
P060242	CoQ-PP_26-103	iCoA-PP_26-116	1,2,7
P060282	CoQ-PP_26-133	iCoA-PP_26-150	1,2,7
P060322	CoQ-PP_26-114	iCoA-PP_26-128	1,2,7
P060352	CoQ-PP_26-091	iCoA-PP_26-107	1,2,7
P060362	CoQ-PP_26-122	iCoA-PP_26-138	1,2
P060372	CoQ-PP_26-108	iCoA-PP_26-143	1,2,7
P060382	CoQ-PP_26-105	iCoA-PP_26-117	1,2,7
P060422	CoQ-PP_26-124	iCoA-PP_26-137	1,2,7
P060402	CoQ-PP_26-092	—	—
P060412	CoQ-PP_26-123	—	—
