tranche	status	coq	p_lot	cultivation_batch	issued	date_before	date_after	row	parameter	before	before_source	after	after_source
T1	proposed	CoQ-PP_26-002	BSS1024	BSS1024	yes	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T1	proposed	CoQ-PP_26-002	BSS1024	BSS1024	yes	06.06.2026	06.06.2026	10.3	Ochratoxin A	[ — ]		n/t	
T1	proposed	CoQ-PP_26-003	BG1024	BG1024	yes	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T1	proposed	CoQ-PP_26-003	BG1024	BG1024	yes	06.06.2026	06.06.2026	10.3	Ochratoxin A	[ — ]		n/t	
T1	proposed	CoQ-PP_26-005	HPA1024	HPA1024	yes	06.06.2026	07.08.2026	3	Identification C (HPLC)	[ — ]		Conforms	197-13-К/26
T1	proposed	CoQ-PP_26-005	HPA1024	HPA1024	yes	06.06.2026	07.08.2026	6	Total CBN	[ — ]		0.36	197-13-К/26
T1	proposed	CoQ-PP_26-005	HPA1024	HPA1024	yes	06.06.2026	07.08.2026	8	Loss on drying	[ — ]		n/t	
T1	proposed	CoQ-PP_26-005	HPA1024	HPA1024	yes	06.06.2026	07.08.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T1	proposed	CoQ-PP_26-005	HPA1024	HPA1024	yes	06.06.2026	07.08.2026	10.3	Ochratoxin A	[ — ]		n/t	
T1	proposed	CoQ-PP_26-006	OPM1024	OPM1024	yes	06.06.2026	07.08.2026	3	Identification C (HPLC)	[ — ]		Conforms	197-17-К/26
T1	proposed	CoQ-PP_26-006	OPM1024	OPM1024	yes	06.06.2026	07.08.2026	6	Total CBN	[ — ]		< LOQ	197-17-К/26
T1	proposed	CoQ-PP_26-006	OPM1024	OPM1024	yes	06.06.2026	07.08.2026	8	Loss on drying	[ — ]		n/t	
T1	proposed	CoQ-PP_26-006	OPM1024	OPM1024	yes	06.06.2026	07.08.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T1	proposed	CoQ-PP_26-006	OPM1024	OPM1024	yes	06.06.2026	07.08.2026	10.3	Ochratoxin A	[ — ]		n/t	
T1	proposed	CoQ-PP_26-007	P050022	GP0824_02	yes	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
