p_lot	cultivation_batch	laboratory	parameters to test	certificates waiting on it
P050142	BSS1024_01/2	Farmahem (LoD, loss on drying)	Loss on drying	CoQ-PP_26-021 CoQ-PP_26-138
P050142	BSS1024_01/2	IPH contaminants (IJZ)	Lead, Cadmium, Arsenic, Mercury, Pesticide residues	CoQ-PP_26-021 CoQ-PP_26-138
P050202	GP062501	Farmahem (М, mycotoxins)	Aflatoxin B1, Ochratoxin A	CoQ-PP_26-026 CoQ-PP_26-149
P060142	GRC102501/1	Farmahem (LoD, loss on drying)	Loss on drying	CoQ-PP_26-050 CoQ-PP_26-152
P060142	GRC102501/1	IPH contaminants (IJZ)	Lead, Cadmium, Arsenic, Mercury, Pesticide residues	CoQ-PP_26-050 CoQ-PP_26-152
	SJ102501	IPH contaminants (IJZ)	Lead, Cadmium, Arsenic, Mercury	CoQ-PP_26-052 CoQ-PP_26-162
	P060332	Farmahem (LoD, loss on drying)	Loss on drying	CoQ-PP_26-068 CoQ-PP_26-087
	P060332	IPH contaminants (IJZ)	Lead, Cadmium, Arsenic, Mercury, Pesticide residues	CoQ-PP_26-068 CoQ-PP_26-087
P060342	SCR012601	Farmahem (LoD, loss on drying)	Loss on drying	CoQ-PP_26-073 CoQ-PP_26-160
P060342	SCR012601	IPH contaminants (IJZ)	Lead, Cadmium, Arsenic, Mercury, Pesticide residues	CoQ-PP_26-073 CoQ-PP_26-160
