batch	coq_code	issued	supersedes	supersedes_issued	icoa_cited	icoa_cited_issued	icoa_scope	parameters_referenced	parameters_referenced_named	icoa_per_register	register_agrees	pheno	pheno_split	total_thc_pct	loss_on_drying_pct	TAMC	TYMC	Pb	Cd	As	Hg	drive_file_id	drive_title	drive_bytes	note
BG1024	CoQ-PP_26-085	17.08.2026	CoQ-PP_26-003	06.06.2026	iCoA-PP_26-098	27.07.2026	1,2,7	1,2,7	Identification A · appearance · Identification B · microscopy · Foreign matter	iCoA-PP_26-085	NO	INDICA		26.14	5.73	1.6e4	1e4	0.01	0.016	0.014	0.005	1mYg_gnva5q9K_-uTY2MPIN46iq8aMebC	BG1024 (1).pdf	525357	
BSS1024	CoQ-PP_26-086	17.08.2026	CoQ-PP_26-002	06.06.2026	iCoA-PP_26-099	27.07.2026	1,2,7	1,2,7	Identification A · appearance · Identification B · microscopy · Foreign matter	iCoA-PP_26-086	NO	INDICA		25.01	5.99	1.5e4	2.2e3	0.071	0.014	0.081	0.014	1turLjlkueTZLO_wWRfUw-eqJuxJQ8hmq	BSS1024 (1).pdf	537588	
GG1024	CoQ-PP_26-115	18.09.2026	CoQ-PP_26-004	06.06.2026	iCoA-PP_26-129	17.08.2026	1,2,7	1,2,7	Identification A · appearance · Identification B · microscopy · Foreign matter	iCoA-PP_26-115	NO	INDICA		15.51	7.8	1.1e4	<10	0.052	0.016	0.04	0.004	1wFgq1tRmzVzzce4TGeqytI5zEU7j19sA	GG1024.pdf	552729	
HPA1024	CoQ-PP_26-097	17.08.2026	CoQ-PP_26-005	06.06.2026	iCoA-PP_26-110	27.07.2026	1,2,7,8	1,2,7,8	Identification A · appearance · Identification B · microscopy · Foreign matter · Loss on drying	iCoA-PP_26-097	NO	SATIVA		17.31	7.9	1.3e4	7e2	0.031	0.017	0.045	0.005	1JfttSl_EiBYPHn7KXwUZDu3GpcnaGFJ8	HPA1024 (1).pdf	586000	
OPM1024	CoQ-PP_26-101	17.08.2026	CoQ-PP_26-006	06.06.2026	iCoA-PP_26-114	27.07.2026	1,2,7,8	1,2,7,8	Identification A · appearance · Identification B · microscopy · Foreign matter · Loss on drying	iCoA-PP_26-101	NO	INDICA		20.03	7.15	1.3e4	7e2	0.031	0.017	0.045	0.005	197eKpSvdDzUReYy4AMXZxuhxeKwD7mNW	OPM1024 (2).pdf	602406	
P005022	CoQ-PP_26-095	17.08.2026	CoQ-PP_26-007	06.06.2026	iCoA-PP_26-106	27.07.2026	1,2,7	1,2,7	Identification A · appearance · Identification B · microscopy · Foreign matter	iCoA-PP_26-095	NO	HYBRID		22.61	7.21	<10	<10	ND	ND	0.047	ND	1zohLeaQP8EoB5RHusPhsc3yqDg0Ut2YS	P05022 (1).pdf	525138	
P050042	CoQ-PP_26-128	18.09.2026	CoQ-PP_26-010	06.06.2026	iCoA-PP_26-142	17.08.2026	1,2,7	1,2,7	Identification A · appearance · Identification B · microscopy · Foreign matter	iCoA-PP_26-128	NO	INDICA		18.14	5.86	<10	<10	0.031	0.004	0.01	0.001	1160fGfnTKso4Lf99QI0WYpVRS-K1CHD3	P050042.pdf	545409	
P050052	CoQ-PP_26-098	17.08.2026	CoQ-PP_26-011	06.06.2026	iCoA-PP_26-111	27.07.2026	1,2,7	1,2,7	Identification A · appearance · Identification B · microscopy · Foreign matter	iCoA-PP_26-098	NO	SATIVA		21.61	6.36	9.6e3	1.5e4	0.059	0.014	0.037	0.008	1aNIH7twrFoPI0z6tRErQ6TPp9vSAJKu7	P050052 (1).pdf	527165	
P050062	CoQ-PP_26-102	17.08.2026	CoQ-PP_26-012	06.06.2026	iCoA-PP_26-115	27.07.2026	1,2,7	1,2,7	Identification A · appearance · Identification B · microscopy · Foreign matter	iCoA-PP_26-102	NO	INDICA		18.04	6.89	3.4e3	3.6e3	0.052	0.011	0.028	0.061	1AJOSv6xceSgU-vVhP9mxRLMc9j4sPdh0	P050062 (1).pdf	533133	
P050072	CoQ-PP_26-117	18.09.2026	CoQ-PP_26-013	06.06.2026	iCoA-PP_26-131	17.08.2026	1,2,7	1,2,7	Identification A · appearance · Identification B · microscopy · Foreign matter	iCoA-PP_26-117	NO	HYBRID		28.30	6.58	1.1e4	1.2e4	ND	ND	0.119	ND	11nlikkWSKe7IQQb7QiTXhaJ7hn7GQJJy	P050072.pdf	557170	
P050082	CoQ-PP_26-130	18.09.2026	CoQ-PP_26-014	06.06.2026	iCoA-PP_26-147	17.08.2026	1,2,7	1,2,7	Identification A · appearance · Identification B · microscopy · Foreign matter	iCoA-PP_26-130	NO	INDICA		19.30	6.38	2e2	3e2	ND	ND	0.135	0.03	1BkRyXlfNSKAcmInu6SLa3ieTUwZ_HnrM	P050082.pdf	564220	
P050092	CoQ-PP_26-093	17.08.2026	CoQ-PP_26-015	06.06.2026	iCoA-PP_26-104	27.07.2026	1,2,7	1,2,7	Identification A · appearance · Identification B · microscopy · Foreign matter	iCoA-PP_26-093	NO	INDICA		18.67	7.54	5.1e4	4.2e4	0.02	0.007	0.015	0.005	1AC1woVYClWr7d8WNq4h-CdVhj6WtvFay	P050092 (1).pdf	533113	
P050112	CoQ-PP_26-127	18.09.2026	CoQ-PP_26-017	06.06.2026	iCoA-PP_26-140	17.08.2026	1,2,7	1,2,7	Identification A · appearance · Identification B · microscopy · Foreign matter	iCoA-PP_26-127	NO	HYBRID		17.93	6.56	3.5e3	1e3	ND	ND	0.086	0.006	1RDpsc6Cxe6tjff3DiAQJ3RzAEjgwIZjj	P050112.pdf	516468	
