batch_order	batch_month	coq_code	lot	cultivation_batch	strain	grade	thc_pct	specification	icoa_code	icoa_renumbered_from	issuable	issued	icoa_issue_date
1	2003-06	CoQ-PP_26-087		P060332	Cash Cow	I	17.67	QCSP_001_CC-I_v.01	iCoA-PP_26-087		yes	False	27.07.2026
2	2024-08	CoQ-PP_26-156	P050032	MB0824_04	Motor Breath	I	17.57	QCSP_001_MB-I_v.01	iCoA-PP_26-156		allocated	False	24.08.2026
3	2024-08	CoQ-PP_26-151	P050102	GP0824_01	Grape Pie	I	28.68	QCSP_001_GP-I_v.01	iCoA-PP_26-151		allocated	False	24.08.2026
4	2024-10	CoQ-PP_26-147	P050012	GG1024_02	Gorilla Glue	I	17.76	QCSP_001_GG-I_v.01	iCoA-PP_26-085	iCoA-PP_26-147	allocated	False	24.08.2026
5	2024-10	CoQ-PP_26-137	P050122	BSS1024_01	Blue Sunset Sherbet	I	26.10	QCSP_001_BSS-I_v.01	iCoA-PP_26-086	iCoA-PP_26-137	allocated	False	24.08.2026
6	2024-10	CoQ-PP_26-138	P050142	BSS1024_01/2	Blue Sunset Sherbet	I	26.69	QCSP_001_BSS-I_v.01	iCoA-PP_26-088	iCoA-PP_26-138	allocated	False	24.08.2026
7	2024-10	CoQ-PP_26-142		CJ1024	Cap Junky	I	28.12	QCSP_001_CJ-I_v.01	iCoA-PP_26-089	iCoA-PP_26-142	allocated	False	24.08.2026
8	2025-05	CoQ-PP_26-157	P050132	OPM052501	Orange Punch Mimosa	II	17.83	QCSP_001_OPM-II_v.01	iCoA-PP_26-157		allocated	False	24.08.2026
9	2025-05	CoQ-PP_26-140	P050172	CJ052501-2	Cap Junky	III	21.30	QCSP_001_CJ-III_v.01	iCoA-PP_26-090	iCoA-PP_26-140	allocated	False	24.08.2026
10	2025-06	CoQ-PP_26-149	P050202	GP062501	Grape Pie	II	25.97	QCSP_001_GP-II_v.01	iCoA-PP_26-093	iCoA-PP_26-149	allocated	False	24.08.2026
11	2025-07	CoQ-PP_26-141	P050252	CJ072501	Cap Junky	I	28.18	QCSP_001_CJ-I_v.01	iCoA-PP_26-141		allocated	False	24.08.2026
12	2025-07	CoQ-PP_26-164	P050262	WC072501	Wedding Crusher	I	25.37	QCSP_001_WC-I_v.01	iCoA-PP_26-164		allocated	False	24.08.2026
13	2025-07	CoQ-PP_26-159	P050272	PM072501	Permanent Marker	II	12.77	QCSP_001_PM-II_v.01	iCoA-PP_26-159		allocated	False	24.08.2026
14	2025-07	CoQ-PP_26-150	P050292	GP072501-1	Grape Pie	I	26.54	QCSP_001_GP-I_v.01	iCoA-PP_26-094	iCoA-PP_26-150	allocated	False	24.08.2026
15	2025-09	CoQ-PP_26-136	P060052	AB092501	Apple and Banana	I	22.97	QCSP_001_AB-I_v.01	iCoA-PP_26-136		allocated	False	24.08.2026
16	2025-10	CoQ-PP_26-165	P060102	WED102501	Wedding Cake	I	25.15	QCSP_001_WED-I_v.01	iCoA-PP_26-165		allocated	False	24.08.2026
17	2025-10	CoQ-PP_26-152	P060142	GRC102501/1	Grapes And Cream	III	7.50	QCSP_001_GRC-III_v.01	iCoA-PP_26-095	iCoA-PP_26-152	allocated	False	24.08.2026
18	2025-10	CoQ-PP_26-162		SJ102501	Sleepy Joe	II	10.61	QCSP_001_SJ-II_v.01	iCoA-PP_26-162		allocated	False	24.08.2026
19	2025-11	CoQ-PP_26-139		CC112501	Cash Cow	I	16.36	QCSP_001_CC-I_v.01	iCoA-PP_26-096	iCoA-PP_26-139	allocated	False	24.08.2026
20	2025-11	CoQ-PP_26-145		FB112501	Fat Bastard	II	18.75	QCSP_001_FB-II_v.01	iCoA-PP_26-145		allocated	False	24.08.2026
21	2025-11	CoQ-PP_26-148		GG112501	Gorilla Glue	I	18.64	QCSP_001_GG-I_v.01	iCoA-PP_26-097	iCoA-PP_26-148	allocated	False	24.08.2026
22	2025-11	CoQ-PP_26-153		J31112501	Jokerz 31	II	23.85	QCSP_001_J31-II_v.01	iCoA-PP_26-153		allocated	False	24.08.2026
23	2025-11	CoQ-PP_26-158		OPM112501	Orange Punch Mimosa	IV	9.73	QCSP_001_OPM-IV_v.01	iCoA-PP_26-158		allocated	False	24.08.2026
24	2025-11	CoQ-PP_26-163		SJ112501	Sleepy Joe	I	11.27	QCSP_001_SJ-I_v.01	iCoA-PP_26-163		allocated	False	24.08.2026
25	2025-12	CoQ-PP_26-154		J31122501	Jokerz 31	I	24.48	QCSP_001_J31-I_v.01	iCoA-PP_26-154		allocated	False	24.08.2026
26	2026-01	CoQ-PP_26-160	P060342	SCR012601	Scrambler	I	22.40	QCSP_001_SCR-I_v.01	iCoA-PP_26-160		allocated	False	24.08.2026
27	2026-01	CoQ-PP_26-143		FB012603	Fat Bastard	I	20.00	QCSP_001_FB-I_v.01	iCoA-PP_26-101	iCoA-PP_26-143	allocated	False	24.08.2026
28	2026-01	CoQ-PP_26-144		FB012603V	Fat Bastard	II	19.31	QCSP_001_FB-II_v.01	iCoA-PP_26-144		allocated	False	24.08.2026
29	2026-01	CoQ-PP_26-146		GG012601	Gorilla Glue	I	19.16	QCSP_001_GG-I_v.01	iCoA-PP_26-146		allocated	False	24.08.2026
30	2026-01	CoQ-PP_26-155		JD012601	Jelly Donuts	I	19.99	QCSP_001_JD-I_v.01	iCoA-PP_26-155		allocated	False	24.08.2026
31	2026-02	CoQ-PP_26-161		SCR022601	Scrambler	II	16.68	QCSP_001_SCR-II_v.01	iCoA-PP_26-161		allocated	False	24.08.2026
