seq,cu_batch,p_batch,harvest_printed,packaging_printed,harvest_from,harvest_to,packaging_from,packaging_to,note
1,CJ1024,,20.01.2025,03.03.2025,20.01.2025,20.01.2025,03.03.2025,03.03.2025,listed as 'CJ1024 - R&D'
2,GG1024,,20.01.2025,11.03.2025,20.01.2025,20.01.2025,11.03.2025,11.03.2025,listed as 'GG1024- R&D'
3,OPM1024,,21.01.2025,24/25.04.2025,21.01.2025,21.01.2025,24.04.2025,25.04.2025,listed as 'OPM1024- R&D'
4,BG1024,,21.01.2025,07.03.2025,21.01.2025,21.01.2025,07.03.2025,07.03.2025,listed as 'BG1024- R&D'
5,BSS1024,,22.01.2025,04.03.2025,22.01.2025,22.01.2025,04.03.2025,04.03.2025,listed as 'BSS1024- R&D'
6,HPA1024,,22.01.2025,11.04.2025,22.01.2025,22.01.2025,11.04.2025,11.04.2025,listed as 'HPA1024- R&D'
7,GG1024_01,P050092,17/18.03.2025,31.07-05.08,17.03.2025,18.03.2025,31.07.2025,05.08.2025,packaging: year 2025 inferred (not printed)
8,GP0824_01,P050102,20/21.03.2025,05-07.08,20.03.2025,21.03.2025,05.08.2025,07.08.2025,packaging: year 2025 inferred (not printed)
9,OMP1024_01,P050042,26/27.03.2025,20.06.2025,26.03.2025,27.03.2025,20.06.2025,20.06.2025,
10,MB0824_04,P050032,02/03.04.2025,16-19.06.2025,02.04.2025,03.04.2025,16.06.2025,19.06.2025,
11,GG1024_02,P050012,14/15.04.2025,11-16.06.2025,14.04.2025,15.04.2025,11.06.2025,16.06.2025,
12,GP0824_02,P050022,22/23.04.2025,03-11.06.2025,22.04.2025,23.04.2025,03.06.2025,11.06.2025,
13,HPA1024_01,P050052,27/28.05.2025,27.06-04.07.2025,27.05.2025,28.05.2025,27.06.2025,04.07.2025,
14,OPM1024_02,P050062,29/30.05.2025,04.07-10.07.2025,29.05.2025,30.05.2025,04.07.2025,10.07.2025,
15,BSS1024_01/1,P050122,04/05.06.2025,01.09-09.09,04.06.2025,05.06.2025,01.09.2025,09.09.2025,packaging: year 2025 inferred (not printed)
16,BSS1024_01/2,P050142,0,30.09,,,30.09.2025,30.09.2025,harvest: no date given; packaging: year 2025 inferred (not printed)
17,GP0824_03,P050072,09/10.06.2025,14-17.07,09.06.2025,10.06.2025,14.07.2025,17.07.2025,packaging: year 2025 inferred (not printed)
18,OPM1024_03,P050082,01/02.07.2025,22-30.07.2025,01.07.2025,02.07.2025,22.07.2025,30.07.2025,
19,MB0824_05,P050112,08/09.07.2025,25-31.08,08.07.2025,09.07.2025,25.08.2025,31.08.2025,packaging: year 2025 inferred (not printed)
20,OPM052501,P050132,11-13.08.2025,09-15.09,11.08.2025,13.08.2025,09.09.2025,15.09.2025,packaging: year 2025 inferred (not printed)
21,GP052501,P050152,],25.09.2025,,,25.09.2025,25.09.2025,harvest: no date given
22,CJ052501/01,P050162,20.08.2025,30.09-01.10.2025,20.08.2025,20.08.2025,30.09.2025,01.10.2025,
23,CJ052501/02,P050172,20.08.2025,01-02.10.2025,20.08.2025,20.08.2025,01.10.2025,02.10.2025,
24,HPA052501,P050182,21-23.08.2025,03-09.10.2025,21.08.2025,23.08.2025,03.10.2025,09.10.2025,
25,BSS052501,P050192,01-03.09.2025,10-21.10.2025,01.09.2025,03.09.2025,10.10.2025,21.10.2025,
26,GP062501,P050202,15-17.09.2025,30.10-07.11.2025,15.09.2025,17.09.2025,30.10.2025,07.11.2025,
27,SC062501,P050242,17.09.2025,27.11.2025,17.09.2025,17.09.2025,27.11.2025,27.11.2025,
28,GOG062501,P050232,17.09.2025,27.11.2025,17.09.2025,17.09.2025,27.11.2025,27.11.2025,
29,CJ062501/1,P050222,23.09.2025,24.11-25.11.2025,23.09.2025,23.09.2025,24.11.2025,25.11.2025,
30,CJ062501/2,P050212,23-24.09.2025,18.11-24.11.2025,23.09.2025,24.09.2025,18.11.2025,24.11.2025,
31,CJ072501,P050252,27.10.2025,27.11-28.11.2025,27.10.2025,27.10.2025,27.11.2025,28.11.2025,
32,PM072501,P050272,27.10.2025,02-03.12.2025,27.10.2025,27.10.2025,02.12.2025,03.12.2025,
33,WC072501,P050262,27-28.10.2025,01.12.2025,27.10.2025,28.10.2025,01.12.2025,01.12.2025,
34,CLE072501,P050282,28.10.2025,03.12-04.12.2025,28.10.2025,28.10.2025,03.12.2025,04.12.2025,
35,GP072501/1,P050292,11-13-11.2025,15-21.12.2025,11.11.2025,13.11.2025,15.12.2025,21.12.2025,"harvest: printed 11-13-11.2025, read as 11-13.11.2025"
36,GP072501/2,P050302,13.11.2025,22.12.2025,13.11.2025,13.11.2025,22.12.2025,22.12.2025,
37,GP082501/1,P050312,19-20.11.2025,23-26.12.2025,19.11.2025,20.11.2025,23.12.2025,26.12.2025,
38,GP082501/2,P050322,20.11.2025,26.12.2025,20.11.2025,20.11.2025,26.12.2025,26.12.2025,
39,WC082501,P060012,09.12.2025,13-14.01.2026,09.12.2025,09.12.2025,13.01.2026,14.01.2026,
40,CJ082501/1,P060022,9-10.12.2025,16.01.2026,09.12.2025,10.12.2025,16.01.2026,16.01.2026,
41,CJ082501/2,P060032,10.12.2025,29.01.2026,10.12.2025,10.12.2025,29.01.2026,29.01.2026,
42,PM092501,P060062,11.12.2025,30.01.2026,11.12.2025,11.12.2025,30.01.2026,30.01.2026,
43,AB092501,P060052,11.12.2025,30.01.2026,11.12.2025,11.12.2025,30.01.2026,30.01.2026,
44,SJ0925021,P060082,11-12.12.2025,02.02.2026,11.12.2025,12.12.2025,02.02.2026,02.02.2026,
45,CJ092501,P060072,12.12.2025,02.02.2026,12.12.2025,12.12.2025,02.02.2026,02.02.2026,
46,OPM092501,P060042,12.12.2025,29.01.2026,12.12.2025,12.12.2025,29.01.2026,29.01.2026,
47,GP092501,P060092,16-17.12.2025,03-09.02.2026,16.12.2025,17.12.2025,03.02.2026,09.02.2026,
48,ACC102501,P060122,09.01.2026,18-19.02.2026,09.01.2026,09.01.2026,18.02.2026,19.02.2026,
49,PUM102501,P060112,08-09.01.2026,17.02.2026,08.01.2026,09.01.2026,17.02.2026,17.02.2026,
50,GRC102501/1,P060142,09.01.2026,23.02.2026,09.01.2026,09.01.2026,23.02.2026,23.02.2026,
51,WED102501,P060102,08.01.2026,16.02.2026,08.01.2026,08.01.2026,16.02.2026,16.02.2026,
52,CF102501,P060132,09.01.2026,19-20.02.2026,09.01.2026,09.01.2026,19.02.2026,20.02.2026,
53,GRC102501/2,P060182,20.01.2026,14.03.2026,20.01.2026,20.01.2026,14.03.2026,14.03.2026,
54,SJ102501,P060162,20.01.2026,09.03.2026,20.01.2026,20.01.2026,09.03.2026,09.03.2026,
55,KC102501,P060172,20-21.01.2026,12.03.2026,20.01.2026,21.01.2026,12.03.2026,12.03.2026,
56,J31102501,P060152,21.01.2026,05.03.2026,21.01.2026,21.01.2026,05.03.2026,05.03.2026,
57,J31112501,P060202,26.01.2026,17.04.2026,26.01.2026,26.01.2026,17.04.2026,17.04.2026,
58,SJ112501,P060192,26-27.01.2026,31.03.2026,26.01.2026,27.01.2026,31.03.2026,31.03.2026,
