tranche,batch_as_delivered,p_lot,strain_as_delivered,readiness_09_09,draftable,reason
1,BG1024,—,Blue Gelato,BLOCKED,no,no P batch number assigned
1,BSS1024,—,Blue Sunset Sherbet,BLOCKED,no,no P batch number assigned
1,CC012601/1,P060332,CashCow,BLOCKED,no,3 parameter(s) with no certificate: #8 Loss on drying; #11 Heavy metals; #12 Pesticides
1,CJ052501/01,P050162,Cap Junky,CLEAN,yes,
1,CJ062501/2,P050212,Cap Junky,CLEAN,no,no initial-release record on the desk for this P lot — the desk carries this batch as a predicted instance with no P number
1,CJ082501/2,P060032,Cap Junky,CLEAN,yes,
1,FB012602,P060352,Fat Bastard,BLOCKED,no,3 parameter(s) with no certificate: #8 Loss on drying; #11 Heavy metals; #12 Pesticides
1,GG012603,P060402,GG4,CLEAN,yes,
1,GG1024_01,P050092,Gorilla Glue,CLEAN,yes,
1,GP052501,P050152,Grape Pie,CLEAN,yes,
1,GP0824_02,P050022,Grape Pie,CLEAN,yes,
1,GP082501/2,P050322,Grape Pie,CLEAN,yes,
1,HPA1024,—,High Pro Amnesia,BLOCKED,no,4 parameter(s) with no certificate: #8 Loss on drying; #9 Microbiology; #11 Heavy metals; #12 Pesticides | no P batch number assigned
1,HPA1024_01,P050052,High Pro Amnesia,CLEAN,yes,
1,J31102501,P060152,Jokerz 31,CLEAN,yes,
1,JD112501,P060212,Jelly Donuts,CLEAN,yes,
1,OPM1024,—,Orange Punch Mimosa,BLOCKED,no,4 parameter(s) with no certificate: #8 Loss on drying; #9 Microbiology; #11 Heavy metals; #12 Pesticides | no P batch number assigned
1,OPM1024_02,P050062,Orange Punch Mimosa,CLEAN,yes,
1,OPM122501,P060242,Orange Punch Mimosa,CLEAN,yes,
1,PM092501,P060062,Permanent Marker,CLEAN,yes,
1,SCR012603,P060382,Scrambler,BLOCKED,no,3 parameter(s) with no certificate: #8 Loss on drying; #11 Heavy metals; #12 Pesticides
