tranche,batch_as_delivered,p_lot,strain_as_delivered,coq_code,issue_date,supersedes,supersedes_issued,draftable,reason
1,BG1024,BG1024,Blue Gelato,CoQ-PP_26-083,17.08.2026,CoQ-PP_26-003,06.06.2026,yes,
1,BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-084,17.08.2026,CoQ-PP_26-002,06.06.2026,yes,
1,P060332,P060332,CashCow,CoQ-PP_26-085,17.08.2026,CoQ-PP_26-066,06.06.2026,yes,
1,CJ052501/01,P050162,Cap Junky,CoQ-PP_26-086,17.08.2026,CoQ-PP_26-022,06.06.2026,yes,
1,CJ062501-2,CJ062501-2,Cap Junkie,CoQ-PP_26-087,17.08.2026,CoQ-PP_26-027,06.06.2026,yes,
1,CJ082501/2,P060032,Cap Junky,CoQ-PP_26-088,17.08.2026,CoQ-PP_26-039,06.06.2026,yes,
1,FB012602,P060352,Fat Bastard,CoQ-PP_26-089,17.08.2026,CoQ-PP_26-068,06.06.2026,yes,
1,GG012603,P060402,Gorilla Glue,CoQ-PP_26-090,17.08.2026,CoQ-PP_26-075,07.07.2026,yes,
1,GG1024_01,P050092,Gorilla Glue,CoQ-PP_26-091,17.08.2026,CoQ-PP_26-015,06.06.2026,yes,
1,GP052501,P050152,Grape Pie,CoQ-PP_26-092,17.08.2026,CoQ-PP_26-020,06.06.2026,yes,
1,GP0824_02,P050022,Grape Pie,CoQ-PP_26-093,17.08.2026,CoQ-PP_26-007,06.06.2026,yes,
1,GP082501/2,P050322,Grape Pie,CoQ-PP_26-094,17.08.2026,CoQ-PP_26-036,06.06.2026,yes,
1,HPA1024,HPA1024,High Pro Amnesia,CoQ-PP_26-095,17.08.2026,CoQ-PP_26-005,06.06.2026,yes,
1,HPA1024_01,P050052,High Pro Amnesia,CoQ-PP_26-096,17.08.2026,CoQ-PP_26-011,06.06.2026,yes,
1,J31102501,P060152,Jokerz 31,CoQ-PP_26-097,17.08.2026,CoQ-PP_26-051,06.06.2026,yes,
1,JD112501,P060212,Jelly Donuts,CoQ-PP_26-098,17.08.2026,CoQ-PP_26-057,06.06.2026,yes,
1,OPM1024,OPM1024,Orange Punch Mimosa,CoQ-PP_26-099,17.08.2026,CoQ-PP_26-006,06.06.2026,yes,
1,OPM1024_02,P050062,Orange Punch Mimosa,CoQ-PP_26-100,17.08.2026,CoQ-PP_26-012,06.06.2026,yes,
1,OPM122501,P060242,Orange Punch Mimosa,CoQ-PP_26-101,17.08.2026,CoQ-PP_26-060,06.06.2026,yes,
1,PM092501,P060062,Permanent Marker,CoQ-PP_26-102,17.08.2026,CoQ-PP_26-042,06.06.2026,yes,
1,SCR012603,P060382,Scrambler,CoQ-PP_26-103,17.08.2026,CoQ-PP_26-071,06.06.2026,yes,
2,GG1024,GG1024,Gorilla Glue,— at issue —,,CoQ-PP_26-004,06.06.2026,no,Tranche 2: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
2,OMP1024_01,P050042,Orange Punch Mimosa,— at issue —,,CoQ-PP_26-010,06.06.2026,no,Tranche 2: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
2,GP0824_03,P050072,Grape Pie,— at issue —,,CoQ-PP_26-013,06.06.2026,no,Tranche 2: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
2,OPM1024_03,P050082,Orange Punch Mimosa,— at issue —,,CoQ-PP_26-014,06.06.2026,no,Tranche 2: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
2,MB0824_05,P050112,Motor Breath,— at issue —,,CoQ-PP_26-017,06.06.2026,no,Tranche 2: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
2,HPA052501,P050182,High Pro Amnesia,— at issue —,,CoQ-PP_26-024,06.06.2026,no,Tranche 2: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
2,BSS052501,P050192,Blue Sunset Sherbet,— at issue —,,CoQ-PP_26-025,06.06.2026,no,Tranche 2: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
2,CJ062501/1,P050222,Cap Junky,— at issue —,,CoQ-PP_26-028,06.06.2026,no,Tranche 2: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
2,CLE072501,P050282,Clemosa A Bud,— at issue —,,CoQ-PP_26-032,06.06.2026,no,Tranche 2: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
2,GP072501/2,P050302,Grape Pie,— at issue —,,CoQ-PP_26-034,06.06.2026,no,Tranche 2: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
2,GP082501/1,P050312,Grape Pie,— at issue —,,CoQ-PP_26-035,06.06.2026,no,Tranche 2: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
2,WC082501,P060012,Wedding Crusher,— at issue —,,CoQ-PP_26-037,06.06.2026,no,Tranche 2: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
2,CJ082501/1,P060022,Cap Junky,— at issue —,,CoQ-PP_26-038,06.06.2026,no,Tranche 2: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
2,OPM092501,P060042,Orange Punch Mimosa,— at issue —,,CoQ-PP_26-040,06.06.2026,no,Tranche 2: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
2,CJ092501,P060072,Cap Junky,— at issue —,,CoQ-PP_26-043,06.06.2026,no,Tranche 2: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
2,SJ092501,P060082,Sleepy Joe,— at issue —,,CoQ-PP_26-044,06.06.2026,no,Tranche 2: not yet numbered on the CoQ Register — the reissues are issued in tranche order after the campaign's certificates are complete (— at issue —)
