cert_no	strain_printed	batch	manufactured	retest
041	Cap Junky	P060022	December 2025	July 2026
040	Orange Punch Mimosa	P060042	December 2026	July 2026
039	Cap Junky	P060072	December 2026	July 2026
038	Sleepy Joy	P060082	December 2025	July 2026
037	Apple and Banana	P060052	December 2025	July 2026
036	Permanent Market	P060062	December 2026	July 2026
035	Wedding Crasher	P060012	December 2026	July 2026
034	Cap Junky	P060032	December 2025	July 2026
033	Grape Pie	P060092	December 2025	July 2026
032	Cap Junky	P050222	September 2025	April 2026
031	Cap Junky	P050252	October 2025	May 2026
030	Wedding Crasher	P050262	October 2025	May 2026
029	Grape Pie	P050152	August 2025	March 2026
028	Cap Junkie	P050212	September 2025	April 2026
027	Clemosa a Bud	P050282	October 2025	May 2026
026	Permanent Market	P050272	October 2025	May 2026
025	Motor Breath	P050112	July 2025	February 2025
024	Orange Punch Mimosa	P050132	August 2025	March 2026
023	Orange Punch Mimosa	P050082	June 2025	January 2026
022	Cap Junky	P050172	August 2025	March 2026
020	Grape Pie	P050312	November 2025	June 2026
021	Grape Pie	P050322	November 2025	June 2026
019	Grape Pie	P050302	November 2025	June 2026
018	Grape Pie	P050292	November 2025	June 2026
017	Blue Sunset Sherbet	P050192	August 2025	
	Cup Junkie	P050162	August 2025	
	High Pro Amnesia	P050182	August 2025	
	Blue Sunset Sherbet	P050122	June 2025	
	Gorilla Glue	P050092	March 2025	
	Grape Pie	P050102	March 2025	October 2025
	Grape Pie	P050072	June 2025	January 2026
	Orange Punch Mimosa	P050062	May 2025	December 2025
	High Pro Amnesia	P050052	May 2025	December 2025
	Grape Pie	P050022	May 2025	December 2025
	Orange Punch Mimosa	P050042	March 2025	November 2025
	Motor Breath	P050032	April 2025	November 2025
	Gorilla Glue	P050012	April 2025	November 2025
	Blue Gelato	BG1024	January 2025	June 2025
	Blue Sunset Sherbet	BSS1024	January 2025	June 2025
	Cap Junky	CJ1024	January 2025	June 2025
	Gorilla Glue	GG1024	January 2025	
	Orange Punch Mimosa	OPM1024	January 2025	June 2025
	High Pro Amnesia	HPA1024	January 2025	
