page,filename,batch_printed,batch_canonical,lab_no,doc_code_in_filename,receipt_date,issue_date,strain,sample_mass_g,request_no,lab,pixel_verified,bytes,sha256
1,"P060052_552-1083-26, 01.09.2026_IJZ-MB.pdf",PO60052,P060052,552/1083/26,552-1083-26,26.08.2026,01.09.2026,Apple and Banana,"37,0",308/2026,IJZ-MB,True,565022,9ad1e1a491ad7ecde9d06eb074b5de95fed7629a053a7c8cfbfa48ff4eeb1560
2,"P050122_561-1092-26, 01.09.2026_IJZ-MB.pdf",PO50122,P050122,561/1092/26,561-1092-26,26.08.2026,01.09.2026,Blue Sunset Sherbet,"36,5",299/2026,IJZ-MB,True,565736,629ee6bb5215282705bab30752f725b1f406faf5f37b848ee27aa45bd6f50374
3,"P050172_558-1089-26, 01.09.2026_IJZ-MB.pdf",PO50172,P050172,558/1089/26,558-1089-26,26.08.2026,01.09.2026,Cap Junky,"36,5",302/2026,IJZ-MB,True,565066,853be87a854ff0bac7902eba1ec04ec1fc019006f20e1505fb13999c0f052c9a
4,"P050252_556-1087-26, 01.09.2026_IJZ-MB.pdf",PO50252,P050252,556/1087/26,556-1087-26,26.08.2026,01.09.2026,Cap Junky,"39,0",304/2026,IJZ-MB,True,561189,d881d10ed7c2378e64eda0a2d4fc478ecce858ec9a67b86bc56832ff7f43f1a1
5,"CJ1024_565-1096-26, 01.09.2026_IJZ-MB.pdf",CJ1024,CJ1024,565/1096/26,565-1096-26,26.08.2026,01.09.2026,Cap Junky,"37,5",295/2026,IJZ-MB,True,566795,208be04c3204d6398adb07b2ef4914a23bf4064b2bfbc10ca62ddaf48aa8d2a8
6,"P060272_543-1074-26, 31.08.2026_IJZ-MB.pdf",PO60272,P060272,543/1074/26,543-1074-26,25.08.2026,31.08.2026,Cash Cow,"37,5",317/2026,IJZ-MB,True,569388,5196fde1f0f536fd2c1875a0634be2901854f469ba1803ce3560f554445248cb
7,"P060432_537-1068-26, 31.08.2026_IJZ-MB.pdf",PO60432,P060432,537/1068/26,537-1068-26,25.08.2026,31.08.2026,Fat Bastard,"38,0",323/2026,IJZ-MB,True,568359,85b84452e7e88122c92d1fdac911a6d2af04c9c14f3c5a1f226873800ec5deda
8,"P060392_538-1069-26, 31.08.2026_IJZ-MB.pdf",PO60392,P060392,538/1069/26,538-1069-26,25.08.2026,31.08.2026,Fat Bastard,"39,5",322/2026,IJZ-MB,True,569964,494fafde2be0767a5a37fb7d6809d9f377b778d6e7ac18bf8bc8b9f43d2a2c53
9,"P060292_542-1073-26, 31.08.2026_IJZ-MB.pdf",PO60292,P060292,542/1073/26,542-1073-26,25.08.2026,31.08.2026,Fat Bastard,"36,5",318/2026,IJZ-MB,True,569218,40b71fa0c552d7906d42b2d67cad9a3a5397798bab382adcb4e88d8f05f15f88
10,"P060302_541-1072-26, 31.08.2026_IJZ-MB.pdf",PO60302,P060302,541/1072/26,541-1072-26,25.08.2026,31.08.2026,Gorilla Glue,"37,0",319/2026,IJZ-MB,True,569522,cb7ac952f04794f07e5830427c53f8e94457e31953460c5ad19f30fc41533031
11,"P060252_545-1076-26, 31.08.2026_IJZ-MB.pdf",PO60252,P060252,545/1076/26,545-1076-26,25.08.2026,31.08.2026,Gorilla Glue,"40,5",315/2026,IJZ-MB,True,570812,67cdf7e382c1ef18298ec688b7f4f9e1e96a7c19f1c07dd7109acb8477d5e31b
12,"P050012_564-1095-26, 01.09.2026_IJZ-MB.pdf",PO50012,P050012,564/1095/26,564-1095-26,26.08.2026,01.09.2026,Gorilla Glue,"36,0",296/2026,IJZ-MB,True,566814,f030976009b34e181fa163b8f6a590097ddd174885bd85ef6229f8e2f5ebe95d
13,"P050202_557-1088-26, 01.09.2026_IJZ-MB.pdf",PO50202,P050202,557/1088/26,557-1088-26,26.08.2026,01.09.2026,Grape Pie,"39,5",303/2026,IJZ-MB,True,565128,1b2bafb0256ea765339b03f30b590f7c2c9eac2e51b37ca2342e5554cc106011
14,"P050292_553-1084-26, 01.09.2026_IJZ-MB.pdf",PO50292,P050292,553/1084/26,553-1084-26,26.08.2026,01.09.2026,Grape Pie,"36,5",307/2026,IJZ-MB,True,565860,1044de1316befc8ddd268cc9f89ff7e12041a89584e675714aca00ab1b2e9d62
15,"P060142_550-1081-26, 01.09.2026_IJZ-MB.pdf",PO60142,P060142,550/1081/26,550-1081-26,26.08.2026,01.09.2026,Graps & Creme,"37,0",310/2026,IJZ-MB,True,563123,0241690283ae950f6272ea826bf6f563e15f2f4e598b2540033d10e8ad9f0bc2
16,"P060312_540-1071-26, 31.08.2026_IJZ-MB.pdf",PO60312,P060312,540/1071/26,540-1071-26,25.08.2026,31.08.2026,Jelly Donutz,"37,5",320/2026,IJZ-MB,True,568090,7adef89c3863f6b5a4f0a194b83d7954474a93d198cb3134fe5b403fa3d3d6fe
17,"P060202_547-1078-26, 31.08.2026_IJZ-MB.pdf",PO60202,P060202,547/1078/26,547-1078-26,25.08.2026,31.08.2026,Jokerz 31,"39,5",313/2026,IJZ-MB,True,570570,2058cd95882692f4ac31f247b75172491b2cf53db5743c76370f56948594f4a0
18,"P060262_544-1075-26, 31.08.2026_IJZ-MB.pdf",PO60262,P060262,544/1075/26,544-1075-26,25.08.2026,31.08.2026,Jokerz 31,"36,5",316/2026,IJZ-MB,True,570069,3ec23571e0fe67c5a857f589bb32d7ed2c7b66812d2beddcfa94429a4a1eb2f2
19,"P050032_563-1094-26, 01.09.2026_IJZ-MB.pdf",PO50032,P050032,563/1094/26,563-1094-26,26.08.2026,01.09.2026,Motor Breath,"36,5",297/2026,IJZ-MB,True,566173,3d105638698620bd837247440c38c2e7e9408cc85c6549c549ad862bf85e30b6
20,"P050132_560-1091-26, 01.09.2026_IJZ-MB.pdf",PO50132,P050132,560/1091/26,560-1091-26,25.08.2026,01.09.2026,Orange Punch Mimosa,"37,0",300/2026,IJZ-MB,True,568231,35fa7b2e773c33ce53d0d1087d0682376beb3c1c9c7ff8ab9e09721eee5250b7
21,"P060222_546-1077-26, 31.08.2026_IJZ-MB.pdf",PO60222,P060222,546/1077/26,546-1077-26,25.08.2026,31.08.2026,Orange Punch Mimosa,"36,5",314/2026,IJZ-MB,True,571232,54df072c84de24a1da20fee7d69e78a745ac355c6e7cf227604b9491a6f14e73
22,"P050272_554-1085-26, 01.09.2026_IJZ-MB.pdf",PO50272,P050272,554/1085/26,554-1085-26,26.08.2026,01.09.2026,Permanent Marker,"36,5",306/2026,IJZ-MB,True,565219,11e0eb8d09cc7a44196eea023a688124e8ef6dab50559c7c5df4e054ffba9947
23,"P060342_539-1070-26, 31.08.2026_IJZ-MB.pdf",PO60342,P060342,539/1070/26,539-1070-26,25.08.2026,31.08.2026,Scrambler,"35,0",321/2026,IJZ-MB,True,568634,b6d8637b8b2edb1cf67e2eec65b54e54f2a013021fbd374d7a47bb61e36c0e1a
24,"P060442_536-1067-26, 31.08.2026_IJZ-MB.pdf",PO60442,P060442,536/1067/26,536-1067-26,25.08.2026,31.08.2026,Scrambler,"36,0",324/2026,IJZ-MB,True,566827,9f41895bcc9cefa92650d10d70263c54ffbb0ec0eb9de8ab4551c16dfb7834b7
25,"P060162_549-1080-26, 31.08.2026_IJZ-MB.pdf",PO60162,P060162,549/1080/26,549-1080-26,25.08.2026,31.08.2026,Sleepy Joe,"39,0",311/2026,IJZ-MB,True,573583,806dcdf8313a567f12d6cc8af642a0fc2608444780a7f15aed9cdff9b4ddc22e
26,"P050192_548-1079-26, 31.08.2026_IJZ-MB.pdf",PO50192,P050192,548/1079/26,548-1079-26,25.08.2026,31.08.2026,Sleepy Joe,"38,0",312/2026,IJZ-MB,True,572360,3a32cad6ae4c3d617edc9bcedc016e0db7d72fa33172f27c67651df551b52436
