tranche,p_lot,batch,folder,tranche_before,change,campaign_series,campaign_tranche,agrees_with_campaign
1,,BG1024,BG1024,1,,197,1,yes
1,,BSS1024,BSS1024,1,,197,1,yes
1,P050162,CJ052501_01,CJ052501_01_P050162,1,,197,1,yes
1,P050212,CJ062501_2,CJ062501_2_P050212,1,,197,1,yes
1,P060032,CJ082501_2,CJ082501_2_P060032,1,,197,1,yes
1,P060352,FB012602,FB012602__P060352,1,,197,1,yes
1,P060402,GG012603,GG012603_P060402,1,,197,1,yes
1,P050092,GG1024_01,GG1024_01_P050092,1,,197,1,yes
1,P050152,GP052501,GP052501_P050152,1,,197,1,yes
1,P050022,GP0824_02,GP0824_02_P050022,1,,197,1,yes
1,P050322,GP082501_2,GP082501_2_P050322,1,,197,1,yes
1,,HPA1024,HPA1024,1,,197,1,yes
1,P050052,HPA1024_01,HPA1024_01_P050052,1,,197,1,yes
1,P060152,J31102501,J31102501_P060152,1,,197,1,yes
1,P060212,JD112501,JD112501_P060212,1,,197,1,yes
1,,OPM1024,OPM1024,1,,197,1,yes
1,P050062,OPM1024_02,OPM1024_02_P050062,1,,197,1,yes
1,P060242,OPM122501,OPM122501_P060242,1,,197,1,yes
1,P060062,PM092501,PM092501_P060062,1,,197,1,yes
1,P060382,SCR012603,SCR012603_P060382,1,,197,1,yes
2,P060122,ACC102501,ACC102501_P060122,2,,220,2,yes
2,P050192,BSS052501,BSS052501_P050192,2,,220,2,yes
2,P060372,CC012603,CC012603_P060372,2,,220,2,yes
2,P060132,CF102501,CF102501_P060132,2,,220,2,yes
2,P050222,CJ062501_1,CJ062501_1_P050222,2,,220,2,yes
2,P060022,CJ082501_1,CJ082501_1_P060022,2,,220,2,yes
2,P060072,CJ092501,CJ092501_P060072,2,,220,2,yes
2,P060322,FB012601_1,FB012601_1_P060322,2,,220,2,yes
2,,GG1024,GG1024,2,,220,2,yes
2,P050302,GP072501_2,GP072501_2_P050302,2,,220,2,yes
2,P050072,GP0824_03,GP0824_03_P050072,2,,220,2,yes
2,P050312,GP082501_1,GP082501_1_P050312,2,,220,2,yes
2,P060092,GP092501,GP092501_P060092,2,,220,2,yes
2,P060182,GRC102501,GRC102501_P060182,2,,,,—
2,P050182,HPA052501,HPA052501_P050182,2,,220,2,yes
2,P060422,JD012603,JD012603_P060422,2,,,,—
2,P060412,JD012603,JD012603_P060412,2,,,,—
2,P060362,JD012603,JD012603_P060362,2,,220,2,yes
2,P060172,KC102501,KC102501_P060172,2,,220,2,yes
2,P050112,MB0824_05,MB0824_05_P050112,2,,220,2,yes
2,P050042,OMP1024_01,OMP1024_01_P050042,2,,220,2,yes
2,P050082,OPM1024_03,OPM1024_03_P050082,2,,220,2,yes
2,P060232,PM112501,PM112501_P060232,2,,220,2,yes
2,P060112,PUM102501,PUM102501_P060112,2,,220,2,yes
2,P060282,SCR112501,SCR112501_P060282,2,,220,2,yes
2,P060012,WC082501,WC082501_P060012,2,,220,2,yes
3,P060052,AB092501,AB092501_P060052,3,,227,3,yes
3,P050122,BSS1024_01_1,BSS1024_01_1_P050122,3,,227,3,yes
3,P050142,BSS1024_01_2,BSS1024_01_2_P050142,3,,227,3,yes
3,P060332,CC012601_1,CC012601_1_P060332,1,moved,197,1,NO
3,P060272,CC112501,CC112501_P060272,3,,227,3,yes
3,P050172,CJ052501_02,CJ052501_02_P050172,3,,227,3,yes
3,P050252,CJ072501,CJ072501_P050252,3,,227,3,yes
3,,CJ1024,CJ1024,3,,227,3,yes
3,P060432,FB012603,FB012603_P060432,3,,227,3,yes
3,P060392,FB012603V,FB012603V_P060392,3,,227,3,yes
3,P060292,FB112501,FB112501_P060292,3,,227,3,yes
3,P060302,GG012601＊,GG012601＊_P060302,3,,227,3,yes
3,P050012,GG1024_02,GG1024_02_P050012,3,,227,3,yes
3,P060252,GG112501,GG112501_P060252,3,,227,3,yes
3,P050202,GP062501,GP062501_P050202,3,,227,3,yes
3,P050292,GP072501_1,GP072501_1_P050292,3,,227,3,yes
3,P050102,GP0824_01,GP0824_01_P050102,3,,227,3,yes
3,P060142,GRC102501,GRC102501_P060142,3,,227,3,yes
3,P060202,J31112501,J31112501_P060202,3,,227,3,yes
3,P060262,J31122501,J31122501_P060262,3,,227,3,yes
3,P060312,JD012601＊,JD012601＊_P060312,3,,227,3,yes
3,P050032,MB0824_04,MB0824_04_P050032,3,,227,3,yes
3,P050132,OPM052501,OPM052501_P050132,3,,227,3,yes
3,P060222,OPM112501,OPM112501_P060222,3,,227,3,yes
3,P050272,PM072501,PM072501_P050272,3,,227,3,yes
3,P060342,SCR012601,SCR012601__P060342,3,,227,3,yes
3,P060442,SCR022601,SCR022601_P060442,3,,227,3,yes
3,P060162,SJ102501,SJ102501_P060162,3,,227,3,yes
3,P060192,SJ112501,SJ112501_P060192,3,,227,3,yes
3,P050262,WC072501,WC072501_P050262,3,,227,3,yes
3,P060102,WED102501,WED102501_P060102,3,,227,3,yes
