Purely Plant — CoQ Dossier & Verification

SECTION 1 — CoQ Compilation Register (one issuance event per batch; forming certificates; retest supersessions per QCSOP 012 v.03 §6.4.2)
No.,CoQ doc. code (proposed),Batch,P-number,Strain,Forming certificates (code · date · lab),Retest supersessions
1,,BG1024,,Blue Gelato,197-1-K-26 · 07.08.2026 · FHM | 197-1-M-26 · 10.08.2026 · FHM | QCCoA 001 · 19.03.2025 · PP | 163-0271-25 · 24.02.2025 · IJZ-MB | ППК25050 · 26.02.2025 · CNP | 752-2025 · 27.02.2025 · IJZ,"Total Δ9-THC: 21.80 (ППК25050, 26.02.2025, CNP) → 26.14 (197-1-K-26, 07.08.2026, FHM), +527d | Total CBD: 0.04 (ППК25050, 26.02.2025, CNP) → < LOQ (197-1-K-26, 07.08.2026, FHM), +527d | Total CBN: 0.02 (ППК25050, 26.02.2025, CNP) → 0.28 (197-1-K-26, 07.08.2026, FHM), +527d | Total Aflatoxins: <2 (752-2025, 27.02.2025, IJZ) → ND (197-1-M-26, 10.08.2026, FHM), +529d | Aflatoxin B1: N.D. (752-2025, 27.02.2025, IJZ) → ND (197-1-M-26, 10.08.2026, FHM), +529d | Ochratoxin A: N.D. (752-2025, 27.02.2025, IJZ) → ND (197-1-M-26, 10.08.2026, FHM), +529d"
2,,BSS1024,,Blue Sunset Sherbet,197-2-K-26 · 07.08.2026 · FHM | 197-2-M-26 · 10.08.2026 · FHM | QCCoA 001 · 19.03.2025 · PP | 161-0269-25 · 24.02.2025 · IJZ-MB | ППК25051 · 26.02.2025 · CNP | 751-2025 · 27.02.2025 · IJZ,"Total Δ9-THC: 21.03 (ППК25051, 26.02.2025, CNP) → 25.01 (197-2-K-26, 07.08.2026, FHM), +527d | Total CBD: 0.04 (ППК25051, 26.02.2025, CNP) → <LOQ (197-2-K-26, 07.08.2026, FHM), +527d | Total CBN: 0.02 (ППК25051, 26.02.2025, CNP) → <LOQ (197-2-K-26, 07.08.2026, FHM), +527d | Aflatoxin B1: Н.Д. (751-2025, 27.02.2025, IJZ) → ND (197-2-M-26, 10.08.2026, FHM), +529d | Ochratoxin A: Н.Д. (751-2025, 27.02.2025, IJZ) → ND (197-2-M-26, 10.08.2026, FHM), +529d"
3,CoQ-PP-2026-0004,CJ1024,,Cap Junky,QCCoA 001 · 19.03.2025 · PP | 164-0272-25 · 24.02.2025 · IJZ-MB | ППК25052 · 26.02.2025 · CNP | 750-2025 · 27.02.2025 · IJZ,—
4,,GG1024_01,P050092,Gorilla Glue,197-9-K-26 · 07.08.2026 · FHM | 197-9-M-26 · 10.08.2026 · FHM | 1766-2025 · 11.04.2025 · IJZ | 320-0587-25 · 14.04.2025 · IJZ-MB | ППК25104 · 17.04.2025 · CNP | QCCoA 001 · 31.07.2025 · PP,"Total Δ9-THC: 17.22 (ППК25104, 17.04.2025, CNP) → 18.67 (197-9-K-26, 07.08.2026, FHM), +477d | Aflatoxin B1: Н.Д. (1766-2025, 11.04.2025, IJZ) → ND (197-9-M-26, 10.08.2026, FHM), +486d | Ochratoxin A: Н.Д. (1766-2025, 11.04.2025, IJZ) → ND (197-9-M-26, 10.08.2026, FHM), +486d"
5,CoQ-PP-2026-0005,GP0824_01,P050102,Grape Pie,QCCoA 001 · 06.08.2025 · PP | 1767-2025 · 11.04.2025 · IJZ | 319-0586-25 · 14.04.2025 · IJZ-MB | ППК25105 · 17.04.2025 · CNP,—
6,CoQ-PP-2026-0007,GG1024,,Gorilla Glue,NO-DOC-CODE (Report of Analysis) · 23.04.2025 · PP,—
7,CoQ-PP-2026-0001,HPA1024,,High Pro Amnesia,197-13-K-26 · 07.08.2026 · FHM | 197-13-M-26 · 10.08.2026 · FHM | NO-DOC-CODE (Report of Analysis) · 23.04.2025 · PP,—
8,CoQ-PP-2026-0008,OPM1024,,Orange Punch Mimosa,197-17-K-26 · 07.08.2026 · FHM | 197-17-M-26 · 10.08.2026 · FHM | NO-DOC-CODE (Report of Analysis) · 23.04.2025 · PP,—
9,CoQ-PP-2026-0009,MB0824_04,P050032,Motor Breath,406-0744-25 · 05.05.2025 · IJZ-MB | ППК25118 · 06.05.2025 · CNP | 2157-2025 · 07.05.2025 · IJZ | QCCoA 001 · 15.05.2025 · PP,—
10,,OMP1024_01,P050042,Orange Punch Mimosa,407-0745-25 · 05.05.2025 · IJZ-MB | ППК25117 · 06.05.2025 · CNP | 2156-2025 · 07.05.2025 · IJZ | QCCoA 001 · 15.05.2025 · PP,—
11,CoQ-PP-2026-0011,GG1024_02,P050012,Gorilla Glue,QCCoA 001 · 10.07.2025 · PP | ППК25140 · 22.05.2025 · CNP | 472-0863-25 · 22.05.2025 · IJZ-MB | 2472-2025 · 30.05.2025 · IJZ,—
12,CoQ-PP-2026-0014,GP0824_02,P050022,Grape Pie,627-1128-25 · 02.07.2025 · IJZ-MB | 197-11-K-26 · 07.08.2026 · FHM | ППК25174 · 10.07.2025 · CNP | QCCoA 001 · 10.07.2025 · PP | 197-11-M-26 · 10.08.2026 · FHM | QCCoA 001 · 17.07.2025 · PP | 3176-2025 · 26.06.2025 · IJZ,"Total Δ9-THC: 23.19 (ППК25174, 10.07.2025, CNP) → 22.61 (197-11-K-26, 07.08.2026, FHM), +393d | Total CBD: 0.07 (ППК25174, 10.07.2025, CNP) → < LOQ (197-11-K-26, 07.08.2026, FHM), +393d | Total CBN: 0.02 (ППК25139, 22.05.2025, CNP) → 0.23 (197-11-K-26, 07.08.2026, FHM), +442d | Aflatoxin B1: Н.Д. (3176-2025, 26.06.2025, IJZ) → ND (197-11-M-26, 10.08.2026, FHM), +410d | Ochratoxin A: Н.Д. (3176-2025, 26.06.2025, IJZ) → ND (197-11-M-26, 10.08.2026, FHM), +410d"
13,CoQ-PP-2026-0012,HPA1024_01,P050052,High Pro Amnesia,197-14-K-26 · 07.08.2026 · FHM | 197-14-M-26 · 10.08.2026 · FHM | QCCoA 001 · 17.07.2025 · PP | 587-1066-25 · 18.06.2025 · IJZ-MB | 2995-2025 · 19.06.2025 · IJZ | ППК25155 · 24.06.2025 · CNP,"Total Δ9-THC: 22.43 (ППК25155, 24.06.2025, CNP) → 21.61 (197-14-K-26, 07.08.2026, FHM), +409d | Total CBD: 0.10 (ППК25155, 24.06.2025, CNP) → <LOQ (197-14-K-26, 07.08.2026, FHM), +409d | Total CBN: 0.02 (ППК25155, 24.06.2025, CNP) → <LOQ (197-14-K-26, 07.08.2026, FHM), +409d | Aflatoxin B1: N.D. (2995-2025, 19.06.2025, IJZ) → ND (197-14-M-26, 10.08.2026, FHM), +417d | Ochratoxin A: N.D. (2995-2025, 19.06.2025, IJZ) → 2.06 (197-14-M-26, 10.08.2026, FHM), +417d"
14,CoQ-PP-2026-0013,OPM1024_02,P050062,Orange Punch Mimosa,197-18-K-26 · 07.08.2026 · FHM | 197-18-M-26 · 10.08.2026 · FHM | QCCoA 001 · 17.07.2025 · PP | 588-1067-25 · 18.06.2025 · IJZ-MB | 2994-2025 · 19.06.2025 · IJZ | ППК25154 · 24.06.2025 · CNP,"Total Δ9-THC: 1.87 (ППК25154, 24.06.2025, CNP) → 18.04 (197-18-K-26, 07.08.2026, FHM), +409d | Total CBN: 0.02 (ППК25154, 24.06.2025, CNP) → < LOQ (197-18-K-26, 07.08.2026, FHM), +409d | Aflatoxin B1: Н.д. (2994-2025, 19.06.2025, IJZ) → ND (197-18-M-26, 10.08.2026, FHM), +417d | Ochratoxin A: Н.д. (2994-2025, 19.06.2025, IJZ) → ND (197-18-M-26, 10.08.2026, FHM), +417d"
15,,BSS1024_01/1,P050122,Blue Sunset Sherbet,626-1127-25 · 02.07.2025 · IJZ-MB | ППК25176 · 10.07.2025 · CNP | QCCoA 001 · 22.09.2025 · PP | 3177-2025 · 26.06.2025 · IJZ,—
16,CoQ-PP-2026-0015,GP0824_03,P050072,Grape Pie,628-1129-25 · 02.07.2025 · IJZ-MB | ППК25175 · 10.07.2025 · CNP | QCCoA 001 · 17.07.2025 · PP | 3178-2025 · 26.06.2025 · IJZ,—
