Purely Plant — Batch QC Testing Results Register
"One row per batch · consolidated from eCoA_DATABASE (291 certificates, complete mirror of the ingestion folder) · CoQ-forming value = latest release-type result from a laboratory scoped for the parameter · stability results excluded · values exactly as printed on the certificate; units in headers only · built 27.08.2026"

No.,Production,Tranche,Batch No. (cultivation),P-number,Strain,Product code,CoQ doc. code (proposed),First result,Latest result,# eCoAs,Total Δ9-THC [%],Total CBD [%],Total CBN [%],Loss on Drying [%],Foreign Matter [%],Macroscopic ID,Microscopic ID,Identification (HPTLC),TAMC [CFU/g],TYMC [CFU/g],Bile-tolerant GNB [CFU/g],Salmonella [/25 g],E. coli [/1 g],Total Aflatoxins [µg/kg],Aflatoxin B1 [µg/kg],Ochratoxin A [µg/kg],Lead (Pb) [mg/kg],Cadmium (Cd) [mg/kg],Arsenic (As) [mg/kg],Mercury (Hg) [mg/kg],Pesticide Residues
,,,,,,A.C. →,,,,,per target grade (QCSP 001 §01),≤ 1.0,≤ 1.0,≤ 12.0,≤ 2.0,Conforms to description,Conforms to description,Identity confirmed,≤ 10^5,≤ 10^4,≤ 10^4,Absence /25 g,Absence /1 g,≤ 4,≤ 2,≤ 20,≤ 0.5,≤ 0.3,≤ 0.2,≤ 0.1,≤ LOQ (Ph. Eur. 2.8.13)
1,,1,BG1024,,Blue Gelato,STEADY BG 26/1,,24.02.2025,10.08.2026,6,26.14,< LOQ,0.28,5.73,Confirms,,Confirms,Confirms,"1,6 x 10⁴",1 x 10⁴,<10^2-10,Одговара,Одговара,ND,ND,ND,"0,01","0,016","0,014","0,005",Не одговара
2,,1,BSS1024,,Blue Sunset Sherbet,STEADY SUN 24/1,,24.02.2025,10.08.2026,6,25.01,<LOQ,<LOQ,5.99,Confirms,,,,"1,5 x 10⁴","2,2 x 10³",,Одговара,Одговара,< 2,ND,ND,"0,071","0,014","0,081","0,014",Н.Д.
3,2024-10,3,CJ1024,,Cap Junky,CJ_THC22.5:CBD1,CoQ-PP-2026-0004,24.02.2025,19.03.2025,4,23.00,0.05,0.02,5.91,Confirms,,Confirms,Confirms,"8,4 x 10³",<10,< 10,Одговара,Одговара,< 2,Н.д.,Н.д.,"0,036","0,013","0,063","0,006",Н.д.
4,,1,GG1024_01,P050092,Gorilla Glue,STEADY GG 18/1,,11.04.2025,10.08.2026,6,18.67,< LOQ,0.20,7.54,Confirms,,Confirms,,"5,1 х 10⁴","4,2 х 10³",< 10,Одговара,Одговара,< 2,ND,ND,"0,02","0,007","0,015","0,005",Одговара
5,2024-08,,GP0824_01,P050102,Grape Pie,GP_THC20:CBD1,CoQ-PP-2026-0005,11.04.2025,06.08.2025,5,20.79,0.06,N.D.,6.73,Confirms,,Confirms,Confirms,"5,2 x 10³ CFU/g","8,8 x 10³ CFU/g",,Одговара,Одговара,< 2,Н.Д.,Н.Д.,"0,026","0,005","0,015","0,005",Н.д.
6,2024-10,2,GG1024,,Gorilla Glue,GG_THC15:CBD1,CoQ-PP-2026-0007,23.04.2025,23.04.2025,1,13.34,0.03,,,< 2.0,,,,1.1·10⁴,<10,,Absent,Absent,< 2,,,0.052,0.016,0.04,0.004,
7,2024-10,1,HPA1024,,High Pro Amnesia,HPA_THC16:CBD1,CoQ-PP-2026-0001,23.04.2025,10.08.2026,3,17.31,<LOQ,0.36,,< 2.0,,,,5.2•10⁴,7•10²,,Absent,Absent,< 2,ND,<LOQ,0.02,0.013,0.017,0.0026,N.D.
8,2024-10,1,OPM1024,,Orange Punch Mimosa,OPM_THC22:CBD1,CoQ-PP-2026-0008,23.04.2025,10.08.2026,3,20.03,< LOQ,< LOQ,,< 2.0,,,,1.3•10^4,7•10^2,,Absent,Absent,< 2,ND,ND,0.031,0.017,0.045,0.005,N.D.
9,2024-08,3,MB0824_04,P050032,Motor Breath,MB_THC17.5:CBD1,CoQ-PP-2026-0009,05.05.2025,15.05.2025,4,18.67,0.05,0.03,6.01,Confirms,,,Confirms,< 10 CFU/g,< 10 CFU/g,< 10 CFU/g,Одговара,Одговара,N.D.,N.D.,N.D.,0.031,0.005,0.011,N.D.,Не одговара
10,,2,OMP1024_01,P050042,Orange Punch Mimosa,STEADY CB 16/1,,05.05.2025,15.05.2025,4,15.38,0.04,0.01,5.86,Confirms,,,Confirms,10 CFU/g,< 10 CFU/g,<10^2 and >10 CFU/g,Одговара,Одговара,< 2,N.D.,N.D.,0.031,0.004,0.01,0.001,Одговара
