Tranche	Seq	Batch	P-Number	Strain	Covered	Of	Missing parameters
-	4	GP0824_01	P050102	Grape Pie	14	20	Appearance, Identification, Foreign matter, Total CBN, Aflatoxin B1, Ochratoxin A
-	18	BSS1024_01	P050122	Blue Sunset Sherbet	14	20	Appearance, Identification, Foreign matter, Total CBN, Aflatoxin B1, Ochratoxin A
-	71	JD022601		Jelly Donutz	6	20	Appearance, Aflatoxin B1, Aflatoxins Σ, Ochratoxin A, Lead, Cadmium, Arsenic, Mercury, Pesticide screen, TAMC, TYMC, Bile-tolerant, E. coli, Salmonella
-	73	FB032601		Fat Bastard	6	20	Appearance, Aflatoxin B1, Aflatoxins Σ, Ochratoxin A, Lead, Cadmium, Arsenic, Mercury, Pesticide screen, TAMC, TYMC, Bile-tolerant, E. coli, Salmonella
-	74	GG032601		Gorilla Glue	6	20	Appearance, Aflatoxin B1, Aflatoxins Σ, Ochratoxin A, Lead, Cadmium, Arsenic, Mercury, Pesticide screen, TAMC, TYMC, Bile-tolerant, E. coli, Salmonella
-	75	P160012	P160012	Grape Pie	6	20	Appearance, Aflatoxin B1, Aflatoxins Σ, Ochratoxin A, Lead, Cadmium, Arsenic, Mercury, Pesticide screen, TAMC, TYMC, Bile-tolerant, E. coli, Salmonella
-	76	P160022	P160022	Grape Pie	6	20	Appearance, Aflatoxin B1, Aflatoxins Σ, Ochratoxin A, Lead, Cadmium, Arsenic, Mercury, Pesticide screen, TAMC, TYMC, Bile-tolerant, E. coli, Salmonella
-	77	P160032	P160032	Grape Pie	6	20	Appearance, Aflatoxin B1, Aflatoxins Σ, Ochratoxin A, Lead, Cadmium, Arsenic, Mercury, Pesticide screen, TAMC, TYMC, Bile-tolerant, E. coli, Salmonella
1	1	GP0824_02	P050022	Grape Pie	17	20	Appearance, Identification, Foreign matter
1	6	BG1024		Blue Gelato	17	20	Appearance, Identification, Foreign matter
1	7	BSS1024		Blue Sunset Sherbet	17	20	Appearance, Identification, Foreign matter
1	10	HPA1024		High Pro Amnesia	19	20	Loss on drying
1	11	OPM1024		Orange Punch Mimosa	19	20	Loss on drying
1	14	HPA1024_01	P050052	High Pro Amnesia	17	20	Appearance, Identification, Foreign matter
1	15	OPM1024_02	P050062	Orange Punch Mimosa	17	20	Appearance, Identification, Foreign matter
1	17	GG1024_01	P050092	Gorilla Glue	17	20	Appearance, Identification, Foreign matter
1	20	GP052501	P050152	Grape Pie	17	20	Appearance, Identification, Foreign matter
1	21	CJ052501/1	P050162	Cup Junky	17	20	Appearance, Identification, Foreign matter
1	26	CJ062501/2	P050212	Cap Junkie	20	20	—
1	35	GP082501/2	P050322	Grape Pie	17	20	Appearance, Identification, Foreign matter
1	38	CJ082501/2	P060032	Cap Junky	20	20	—
1	41	PM092501	P060062	Permanent Market	20	20	—
1	45	J31102501	P060152	Jokerz 31	7	20	Appearance, Identification, Foreign matter, Lead, Cadmium, Arsenic, Mercury, Pesticide screen, TAMC, TYMC, Bile-tolerant, E. coli, Salmonella
1	51	JD112501	P060212	Jelly Donutz	7	20	Appearance, Identification, Foreign matter, Lead, Cadmium, Arsenic, Mercury, Pesticide screen, TAMC, TYMC, Bile-tolerant, E. coli, Salmonella
1	58	OPM122501	P060242	Orange Punch Mimosa	17	20	Appearance, Identification, Foreign matter
1	64	CC012601/1	P060332	Cash Cow	6	20	Appearance, Identification, Foreign matter, Loss on drying, Lead, Cadmium, Arsenic, Mercury, Pesticide screen, TAMC, TYMC, Bile-tolerant, E. coli, Salmonella
1	65	FB012602	P060352	Fat Bastard	6	20	Appearance, Identification, Foreign matter, Loss on drying, Lead, Cadmium, Arsenic, Mercury, Pesticide screen, TAMC, TYMC, Bile-tolerant, E. coli, Salmonella
1	66	SCR012603	P060382	Scrambler	6	20	Appearance, Identification, Foreign matter, Loss on drying, Lead, Cadmium, Arsenic, Mercury, Pesticide screen, TAMC, TYMC, Bile-tolerant, E. coli, Salmonella
1	68	GG012603	P060402	Gorilla Glue	9	20	Appearance, Lead, Cadmium, Arsenic, Mercury, Pesticide screen, TAMC, TYMC, Bile-tolerant, E. coli, Salmonella
2	3	GP0824_03	P050072	Grape Pie	14	20	Appearance, Identification, Foreign matter, Total CBN, Aflatoxin B1, Ochratoxin A
2	5	MB0824_05	P050112	Motor Breath	14	20	Appearance, Identification, Foreign matter, Total CBN, Aflatoxin B1, Ochratoxin A
2	9	GG1024		Gorilla Glue	16	20	Loss on drying, Total CBN, Aflatoxin B1, Ochratoxin A
2	13	OPM1024_01	P050042	Orange Punch Mimosa	14	20	Appearance, Identification, Foreign matter, Total CBN, Aflatoxin B1, Ochratoxin A
2	16	OPM1024_03	P050082	Orange Punch Mimosa	14	20	Appearance, Identification, Foreign matter, Total CBN, Aflatoxin B1, Ochratoxin A
2	23	HPA052501	P050182	High Pro Amnesia	14	20	Appearance, Identification, Foreign matter, Total CBN, Aflatoxin B1, Ochratoxin A
2	24	BSS052501	P050192	Blue Sunset Sherbet	18	20	Total CBN, Aflatoxins Σ
2	27	CJ062501/1	P050222	Cap Junkie	15	20	Appearance, Foreign matter, Total CBN, Aflatoxin B1, Ochratoxin A
2	31	CLE072501	P050282	Clemosa a bud	14	20	Appearance, Identification, Foreign matter, Total CBN, Aflatoxin B1, Ochratoxin A
2	33	GP072501/2	P050302	Grape Pie	14	20	Appearance, Identification, Foreign matter, Total CBN, Aflatoxin B1, Ochratoxin A
2	34	GP082501/1	P050312	Grape Pie	14	20	Appearance, Identification, Foreign matter, Total CBN, Aflatoxin B1, Ochratoxin A
2	36	WC082501	P060012	Wedding Crasher	17	20	Total CBN, Aflatoxin B1, Ochratoxin A
2	37	CJ082501/1	P060022	Cap Junky	17	20	Total CBN, Aflatoxin B1, Ochratoxin A
2	39	OPM092501	P060042	Orange Punch Mimosa	17	20	Total CBN, Aflatoxin B1, Ochratoxin A
2	42	CJ092501	P060072	Cap Junky	17	20	Total CBN, Aflatoxin B1, Ochratoxin A
2	43	SJ092501	P060082	Sleepy Joy	17	20	Total CBN, Aflatoxin B1, Ochratoxin A
2	44	GP092501	P060092	Grape Pie	17	20	Total CBN, Aflatoxin B1, Ochratoxin A
2	47	KC102501	P060172	Kush Crasher	4	20	Appearance, Identification, Foreign matter, Aflatoxin B1, Aflatoxins Σ, Ochratoxin A, Lead, Cadmium, Arsenic, Mercury, Pesticide screen, TAMC, TYMC, Bile-tolerant, E. coli, Salmonella
2	48	GRC102501/2	P060182	Graps & Creme	4	20	Appearance, Identification, Foreign matter, Aflatoxin B1, Aflatoxins Σ, Ochratoxin A, Lead, Cadmium, Arsenic, Mercury, Pesticide screen, TAMC, TYMC, Bile-tolerant, E. coli, Salmonella
