Cultivar	Abbr	Batch	Total D9-THC %	Certificate	Issue Date	Grade under v.01	Grade under v.02
Apple and Banana	AB	AB092501	16.93	PP CoA #037 / ППК26005	21.01.2026	III	III
Blue Gelato	BG	BG1024	21.80	ППК25050	26.02.2025	II	II
Blue Gelato	BG	BG1024	26.14	197-1-К/26	07.08.2026	I	I
Blue Sunset Sherbet	BSS	BSS052501	20.39	In-house GC cross-check NGP/QCG/SOP-024	28.11.2025	II	II
Blue Sunset Sherbet	BSS	BSS1024	21.03	ППК25051	26.02.2025	II	II
Blue Sunset Sherbet	BSS	BSS1024	25.01	197-2-К/26	07.08.2026	I	I
Blue Sunset Sherbet	BSS	BSS1024_01	23.42	ППК25176	10.07.2025	II	II
Cap Junky	CJ	CJ052501/1	20.29	ППК25280	17.09.2025	II	II
Cap Junky	CJ	CJ052501/1	24.05	197-3-К/26	07.08.2026	II	II
Cap Junky	CJ	CJ052501/2	14.93	ППК25281	17.09.2025	III	III
Cap Junky	CJ	CJ062501/1	21.51	ППК25321	23.10.2025	II	II
Cap Junky	CJ	CJ062501/2	16.56	ППК25322	23.10.2025	III	III
Cap Junky	CJ	CJ062501/2	18.91	197-4-К/26	07.08.2026	III	III
Cap Junky	CJ	CJ072501	23.70	ППК25367	28.11.2025	II	II
Cap Junky	CJ	CJ082501/1	24.96	ППК26002	21.01.2026	II	II
Cap Junky	CJ	CJ082501/2	20.84	ППК26003	21.01.2026	II	II
Cap Junky	CJ	CJ082501/2	18.29	197-5-К/26	07.08.2026	III	III
Cap Junky	CJ	CJ092501	22.30	ППК26007	21.01.2026	II	II
Cap Junky	CJ	CJ1024	23.00	ППК25052	26.02.2025	II	II
Cash Cow	CC	CC012601/1	17.67	197-6-К/26	07.08.2026	III	III
Cash Cow	CC	CC112501	13.35	ППК26068	11.05.2026	OUTSIDE	IV
Clemosa a bud	CLE	CLE072501	8.02	PP CoA #027 / ППК25370	21.01.2026	V	V
Fat Bastard	FB	FB012601/1	14.68	ППК26067	11.05.2026	III	III
Fat Bastard	FB	FB012602	18.86	197-7-К/26	07.08.2026	III	III
Fat Bastard	FB	FB012603	20.83	ППК26112	30.06.2026	II	II
Fat Bastard	FB	FB012603V	18.29	ППК26110	30.06.2026	III	III
Fat Bastard	FB	FB032601	12.39	ППК26127	21.07.2026	OUTSIDE	IV
Fat Bastard	FB	FB112501	16.69	ППК26066	11.05.2026	III	III
Gorilla Glue	GG	GG012601	15.35	ППК26062	11.05.2026	III	III
Gorilla Glue	GG	GG012603	17.59	ППК26114	30.06.2026	III	III
Gorilla Glue	GG	GG012603	16.70	197-8-К/26	07.08.2026	III	III
Gorilla Glue	GG	GG032601	18.98	ППК26128	21.07.2026	II	II
Gorilla Glue	GG	GG1024	13.34	n/a — Purely Plant in-house CoA (Batch GG1024, no certificate/report number printed)	23.04.2025	III	III
Gorilla Glue	GG	GG1024_01	17.22	ППК25104	17.04.2025	III	III
Gorilla Glue	GG	GG1024_01	18.67	197-9-К/26	07.08.2026	II	II
Gorilla Glue	GG	GG1024_02	15.95	ППК25140	22.05.2025	III	III
Gorilla Glue	GG	GG112501	17.94	ППК26061	11.05.2026	III	III
Grape Pie	GP	GP052501	18.98	ППК25279	19.09.2025	III	III
Grape Pie	GP	GP052501	18.52	197-10-К/26	07.08.2026	III	III
Grape Pie	GP	GP062501	24.89	In-house HPLC cross-check NPCCC/SCP-02, NGP/QCG/SOP-024	28.11.2025	II	II
Grape Pie	GP	GP072501/1	21.36	PP CoA #018 / ППК25378	21.01.2026	III	III
Grape Pie	GP	GP072501/2	19.81	PP CoA #019 / ППК25379	21.01.2026	III	III
Grape Pie	GP	GP0824_01	20.79	ППК25105	17.04.2025	III	III
Grape Pie	GP	GP0824_02	23.19	ППК25174	10.07.2025	II	II
Grape Pie	GP	GP0824_02	22.61	197-11-К/26	07.08.2026	II	II
Grape Pie	GP	GP0824_02	23.79	ППК25139	22.05.2025	II	II
Grape Pie	GP	GP0824_03	25.45	ППК25175	10.07.2025	II	II
Grape Pie	GP	GP082501/1	21.29	PP CoA #020 / ППК25380	21.01.2026	III	III
Grape Pie	GP	GP082501/2	14.83	PP CoA #021 / ППК25381	21.01.2026	IV	IV
Grape Pie	GP	GP082501/2	15.70	197-12-К/26	07.08.2026	IV	IV
Grape Pie	GP	GP092501	25.73	ППК26009	21.01.2026	II	II
Grape Pie	GP	P160012	26.32	ППК26117	06.07.2026	I	I
Grape Pie	GP	P160022	25.72	ППК26118	06.07.2026	II	II
Grape Pie	GP	P160032	24.78	ППК26119	06.07.2026	II	II
Graps & Creme	GRC	GRC102501/2	11.53	051-6-K/26	04.03.2026	IV	IV
High Pro Amnesia	HPA	HPA052501	20.39	ППК25278	19.09.2025	II	II
High Pro Amnesia	HPA	HPA1024	14.97	n/a — Purely Plant in-house CoA (Batch HPA1024, no certificate/report number printed)	23.01.2025	III	III
High Pro Amnesia	HPA	HPA1024	17.31	197-13-К/26	07.08.2026	III	III
High Pro Amnesia	HPA	HPA1024_01	22.43	НИК22155	24.06.2025	II	II
High Pro Amnesia	HPA	HPA1024_01	21.61	197-14-К/26	07.08.2026	II	II
Jelly Donutz	JD	JD012601	18.16	ППК26064	11.05.2026	III	III
Jelly Donutz	JD	JD012603/2	20.54	ППК26113	30.06.2026	III	III
Jelly Donutz	JD	JD012603/2V	15.16	ППК26111	30.06.2026	IV	IV
Jelly Donutz	JD	JD022601	18.58	ППК26115	30.06.2026	III	III
Jelly Donutz	JD	JD112501	19.64	ППК26063	11.05.2026	III	III
Jelly Donutz	JD	JD112501	13.93	ППК26065	11.05.2026	IV	IV
Jelly Donutz	JD	JD112501	20.32	197-15-К/26	07.08.2026	III	III
Jokerz 31	J31	J31102501	19.14	051-1-K/26	04.03.2026	II	II
Jokerz 31	J31	J31102501	17.32	197-16-К/26	07.08.2026	II	II
Jokerz 31	J31	J31112501	25.27	051-5-K/26	04.03.2026	I	I
Jokerz 31	J31	J31112501	20.21	100-1-K/26	09.04.2026	II	II
