#	Production	CoQ doc. code (proposed)	Batch	P-Number	Strain	Product code	Round	1 — Macroscopic ID (Test A)	eCoA reference	2 — Microscopic ID (Test B)	eCoA reference	3 — HPTLC ID (Test C)	eCoA reference	4 — Total Δ⁹-THC (%)	Grade (v.02)	eCoA reference	5 — Total CBD (%)	eCoA reference	6 — Total CBN (%)	eCoA reference	7 — Foreign Matter (%)	eCoA reference	8 — Loss on Drying (%)	eCoA reference	9.1 — TAMC (CFU/g)	eCoA reference	9.2 — TYMC (CFU/g)	eCoA reference	9.3 — Bile-tol. gram-negative (CFU/g)	eCoA reference	9.4 — Salmonella	eCoA reference	9.5 — Escherichia coli	eCoA reference	10.1 — Aflatoxin B1 (µg/kg)	eCoA reference	10.2 — Total Aflatoxins (µg/kg)	eCoA reference	10.3 — Ochratoxin A (µg/kg)	eCoA reference	11.1 — Lead (Pb) (mg/kg)	eCoA reference	11.2 — Cadmium (Cd) (mg/kg)	eCoA reference	11.3 — Arsenic (As) (mg/kg)	eCoA reference	11.4 — Mercury (Hg) (mg/kg)	eCoA reference	12 — Pesticide Residues	eCoA reference
								A.C. Conforms to description		A.C. Conforms to description		A.C. Identity confirmed		A.C. Per target grade (QCSP 001 §01)			A.C. ≤ 1.0		A.C. ≤ 1.0		A.C. ≤ 2.0		A.C. ≤ 12.0		A.C. ≤ 10⁵		A.C. ≤ 10⁴		A.C. ≤ 10⁴		A.C. Absence /25 g		A.C. Absence /1 g		A.C. ≤ 2		A.C. ≤ 4		A.C. ≤ 20		A.C. ≤ 0.5		A.C. ≤ 0.3		A.C. ≤ 0.2		A.C. ≤ 0.1		A.C. ≤ LOQ (Ph. Eur. 2.8.13)	
3	2024-08	CoQ-PP-2026-0003	GP0824_03	P050072	Grape Pie	GP_THC24:CBD1	R1 · Jun–Jul 2025	Conforms	iCoA-PP-2026-0006 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0006 (proposed), 13.08.2026, PP	Missing / not tested	—	25.45	Grade II, 22.00 – 26.00	ППК25175, 10.07.2025, CNP	0.08	ППК25175, 10.07.2025, CNP	Missing / not tested	—	Conforms	iCoA-PP-2026-0005 (proposed), 13.08.2026, PP	6.58	ППК25175, 10.07.2025, CNP	1.1×10⁴	628/1129/25, 02.07.2025, IPH	1.2×10³	628/1129/25, 02.07.2025, IPH	<10¹ and >10³	628/1129/25, 02.07.2025, IPH	Одговара (absent)	628/1129/25, 02.07.2025, IPH	Одговара (absent)	628/1129/25, 02.07.2025, IPH	Missing / not tested	—	<2	3178/2025, 26.06.2025, IPH	Missing / not tested	—	N.D.	3178/2025, 26.06.2025, IPH	N.D.	3178/2025, 26.06.2025, IPH	0.119	3178/2025, 26.06.2025, IPH	N.D.	3178/2025, 26.06.2025, IPH	ND / <LOQ (13 analytes)	3178/2025, 26.06.2025, IPH
5	2024-08	CoQ-PP-2026-0005	MB0824_05	P050112	Motor Breath	MB_THC17.5:CBD1	R1 · Jul 2025	Conforms	iCoA-PP-2026-0010 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0010 (proposed), 13.08.2026, PP	Missing / not tested	—	16.82	Grade III, 15.00 – 20.00	ППК52211, 28.07.2025, CNP	0.06	ППК52211, 28.07.2025, CNP	Missing / not tested	—	Conforms	iCoA-PP-2026-0009 (proposed), 13.08.2026, PP	6.56	ППК52211, 28.07.2025, CNP	3.5×10³	767/1376/25, 29.07.2025, IPH	1×10³	767/1376/25, 29.07.2025, IPH	<10	767/1376/25, 29.07.2025, IPH	Одговара (absent)	767/1376/25, 29.07.2025, IPH	Одговара (absent)	767/1376/25, 29.07.2025, IPH	Missing / not tested	—	2	3638/2025, 28.07.2025, IPH	Missing / not tested	—	N.D.	3638/2025, 28.07.2025, IPH	N.D.	3638/2025, 28.07.2025, IPH	0.086	3638/2025, 28.07.2025, IPH	0.006	3638/2025, 28.07.2025, IPH	ND / <LOQ (13 analytes)	3638/2025, 28.07.2025, IPH
10	2024-10	CoQ-PP-2026-0010	GG1024	—	Gorilla Glue	GG_THC15:CBD1	R1 · Apr 2025	Confirms	n/a — Purely Plant in-house CoA (Batch GG1024, no certificate/report number printed), 23.04.2025, PP	Conforms	iCoA-PP-2026-0019 (proposed), 13.08.2026, PP	Confirms	n/a — Purely Plant in-house CoA (Batch GG1024, no certificate/report number printed), 23.04.2025, CNP	13.34	Grade III, 12.34 – 18.00	n/a — Purely Plant in-house CoA (Batch GG1024, no certificate/report number printed), 23.04.2025, CNP	0.03	n/a — Purely Plant in-house CoA (Batch GG1024, no certificate/report number printed), 23.04.2025, CNP	Missing / not tested	—	Confirms	n/a — Purely Plant in-house CoA (Batch GG1024, no certificate/report number printed), 23.04.2025, PP	Missing / not tested	—	1.1·10^4	n/a — Purely Plant in-house CoA (Batch GG1024, no certificate/report number printed), 23.04.2025, CNP	<10	n/a — Purely Plant in-house CoA (Batch GG1024, no certificate/report number printed), 23.04.2025, CNP	<10^2 >10	n/a — Purely Plant in-house CoA (Batch GG1024, no certificate/report number printed), 23.04.2025, CNP	Absent	n/a — Purely Plant in-house CoA (Batch GG1024, no certificate/report number printed), 23.04.2025, CNP	Absent	n/a — Purely Plant in-house CoA (Batch GG1024, no certificate/report number printed), 23.04.2025, CNP	Missing / not tested	—	<2	n/a — Purely Plant in-house CoA (Batch GG1024, no certificate/report number printed), 23.04.2025, CNP	Missing / not tested	—	0.052	n/a — Purely Plant in-house CoA (Batch GG1024, no certificate/report number printed), 23.04.2025, CNP	0.016	n/a — Purely Plant in-house CoA (Batch GG1024, no certificate/report number printed), 23.04.2025, CNP	0.04	n/a — Purely Plant in-house CoA (Batch GG1024, no certificate/report number printed), 23.04.2025, CNP	0.004	n/a — Purely Plant in-house CoA (Batch GG1024, no certificate/report number printed), 23.04.2025, CNP	ND / <LOQ (13 analytes)	n/a — Purely Plant in-house CoA (Batch GG1024, no certificate/report number printed), 23.04.2025, CNP
16	2024-10	CoQ-PP-2026-0016	OPM1024_01	P050042	Orange Punch Mimosa	OPM_THC16:CBD1	R1 · May 2025	Conforms	iCoA-PP-2026-0029 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0029 (proposed), 13.08.2026, PP	Missing / not tested	—	15.38	Grade III, 13.00 – 19.00	ППК25117, 06.05.2025, CNP	0.04	ППК25117, 06.05.2025, CNP	Missing / not tested	—	Conforms	iCoA-PP-2026-0028 (proposed), 13.08.2026, PP	5.86	ППК25117, 06.05.2025, CNP	<10	407/0745/25, 07.05.2025, IPH	<10	407/0745/25, 07.05.2025, IPH	<10² and >10	407/0745/25, 07.05.2025, IPH	Absent	407/0745/25, 07.05.2025, IPH	Absent	407/0745/25, 07.05.2025, IPH	Missing / not tested	—	<2	2156/2025, 07.05.2025, IPH	Missing / not tested	—	0.031	2156/2025, 07.05.2025, IPH	0.004	2156/2025, 07.05.2025, IPH	0.01	2156/2025, 07.05.2025, IPH	0.001	2156/2025, 07.05.2025, IPH	ND / <LOQ (13 analytes)	2156/2025, 07.05.2025, IPH
18	2024-10	CoQ-PP-2026-0018	OPM1024_03	P050082	Orange Punch Mimosa	OPM_THC16:CBD1	R1 · Jul 2025	Conforms	iCoA-PP-2026-0033 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0033 (proposed), 13.08.2026, PP	Missing / not tested	—	16.55	Grade III, 13.00 – 19.00	ППК25210, 28.07.2025, CNP	0.04	ППК25210, 28.07.2025, CNP	Missing / not tested	—	Conforms	iCoA-PP-2026-0032 (proposed), 13.08.2026, PP	6.38	ППК25210, 28.07.2025, CNP	2×10²	766/1375/25, 29.07.2025, IPH	3×10²	766/1375/25, 29.07.2025, IPH	<10	766/1375/25, 29.07.2025, IPH	Одговара (absent)	766/1375/25, 29.07.2025, IPH	Одговара (absent)	766/1375/25, 29.07.2025, IPH	Missing / not tested	—	2.1	3636/2025, 28.07.2025, IPH	Missing / not tested	—	N.D.	3636/2025, 28.07.2025, IPH	N.D.	3636/2025, 28.07.2025, IPH	0.135	3636/2025, 28.07.2025, IPH	0.03	3636/2025, 28.07.2025, IPH	ND / <LOQ (13 analytes)	3636/2025, 28.07.2025, IPH
19	2025-05	CoQ-PP-2026-0019	BSS052501	P050192	Blue Sunset Sherbet	BSS_THC22:CBD1	R1 · Nov–Dec 2025	Confirms	PP CoA #017, 04.12.2025, PP	Conforms	iCoA-PP-2026-0034 (proposed), 13.08.2026, PP	Confirms	In-house GC cross-check NGP/QCG/SOP-024, 28.11.2025, PP	20.39	Grade II, 19.39 – 24.75	In-house GC cross-check NGP/QCG/SOP-024, 28.11.2025, PP	0.11	In-house GC cross-check NGP/QCG/SOP-024, 28.11.2025, PP	Missing / not tested	—	Confirms	PP CoA #017, 04.12.2025, PP	8.60	In-house GC cross-check NGP/QCG/SOP-024, 28.11.2025, PP	200	1157/2058/25, 24.11.2025, IPH	200	1157/2058/25, 24.11.2025, IPH	< 10^2 and > 10	1157/2058/25, 24.11.2025, IPH	Odgovara (Absent)	1157/2058/25, 24.11.2025, IPH	Odgovara (Absent)	1157/2058/25, 24.11.2025, IPH	ND	276-31-М/25, 04.12.2025, FARM	Missing / not tested	—	<LOQ	276-31-М/25, 04.12.2025, FARM	0.024	5661/2025, 01.12.2025, IPH	0.004	5661/2025, 01.12.2025, IPH	0.025	5661/2025, 01.12.2025, IPH	0.0036	5661/2025, 01.12.2025, IPH	Pesticide residue screen (471 residues: 265 LC/MS/MS Annex 1 + 206 GC/MS/MS Annex 2, MKC EN 15662:2011): Not found any pesticide above LOQ (≤LOQ) — COMPLIES with USP and Ph.Eur.	10802_2845/2, 17.11.2025, SPL
23	2025-05	CoQ-PP-2026-0023	HPA052501	P050182	High Pro Amnesia	HPA_THC22:CBD1	R1 · Sep 2025	Conforms	iCoA-PP-2026-0042 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0042 (proposed), 13.08.2026, PP	Missing / not tested	—	20.39	Grade II, 19.39 – 24.75	ППК25278, 19.09.2025, CNP	0.09	ППК25278, 19.09.2025, CNP	Missing / not tested	—	Conforms	iCoA-PP-2026-0041 (proposed), 13.08.2026, PP	7.29	ППК25278, 19.09.2025, CNP	2.7×10⁴	948/1686/25, 17.09.2025, IPH	2.6×10⁴	948/1686/25, 17.09.2025, IPH	<10¹	948/1686/25, 17.09.2025, IPH	Одговара (absent)	948/1686/25, 17.09.2025, IPH	Одговара (absent)	948/1686/25, 17.09.2025, IPH	Missing / not tested	—	<2	4352/2025, 15.09.2025, IPH	Missing / not tested	—	0.034	4352/2025, 15.09.2025, IPH	N.D.	4352/2025, 15.09.2025, IPH	N.D.	4352/2025, 15.09.2025, IPH	N.D.	4352/2025, 15.09.2025, IPH	ND / <LOQ (13 analytes)	4352/2025, 15.09.2025, IPH
25	2025-06	CoQ-PP-2026-0025	CJ062501/1	P050222	Cap Junky	CJ_THC22.5:CBD1	R1 · Oct–Dec 2025	Conforms	iCoA-PP-2026-0046 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0046 (proposed), 13.08.2026, PP	Confirms	ППК25321, 23.10.2025, CNP	21.51	Grade II, 19.75 – 25.25	ППК25321, 23.10.2025, CNP	0.07	ППК25321, 23.10.2025, CNP	Missing / not tested	—	Conforms	iCoA-PP-2026-0045 (proposed), 13.08.2026, PP	7.77	ППК25321, 23.10.2025, CNP	<10	1217/2168/25, 01.12.2025, IPH	20	1217/2168/25, 01.12.2025, IPH	<10	1217/2168/25, 01.12.2025, IPH	Odgovara (Absent)	1217/2168/25, 01.12.2025, IPH	Odgovara (Absent)	1217/2168/25, 01.12.2025, IPH	Missing / not tested	—	<2	4907/2025, 24.10.2025, IPH	Missing / not tested	—	0.037	4907/2025, 24.10.2025, IPH	0.002	4907/2025, 24.10.2025, IPH	0.027	4907/2025, 24.10.2025, IPH	0.017	4907/2025, 24.10.2025, IPH	Lindan (Gama HCH): Н.д. (not detected); Aldrin: Н.д. (not detected); Dieldrin i Aldrin (expressed as Dieldrin): Н.д. (not detected); HCB (Hexachlorobenzene): Н.д. (not detected); 4,4' DDE: Н.д. (not detected); 4,4' DDD: Н.д. (not detected); 4,4' DDT: Н.д. (not detected); Vkupno DDT (Total DDT): Н.д. (not detected); delta HCH: Н.д. (not detected); alpha HCH: Н.д. (not detected); beta HCH: Н.д. (not detected); Endrin: Н.д. (not detected); Chlorpyriphos-methyl: Н.д. (not detected); Chlorpyrifos (Chlorpyriphos-ethyl): Н.д. (not detected); Heptachlor (sum of Heptachlor + Heptachlor epoxide): Н.д. (not detected); Endosulfan (alpha, beta and endosulfan sulfate): Н.д. (not detected); Deltamethrin: Н.д. (not detected); Chlordane (sum of cis- and trans-chlordane): Н.д. (not detected); Metoxychlor: Н.д. (not detected); Heptachlor epoxide: Н.д. (not detected); Endrin aldehyde: Н.д. (not detected); alpha Endosulfan: Н.д. (not detected); beta Endosulfan: Н.д. (not detected); Endrin keton: Н.д. (not detected); trans-Chlordane: Н.д. (not detected); cis-Chlordane: Н.д. (not detected); Dieldrin: Н.д. (not detected); Heptachlor: Н.д. (not detected); Endosulfan sulfate: Н.д. (not detected)	4907/2025, 24.10.2025, IPH
29	2025-07	CoQ-PP-2026-0029	CLE072501	P050282	Clemosa a bud	CLE_THC7.5:CBD1	R1 · Nov 2025 – Jan 2026	Conforms	iCoA-PP-2026-0052 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0052 (proposed), 13.08.2026, PP	Missing / not tested	—	8.02	Grade V, 5.00 – 10.00	PP CoA #027 / ППК25370, 21.01.2026, CNP	0.04	PP CoA #027 / ППК25370, 21.01.2026, CNP	Missing / not tested	—	Conforms	iCoA-PP-2026-0051 (proposed), 13.08.2026, PP	9.68	PP CoA #027 / ППК25370, 21.01.2026, CNP	<10	1219/2170/25, 26.11.2025, IPH	<10	1219/2170/25, 26.11.2025, IPH	<10	1219/2170/25, 26.11.2025, IPH	Odgovara (Absent)	1219/2170/25, 26.11.2025, IPH	Odgovara (Absent)	1219/2170/25, 26.11.2025, IPH	Missing / not tested	—	2.2	5700/2025, 02.12.2025, IPH	Missing / not tested	—	0.032	5700/2025, 02.12.2025, IPH	0.002	5700/2025, 02.12.2025, IPH	0.013	5700/2025, 02.12.2025, IPH	0.021	5700/2025, 02.12.2025, IPH	Lindan (Gama HCH): Н.д. (not detected); Aldrin: Н.д. (not detected); Dieldrin i Aldrin (expressed as Dieldrin): Н.д. (not detected); HCB (Hexachlorobenzene): Н.д. (not detected); 4,4' DDE: Н.д. (not detected); 4,4' DDD: Н.д. (not detected); 4,4' DDT: Н.д. (not detected); Vkupno DDT (Total DDT): Н.д. (not detected); delta HCH: Н.д. (not detected); alpha HCH: Н.д. (not detected); beta HCH: Н.д. (not detected); Endrin: Н.д. (not detected); Chlorpyriphos-methyl: Н.д. (not detected); Chlorpyrifos (Chlorpyriphos-ethyl): Н.д. (not detected); Heptachlor (sum of Heptachlor + Heptachlor epoxide): Н.д. (not detected); Endosulfan (alpha, beta and endosulfan sulfate): Н.д. (not detected); Deltamethrin: Н.д. (not detected); Chlordane (sum of cis- and trans-chlordane): Н.д. (not detected); Metoxychlor: Н.д. (not detected); Heptachlor epoxide: Н.д. (not detected); Endrin aldehyde: Н.д. (not detected); alpha Endosulfan: Н.д. (not detected); beta Endosulfan: Н.д. (not detected); Endrin keton: Н.д. (not detected); trans-Chlordane: Н.д. (not detected); cis-Chlordane: Н.д. (not detected); Dieldrin: Н.д. (not detected); Heptachlor: Н.д. (not detected); Endosulfan sulfate: Н.д. (not detected)	5700/2025, 02.12.2025, IPH
31	2025-07	CoQ-PP-2026-0031	GP072501/2	P050302	Grape Pie	GP_THC20:CBD1	R1 · Dec 2025 – Jan 2026	Conforms	iCoA-PP-2026-0056 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0056 (proposed), 13.08.2026, PP	Missing / not tested	—	19.81	Grade III, 18.00 – 22.00	PP CoA #019 / ППК25379, 21.01.2026, CNP	0.10	PP CoA #019 / ППК25379, 21.01.2026, CNP	Missing / not tested	—	Conforms	iCoA-PP-2026-0055 (proposed), 13.08.2026, PP	7.41	PP CoA #019 / ППК25379, 21.01.2026, CNP	2×10^2	1229/2195/25, Issued ~Dec 2025, IPH	3×10^2	1229/2195/25, Issued ~Dec 2025, IPH	<10	1229/2195/25, Issued ~Dec 2025, IPH	Odgovara (Absent)	1229/2195/25, Issued ~Dec 2025, IPH	Odgovara (Absent)	1229/2195/25, Issued ~Dec 2025, IPH	Missing / not tested	—	<2	5887/2025, 12.12.2025, IPH	Missing / not tested	—	0.017	5887/2025, 12.12.2025, IPH	0.0028	5887/2025, 12.12.2025, IPH	0.02	5887/2025, 12.12.2025, IPH	0.019	5887/2025, 12.12.2025, IPH	Lindan (Gama HCH): Н.д. (not detected); Aldrin: Н.д. (not detected); Dieldrin i Aldrin (expressed as Dieldrin): Н.д. (not detected); HCB (Hexachlorobenzene): Н.д. (not detected); 4,4' DDE: Н.д. (not detected); 4,4' DDD: Н.д. (not detected); 4,4' DDT: Н.д. (not detected); Vkupno DDT (Total DDT): Н.д. (not detected); delta HCH: Н.д. (not detected); alpha HCH: Н.д. (not detected); beta HCH: Н.д. (not detected); Endrin: Н.д. (not detected); Chlorpyriphos-methyl: Н.д. (not detected); Chlorpyrifos (Chlorpyriphos-ethyl): Н.д. (not detected); Heptachlor (sum of Heptachlor + Heptachlor epoxide): Н.д. (not detected); Endosulfan (alpha, beta and endosulfan sulfate): Н.д. (not detected); Deltamethrin: Н.д. (not detected); Chlordane (sum of cis- and trans-chlordane): Н.д. (not detected); Metoxychlor: Н.д. (not detected); Heptachlor epoxide: Н.д. (not detected); Endrin aldehyde: Н.д. (not detected); alpha Endosulfan: Н.д. (not detected); beta Endosulfan: Н.д. (not detected); Endrin keton: Н.д. (not detected); trans-Chlordane: Н.д. (not detected); cis-Chlordane: Н.д. (not detected); Dieldrin: Н.д. (not detected); Heptachlor: Н.д. (not detected); Endosulfan sulfate: Н.д. (not detected)	5887/2025, 12.12.2025, IPH
