Seq	Cultivation Batch	P-Number	Strain	Parameter	Acceptance Criterion	Result	Certificate Code	Issue Date	Issuing Institution	Drive File Link
1	GP0824_02	P050022	Grape Pie	Loss on Drying	≤ 10.00%	6.51%	ППК25174	10.07.2025 (completed 09.07.2025)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	Cannabidiolic acid (CBDA) content	/	0.08%	ППК25174	10.07.2025 (completed 09.07.2025)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	Cannabidiol (CBD) content	/	ND	ППК25174	10.07.2025 (completed 09.07.2025)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	Cannabinol (CBN) content	≤ 1.00%	BLQ	ППК25174	10.07.2025 (completed 09.07.2025)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	Delta-9-THC content	/	0.92%	ППК25174	10.07.2025 (completed 09.07.2025)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	Delta-9-THCA content	/	25.39%	ППК25174	10.07.2025 (completed 09.07.2025)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	Total CBD (CBD + CBDA x 0.877)	/	0.07%	ППК25174	10.07.2025 (completed 09.07.2025)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	Total Delta-9-THC (THC + THCA x 0.877)	/	23.19%	ППК25174	10.07.2025 (completed 09.07.2025)	UKIM Faculty of Pharmacy — Center for Natural Products	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	Deltamethrin	<0.5 mg/kg	N.D.	3176/2025	26.06.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
1	GP0824_02	P050022	Grape Pie	Chlorpyriphos-methyl	<0.1 mg/kg	N.D.	3176/2025	26.06.2025	IPH — Institute of Public Health	https://drive.google.com/file/d/1F7HmOn5tMa1wzgElS78_4Wi3B2wLs468/view
