batch_label	p_number	thc_int	quantity_kg	warehouse
CJ1024 - R&D	CJ1024	23	20.000	E66
GG1024- R&D	GG1024	13	39.100	E66
OPM1024- R&D	OPM1024	20	43.800	E66
BG1024- R&D	BG1024	22	37.200	E66
BSS1024- R&D	BSS1024	21	46.400	E66
HPA1024- R&D	HPA1024	15	39.800	E66
GG1024_01	P050092	17	223.734	E66
GP0824_01	P050102	21	223.310	E66
OMP1024_01	P050042	15	209.950	E46/47
MB0824_04	P050032	19	169.285	F131
GG1024_02	P050012	16	182.140	E46/47
GP0824_02	P050022	24	200.000	F131
HPA1024_01	P050052	22	130.304	F131
OPM1024_02	P050062	18	148.504	F131
BSS1024_01/1	P050122	23	213.774	E66
BSS1024_01/2	P050142	23	18.949	E66
GP0824_03	P050072	25	218.753	F131
OPM1024_03	P050082	17	254.543	E46/47
MB0824_05	P050112	17	239.679	E46/47
OPM052501	P050132	14	289.075	E46/47
GP052501	P050152	19	148.800	F131
CJ052501/01	P050162	20	63.600	F131
CJ052501/02	P050172	15	43.200	E46/47
HPA052501	P050182	20	247.200	F131
BSS052501	P050192	20	342.536	F131
GP062501	P050202	23	292.956	F131
CJ062501/1	P050222	22	76.568	F131
CJ062501/2	P050212	17	144.508	F131
CJ072501	P050252	24	38.675	F131
PM072501	P050272	10	25.989	E46/47
WC072501	P050262	22	29.819	F131
CLE072501	P050282	8	27.045	E46/47
GP072501/1	P050292	21	226.868	F131
GP072501/2	P050302	20	12.800	F131
GP082501/1	P050312	21	197.829	F131
GP082501/2	P050322	15	21.999	F131
WC082501	P060012	22	81.579	F131
CJ082501/1	P060022	25	113.393	F131
CJ082501/2	P060032	21	13.912	F131
PM092501	P060062	14	19.377	E46/47
AB092501	P060052	17	23.530	E46/47
SJ092501	P060082	11	26.926	E46/47
CJ092501	P060072	22	27.127	F131
OPM092501	P060042	9	13.929	E46/47
GP092501	P060092	26	168.520	F131
ACC102501	P060122	13	37.849	F131
PUM102501	P060112	16	48.955	F131
WED102501	P060102	22	33.480	F131
CF102501	P060132	10	47.436	F131
GRC102501	P060142	7	9.766	F131
J31102501	P060152	19	22.759	F131
KC102501	P060172	17	16.000	F131
GRC102501/2	P060182	12	19.325	F131
SJ102501	P060162	11	65.340	F131
J31112501	P060202	20	85.098	F131
SJ112501	P060192	9	50.622	F131
OPM112501	P060222	8	38.651	F131
PM112501	P060232	13	48.000	F131
JD112501	P060212	20	41.072	F131
OPM122501	P060242	8	103.400	F131
GG112501	P060252	18	55.260	F131
J31122501	P060262	22	135.494	F131
CC112501	P060272	13	13.117	F131
SCR112501	P060282	17	22.601	F131
FB112501	P060292	17	40.491	F131
JD012601*	P060312	18	76.380	F131
GG012601*	P060302	15	76.175	Sec.Pack.
FB012601/1	P060322	15	8.511	Sec.Pack.
CC012601/1	P060332	15	8.927	Sec.Pack.
SCR012601*	P060342	17	78.861	Sec.Pack.
FB012602*	P060352	18	75.712	Sec.Pack.
JD012603/1	P060362	19	11.291	Sec.Pack.
CC012603	P060372	15	55.224	Sec.Pack.
SCR012603	P060382	17	78.841	Sec.Pack.
FB012603V	P060392	anal.ong.	15.726	Sec.Pack.
GG012603	P060402	anal.ong.	37.798	Sec.Pack.
JD012603/2	P060412	anal.ong.	47.118	Sec.Pack.
JD012603/2v	P060422	anal.ong.	10.492	Sec.Pack.
