tranche	strain	batch	thc_bracket	thc_pct	volume_kg
1	Blue Gelato	BG1024	19-22%	21.80	43.87
1	Blue Sunset Sherbet	BSS1024	19-22%	21.00	50.20
1	Cap Junkie	CJ052501/01	19-22%	20.29	64.53
1	Cap Junkie	CJ062501/2	16-19%	16.56	146.52
1	Cap Junkie	CJ082501/2	19-22%	20.84	14.75
1	CashCow	CC012601/1	13-16%	15.63	9.15
1	Fat Bastard	FB012602	19-22%	19.77	75.92
1	GG4	GG012603	13-16%	15.59	40.00
1	Gorilla Glue	GG1024_01	16-19%	17.00	0.87
1	Grape Pie	GP052501	16-19%	18.98	151.14
1	Grape Pie	GP0824_02	22-25%	23.79	208.46
1	Grape Pie	GP082501/2	13-16%	14.83	22.84
1	High Pro Amnesia	HPA1024	13-16%	14.97	40.83
1	High Pro Amnesia	HPA1024_01	22-25%	22.43	140.50
1	Jelly Donuts	JD112501	19-22%	19.64	41.54
1	Jokerz 31	J31102501	19-22%	19.14	23.64
1	Orange Punch Mimosa	OPM1024	19-22%	19.96	45.46
1	Orange Punch Mimosa	OPM1024_02	16-19%	18.27	156.14
1	Orange Punch Mimosa	OPM122501	10-13%	11.00	104.26
1	Permanent Marker	PM092501	13-16%	14.06	20.23
1	Scrambler	SCR012603	16-19%	17.00	79.81
2	Amnesia Core Cut	ACC102501	10-13%	12.91	38.88
2	Blue Sunset Sherbet	BSS052501	19-22%	20.47	345.71
2	Cap Junkie	CJ062501/1	19-22%	21.51	77.72
2	Cap Junkie	CJ082501/1	22-25%	24.96	115.60
2	Cap Junkie	CJ092501	22-25%	22.30	28.38
2	CashCow	CC012603	10-13%	12.32	56.18
2	Chem Flyer	CF102501	7-10%	9.83	48.35
2	Clemosa	CLE072501	7-10%	8.02	27.07
2	Fat Bastard	FB012601/1	13-16%	14.68	8.85
2	Gorilla Glue	GG1024	13-16%	13.34	44.84
2	Grape Pie	GP072501/2	19-22%	19.81	13.63
2	Grape Pie	GP0824_03	>=25%	25.45	237.67
2	Grape Pie	GP082501/1	19-22%	21.29	200.42
2	Grape Pie	GP092501	>=25%	25.73	171.03
2	Grapes and Cream	GRC102501/2	10-13%	11.53	20.17
2	High Pro Amnesia	HPA052501	19-22%	20.39	249.95
2	Jelly Donuts	JD012603/01	16-19%	16.71	12.00
2	Jelly Donuts	JD012603/02	13-16%	13.30	46.00
2	Jelly Donuts	JD012603/02V	13-16%	14.97	11.00
2	Kush Crasher	KC102501	16-19%	17.40	21.67
2	Motor Breath	MB0824_05	16-19%	16.82	244.06
2	Orange Punch Mimosa	OMP1024_01	13-16%	15.38	213.59
2	Orange Punch Mimosa	OPM092501	7-10%	9.43	14.76
2	Orange Punch Mimosa	OPM1024_03	16-19%	16.55	267.59
2	Permanent Marker	PM112501	13-16%	13.00	48.09
2	Pure Michigen	PUM102501	13-16%	15.63	49.91
2	Scrambler	SCR112501	16-19%	17.13	23.44
2	Sleepy Joe	SJ092501	10-13%	10.96	28.68
2	Wedding Crusher	WC082501	19-22%	21.67	82.63
3	Appels & Bananas	AB092501	16-19%	16.93	24.37
3	Blue Sunset Sherbet	BSS1024_01/1	22-25%	23.42	251.02
3	Cap Junkie	CJ052501/02	13-16%	14.49	43.95
3	Cap Junkie	CJ072501	22-25%	23.70	39.72
3	Cap Junkie	CJ1024	22-25%	23.00	21.21
3	CashCow	CC112501	13-16%	13.35	13.94
3	Fat Bastard	FB012603	13-16%	14.65	75.00
3	Fat Bastard	FB012603V	13-16%	15.60	16.00
3	Fat Bastard	FB112501	16-19%	16.69	42.10
3	GG4	GG012601	13-16%	15.35	77.85
3	GG4	GG112501	16-19%	17.94	56.19
3	Gorilla Glue	GG1024_02	13-16%	15.95	184.89
3	Grape Pie	GP062501	22-25%	22.89	303.41
3	Grape Pie	GP072501/1	19-22%	21.36	229.79
3	Grapes and Cream	GRC102501/1	7-10%	7.05	10.69
3	Jelly Donuts	JD012601	16-19%	18.16	78.93
3	Jokerz 31	J31112501	>=25%	25.00	86.38
3	Jokerz 31	J31122501	19-22%	21.77	136.64
3	Motor Breath	MB0824_04	16-19%	18.67	175.22
3	Orange Punch Mimosa	OPM052501	13-16%	14.16	292.95
3	Orange Punch Mimosa	OPM112501	7-10%	8.00	39.37
3	Permanent Marker	PM072501	10-13%	10.01	26.78
3	Scrambler	SCR012601	16-19%	18.07	90.00
3	Scrambler	SCR022601	16-19%	16.00	210.00
3	Sleepy Joe	SJ102501	10-13%	11.20	66.37
3	Sleepy Joe	SJ112501	7-10%	9.00	48.60
3	Wedding Cake	WED102501	22-25%	22.05	34.41
3	Wedding Crusher	WC072501	22-25%	22.11	29.95
