no	tranche	strain	grade	class	nominal_pct	tolerance_pct	range_low	range_high	thc_exact	cultiv_batch_src	pp_batch	spec_code	product_type	harvest	packaging
1	T2	Cap Junky	Grade I	THC 28 / CBD 1	28.00	2.80	25.20	30.79	28.34	CJ082501/1	P060022	QCSP_001_CJ-I_v.01	CJ_THC28:CBD1	2025-12-09	2026-01-16
2	T2	Grape Pie	Grade I	THC 28 / CBD 1	28.00	2.80	25.20	30.79	28.30	GP0824_03	P050072	QCSP_001_GP-I_v.01	GP_THC28:CBD1	2025-06-09	2025-07-14
3	T1	Blue Gelato	Grade I	THC 26 / CBD 1	26.00	2.60	23.40	28.59	26.14	BG1024	BG1024	QCSP_001_BG-I_v.01	BG_THC26:CBD1	2025-01-21	2025-03-07
4	T2	Cap Junky	Grade II	THC 26 / CBD 1	26.00	2.60	23.40	28.59	25.65	CJ092501	P060072	QCSP_001_CJ-II_v.01	CJ_THC26:CBD1	2025-12-12	2026-02-02
5	T2	Grape Pie	Grade II	THC 26 / CBD 1	26.00	2.60	23.40	28.59	25.24	GP092501	P060092	QCSP_001_GP-II_v.01	GP_THC26:CBD1	2025-12-16	2026-02-03
6	T2	Grape Pie	Grade II	THC 26 / CBD 1	26.00	2.60	23.40	28.59	25.13	GP082501/1	P050312	QCSP_001_GP-II_v.01	GP_THC26:CBD1	2025-11-19	2025-12-23
7	T1	Blue Sunset Sherbet	Grade I	THC 24 / CBD 1	24.00	2.40	21.60	26.39	25.01	BSS1024	BSS1024	QCSP_001_BSS-I_v.01	BSS_THC24:CBD1	2025-01-22	2025-03-04
8	T2	Cap Junky	Grade III	THC 24 / CBD 1	24.00	2.40	21.60	26.39	24.80	CJ062501/1	P050222	QCSP_001_CJ-III_v.01	CJ_THC24:CBD1	2025-09-23	2025-11-24
9	T1	Cap Junky	Grade III	THC 24 / CBD 1	24.00	2.40	21.60	26.39	24.05	CJ052501/01	P050162	QCSP_001_CJ-III_v.01	CJ_THC24:CBD1	2025-08-20	2025-09-30
10	T2	Wedding Crusher	Grade I	THC 24 / CBD 1	24.00	2.40	21.60	26.39	23.48	WC082501	P060012	QCSP_001_WC-I_v.01	WC_THC24:CBD1	2025-12-09	2026-01-13
11	T1	Grape Pie	Grade III	THC 24 / CBD 1	24.00	2.40	21.60	26.39	22.61	GP0824_02	P050022	QCSP_001_GP-III_v.01	GP_THC24:CBD1	2025-04-22	2025-06-03
12	T1	High Pro Amnesia	Grade I	THC 22 / CBD 1	22.00	2.20	19.80	24.19	21.61	HPA1024_01	P050052	QCSP_001_HPA-I_v.01	HPA_THC22:CBD1	2025-05-27	2025-06-27
13	T2	Jelly Donuts	Grade I	THC 22 / CBD 1	22.00	2.20	19.80	24.19	21.01	JD012603/01	P060362	QCSP_001_JD-I_v.01	JD_THC22:CBD1	2026-04-22	2026-05-23
14	T1	Orange Punch Mimosa	Grade I	THC 22 / CBD 1	22.00	2.20	19.80	24.19	20.03	OPM1024	OPM1024	QCSP_001_OPM-I_v.01	OPM_THC22:CBD1	2025-01-21	2025-04-24
15	T2	Blue Sunset Sherbet	Grade II	THC 20 / CBD 1	20.00	2.00	18.00	21.99	20.52	BSS052501	P050192	QCSP_001_BSS-II_v.01	BSS_THC20:CBD1	2025-09-01	2025-10-10
16	T1	Jelly Donuts	Grade II	THC 20 / CBD 1	20.00	2.00	18.00	21.99	20.32	JD112501	P060212	QCSP_001_JD-II_v.01	JD_THC20:CBD1	2026-03-25	2026-04-21
17	T2	Scrambler	Grade I	THC 20 / CBD 1	20.00	2.00	18.00	21.99	19.73	SCR112501	P060282	QCSP_001_SCR-I_v.01	SCR_THC20:CBD1	2026-03-25	2026-05-18
18	T2	High Pro Amnesia	Grade II	THC 20 / CBD 1	20.00	2.00	18.00	21.99	19.69	HPA052501	P050182	QCSP_001_HPA-II_v.01	HPA_THC20:CBD1	2025-08-21	2025-10-03
19	T2	Orange Punch Mimosa	Grade II	THC 20 / CBD 1	20.00	2.00	18.00	21.99	19.30	OPM1024_03	P050082	QCSP_001_OPM-II_v.01	OPM_THC20:CBD1	2025-07-01	2025-07-22
20	T1	Cap Junky	Grade IV	THC 20 / CBD 1	20.00	2.00	18.00	21.99	18.29	CJ082501/2	P060032	QCSP_001_CJ-IV_v.01	CJ_THC20:CBD1	2025-12-10	2026-01-29
21	T2	Orange Punch Mimosa	Grade III	THC 18 / CBD 1	18.00	1.80	16.20	19.79	18.99	OMP1024_01	P050042	QCSP_001_OPM-III_v.01	OPM_THC18:CBD1	2025-03-26	2025-06-20
