wave	wave_name	coq_code	issue_date	batch	pp_batch	strain	version	supersedes_qccoa	supersedes_coq	tranche	spec_code	param_no	parameter	criterion	state	value	source	cert_code	route
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0001	2025-02-27	BG1024	BG1024	Blue Gelato	1	QCCoA 001		T1	QCSP_001_BG-I_v.01	1	Identification A, Appearance	Conforms to monograph	MISSING				iCoA
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0001	2025-02-27	BG1024	BG1024	Blue Gelato	1	QCCoA 001		T1	QCSP_001_BG-I_v.01	2	Identification B	Conforms to monograph	MISSING				iCoA
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0001	2025-02-27	BG1024	BG1024	Blue Gelato	1	QCCoA 001		T1	QCSP_001_BG-I_v.01	3	Identification C	Conforms to monograph	MISSING				iCoA?
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0001	2025-02-27	BG1024	BG1024	Blue Gelato	1	QCCoA 001		T1	QCSP_001_BG-I_v.01	4	Assay — Total Δ9-THC	23.40 - 28.59 %	OUTSOURCED	21.80	UKIM_CNP	ППК25050	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0001	2025-02-27	BG1024	BG1024	Blue Gelato	1	QCCoA 001		T1	QCSP_001_BG-I_v.01	5	Assay — Total CBD	≤ 1.0 %, w/w	OUTSOURCED	0.04	UKIM_CNP	ППК25050	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0001	2025-02-27	BG1024	BG1024	Blue Gelato	1	QCCoA 001		T1	QCSP_001_BG-I_v.01	6	Total CBN	≤ 1.0 %, w/w	MISSING				OUTSOURCE
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0001	2025-02-27	BG1024	BG1024	Blue Gelato	1	QCCoA 001		T1	QCSP_001_BG-I_v.01	7	Foreign Matter	≤ 2.0 % / 25–50 g	MISSING				iCoA
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0001	2025-02-27	BG1024	BG1024	Blue Gelato	1	QCCoA 001		T1	QCSP_001_BG-I_v.01	8	Loss on Drying	≤ 12.0 %	OUTSOURCED	5.73	UKIM_CNP	ППК25050	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0001	2025-02-27	BG1024	BG1024	Blue Gelato	1	QCCoA 001		T1	QCSP_001_BG-I_v.01	9a	TAMC	≤ 10^5 CFU/g	OUTSOURCED	1,6 x 10⁴ CFU/g	IJZ	163/0271/25	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0001	2025-02-27	BG1024	BG1024	Blue Gelato	1	QCCoA 001		T1	QCSP_001_BG-I_v.01	9b	TYMC	≤ 10^4 CFU/g	OUTSOURCED	1 x 10⁴ CFU/g	IJZ	163/0271/25	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0001	2025-02-27	BG1024	BG1024	Blue Gelato	1	QCCoA 001		T1	QCSP_001_BG-I_v.01	9c	Bile-tolerant gram-neg.	≤ 10^4 CFU/g	OUTSOURCED	<10² и > 10 CFU/g	IJZ	163/0271/25	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0001	2025-02-27	BG1024	BG1024	Blue Gelato	1	QCCoA 001		T1	QCSP_001_BG-I_v.01	9d	Salmonella	Absence / 25 g	OUTSOURCED	Одговара	IJZ	163/0271/25	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0001	2025-02-27	BG1024	BG1024	Blue Gelato	1	QCCoA 001		T1	QCSP_001_BG-I_v.01	9e	Escherichia coli	Absence / 1 g	OUTSOURCED	Одговара	IJZ	163/0271/25	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0001	2025-02-27	BG1024	BG1024	Blue Gelato	1	QCCoA 001		T1	QCSP_001_BG-I_v.01	10a	Aflatoxin B1	≤ 2 µg/kg	NOT TESTED				OUTSOURCE
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0001	2025-02-27	BG1024	BG1024	Blue Gelato	1	QCCoA 001		T1	QCSP_001_BG-I_v.01	10b	Aflatoxins ∑ (B1+B2+G1+G2)	≤ 4 µg/kg	OUTSOURCED	<2	IJZ	752/2025	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0001	2025-02-27	BG1024	BG1024	Blue Gelato	1	QCCoA 001		T1	QCSP_001_BG-I_v.01	10c	Ochratoxin A	≤ 20 µg/kg	NOT TESTED				OUTSOURCE
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0001	2025-02-27	BG1024	BG1024	Blue Gelato	1	QCCoA 001		T1	QCSP_001_BG-I_v.01	11a	Lead (Pb)	≤ 0.5 mg/kg	OUTSOURCED	0,01	IJZ	752/2025	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0001	2025-02-27	BG1024	BG1024	Blue Gelato	1	QCCoA 001		T1	QCSP_001_BG-I_v.01	11b	Cadmium (Cd)	≤ 0.3 mg/kg	OUTSOURCED	0,016	IJZ	752/2025	
