doc_id	batch	cert_code	parameter	parameter_printed	read_A	read_B	arithmetic_says	DECISION	RULED_BY	BASIS
9c009b10a47a11f1858cf58865604f65	P060352		identification_a_macroscopic	Идентификација и квантификација на канабиноиди						
9c009b10a47a11f1858cf58865604f65	P060352		identification_b_microscopic	Идентификација и квантификација на канабиноиди						
9c009b10a47a11f1858cf58865604f65	P060352		identification_c_hplc	Идентификација и квантификација на канабиноиди						
90030a3ca47a11f1858cf58865604f65	CJ052501_1	949/1687/25	bile_tolerant_gram_negative	На жолчка толерантни грам-негативни бактерии	< 10^1 »10^2 CFU/g	< 10³ и >10² CFU/g				
8ff1f4aea47a11f1858cf58865604f65	CJ052501_1	4350/2025	pesticide_residues	Dieldrin in Aldrin (expressed as Dieldrin)						
8ff1f4aea47a11f1858cf58865604f65	CJ052501_1	4350/2025	pesticide_residues	вкупно DDT						
8ff1f4aea47a11f1858cf58865604f65	CJ052501_1	4350/2025	pesticide_residues	Heptachlor (sum of Heptachlor + Heptachlor epoxide)						
8ff1f4aea47a11f1858cf58865604f65	CJ052501_1	4350/2025	pesticide_residues	Endosulfan (alpha, beta and endosulfan sulfate)						
8ff1f4aea47a11f1858cf58865604f65	CJ052501_1	4350/2025	pesticide_residues	Chlordane (sum of cis- and trans-chlordane)						
8fdb44dea47a11f1858cf58865604f65	P050162		identification_a_macroscopic	Идентификација						
8fdb44dea47a11f1858cf58865604f65	P050162		identification_b_microscopic	Идентификација						
8fdb44dea47a11f1858cf58865604f65	P050162		identification_c_hplc	Идентификација						
82e8226aa47a11f1858cf58865604f65	BG1024	197-1-К/26	identification_a_macroscopic	Идентификација и квантификација на канабиноиди						
82e8226aa47a11f1858cf58865604f65	BG1024	197-1-К/26	identification_b_microscopic	Идентификација и квантификација на канабиноиди						
82e8226aa47a11f1858cf58865604f65	BG1024	197-1-К/26	identification_c_hplc	Идентификација и квантификација на канабиноиди						
8fc1595ca47a11f1858cf58865604f65	GP052501	946/1684/25	tamc	Вкупен број аеробни бактерии-ТАМС						
8e0b0202a47a11f1858cf58865604f65	GG1024_01		identification_a_macroscopic	Идентификација (A)						
8e0b0202a47a11f1858cf58865604f65	GG1024_01		identification_b_microscopic	Идентификација (B)						
8e0b0202a47a11f1858cf58865604f65	GG1024_01		identification_c_hplc	Идентификација (C)						
89b6a42ca47a11f1858cf58865604f65	P050022	197-11-К/26	identification_a_macroscopic	Идентификација и квантификација на канабиноиди во цвет од канабис						
89b6a42ca47a11f1858cf58865604f65	P050022	197-11-К/26	identification_b_microscopic	Идентификација и квантификација на канабиноиди во цвет од канабис						
89b6a42ca47a11f1858cf58865604f65	P050022	197-11-К/26	identification_c_hplc	Идентификација и квантификација на канабиноиди во цвет од канабис						
9bc78d8ea47a11f1858cf58865604f65	P060212		identification_a_macroscopic	Идентификација и квантификација на канабиноиди во цвет						
9bc78d8ea47a11f1858cf58865604f65	P060212		identification_b_microscopic	Идентификација и квантификација на канабиноиди во цвет						
9bc78d8ea47a11f1858cf58865604f65	P060212		identification_c_hplc	Идентификација и квантификација на канабиноиди во цвет						
95044438a47a11f1858cf58865604f65	P050322		identification_a_macroscopic	Идентификација и квантификација на канабиноиди во цвет						
95044438a47a11f1858cf58865604f65	P050322		identification_b_microscopic	Идентификација и квантификација на канабиноиди во цвет						
95044438a47a11f1858cf58865604f65	P050322		identification_c_hplc	Идентификација и квантификација на канабиноиди во цвет						
8b757bc6a47a11f1858cf58865604f65	HPA1024_01	2995/2025	pesticide_residues	* Lindan ( Gama HCH )						
8b59f5e0a47a11f1858cf58865604f65	HPA1024_01		identification_a_macroscopic	Идентификација и квантификација на канабиноиди во цвет од канабис						
8b59f5e0a47a11f1858cf58865604f65	HPA1024_01		identification_b_microscopic	Идентификација и квантификација на канабиноиди во цвет од канабис						
8b59f5e0a47a11f1858cf58865604f65	HPA1024_01		identification_c_hplc	Идентификација и квантификација на канабиноиди во цвет од канабис						
87e2b6d6a47a11f1858cf58865604f65	OPM1024		bile_tolerant_gram_negative	Microbiological quality** - Bile-tolerant gram-negative bacteria	<10^1 CFU/g	<10²>10³CFU/g				
87e2b6d6a47a11f1858cf58865604f65	OPM1024		pesticide_residues	Deltamethrin						
87e2b6d6a47a11f1858cf58865604f65	OPM1024		pesticide_residues	Chlorpyriphos-methyl						
87e2b6d6a47a11f1858cf58865604f65	OPM1024		pesticide_residues	Chlorpyriphos-ethyl						
87e2b6d6a47a11f1858cf58865604f65	OPM1024		pesticide_residues	Endosulfan (sum of isomers and endosulfan sulfate)						
87e2b6d6a47a11f1858cf58865604f65	OPM1024		pesticide_residues	Lindan						
87e2b6d6a47a11f1858cf58865604f65	OPM1024		pesticide_residues	Aldrin and dieldrin (sum of)						
87e2b6d6a47a11f1858cf58865604f65	OPM1024		pesticide_residues	HCH (sum of α-, β-, δ- and ε)						
