icoa_code	coq_code	coq_date	batch	strain	kind	Ident A	Ident B	Ident C	Foreign M
QCiCoA 001/01	QCCoQ 001 v.01	2025-02-27	BG1024	Blue Gelato	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 001/02	QCCoQ 001 v.02	2026-08-10	BG1024	Blue Gelato	reissue	HELD	HELD	HELD	MISSING
QCiCoA 002/01	QCCoQ 002 v.01	2025-02-27	BSS1024	Blue Sunset Sherbet	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 002/02	QCCoQ 002 v.02	2026-08-10	BSS1024	Blue Sunset Sherbet	reissue	MISSING	MISSING	MISSING	MISSING
QCiCoA 003/01	QCCoQ 003 v.01	2025-02-27	CJ1024	Cap Junky	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 004/01	QCCoQ 004 v.01	2025-04-17	GG1024_01	Gorilla Glue	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 004/02	QCCoQ 004 v.02	2026-08-10	GG1024_01	Gorilla Glue	reissue	HELD	HELD	HELD	MISSING
QCiCoA 005/01	QCCoQ 005 v.01	2025-04-17	GP0824_01	Grape Pie	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 006/01	QCCoQ 006 v.01	2025-04-23	GG1024	Gorilla Glue	release	ok	MISSING	ok	ok
QCiCoA 007/01	QCCoQ 007 v.01	2025-04-23	HPA1024	High Pro Amnesia	release	ok	MISSING	ok	ok
	QCCoQ 007 v.02	2026-08-10	HPA1024	High Pro Amnesia	reissue	ok	HELD	ok	ok
QCiCoA 008/01	QCCoQ 008 v.01	2025-04-23	OPM1024	Orange Punch Mimosa	release	ok	MISSING	ok	ok
QCiCoA 008/02	QCCoQ 008 v.02	2026-08-10	OPM1024	Orange Punch Mimosa	reissue	ok	MISSING	ok	ok
QCiCoA 009/01	QCCoQ 009 v.01	2025-05-07	OPM1024_01	Orange Punch Mimosa	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 010/01	QCCoQ 010 v.01	2025-05-30	GG1024_02	Gorilla Glue	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 011/01	QCCoQ 011 v.01	2025-06-24	HPA1024_01	High Pro Amnesia	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 011/02	QCCoQ 011 v.02	2026-08-10	HPA1024_01	High Pro Amnesia	reissue	HELD	HELD	HELD	MISSING
QCiCoA 012/01	QCCoQ 012 v.01	2025-06-24	OPM1024_02	Orange Punch Mimosa	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 012/02	QCCoQ 012 v.02	2026-08-10	OPM1024_02	Orange Punch Mimosa	reissue	HELD	HELD	MISSING	MISSING
QCiCoA 013/01	QCCoQ 013 v.01	2025-07-10	BSS1024_01	Blue Sunset Sherbet	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 014/01	QCCoQ 014 v.01	2025-07-10	GP0824_02	Grape Pie	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 014/02	QCCoQ 014 v.02	2026-03-05	GP0824_02	Grape Pie	reissue	MISSING	MISSING	MISSING	MISSING
QCiCoA 014/03	QCCoQ 014 v.03	2026-08-10	GP0824_02	Grape Pie	reissue	HELD	HELD	HELD	MISSING
QCiCoA 015/01	QCCoQ 015 v.01	2025-07-10	GP0824_03	Grape Pie	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 015/02	QCCoQ 015 v.02	2026-05-11	GP0824_03	Grape Pie	reissue	MISSING	MISSING	MISSING	MISSING
QCiCoA 016/01	QCCoQ 016 v.01	2025-07-29	MB0824_05	Motor Breath	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 017/01	QCCoQ 017 v.01	2025-07-29	OPM1024_03	Orange Punch Mimosa	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 018/01	QCCoQ 018 v.01	2025-09-17	CJ052501_1	Cap Junky	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 019/01	QCCoQ 019 v.01	2025-09-17	CJ052501_2	Cap Junky	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 020/01	QCCoQ 020 v.01	2025-09-19	GP052501	Grape Pie	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 020/02	QCCoQ 020 v.02	2026-08-10	GP052501	Grape Pie	reissue	MISSING	MISSING	MISSING	MISSING
QCiCoA 021/01	QCCoQ 021 v.01	2025-09-19	HPA052501	High Pro Amnesia	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 022/01	QCCoQ 022 v.01	2025-10-24	CJ062501_2	Cap Junky	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 023/01	QCCoQ 023 v.01	2025-11-24	GP062501	Grape Pie	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 023/02	QCCoQ 023 v.02	2026-03-05	GP062501	Grape Pie	reissue	MISSING	MISSING	MISSING	MISSING
QCiCoA 024/01	QCCoQ 024 v.01	2025-12-01	CJ062501_1	Cap Junky	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 025/01	QCCoQ 025 v.01	2025-12-02	CJ072501	Cap Junky	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 026/01	QCCoQ 026 v.01	2025-12-02	CLE072501	Clemosa A Bud	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 027/01	QCCoQ 027 v.01	2025-12-02	WC072501	Wedding Crasher	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 028/01	QCCoQ 028 v.01	2025-12-04	BSS052501	Blue Sunset Sherbet	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 029/01	QCCoQ 029 v.01	2025-12-12	GP072501_1	Grape Pie	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 030/01	QCCoQ 030 v.01	2025-12-12	GP072501_2	Grape Pie	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 031/01	QCCoQ 031 v.01	2025-12-12	GP082501_1	Grape Pie	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 032/01	QCCoQ 032 v.01	2025-12-12	GP082501_2	Grape Pie	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 032/02	QCCoQ 032 v.02	2026-08-10	GP082501_2	Grape Pie	reissue	HELD	HELD	HELD	MISSING
QCiCoA 033/01	QCCoQ 033 v.01	2026-01-21	CJ082501_2	Cap Junky	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 033/02	QCCoQ 033 v.02	2026-08-10	CJ082501_2	Cap Junky	reissue	MISSING	MISSING	MISSING	MISSING
QCiCoA 034/01	QCCoQ 034 v.01	2026-01-21	GP092501	Grape Pie	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 035/01	QCCoQ 035 v.01	2026-02-02	AB092501	Appels & Bananas	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 036/01	QCCoQ 036 v.01	2026-02-02	CJ082501_1	Cap Junky	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 037/01	QCCoQ 037 v.01	2026-02-02	CJ092501	Cap Junky	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 038/01	QCCoQ 038 v.01	2026-02-02	PM092501	Permanent Marker	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 038/02	QCCoQ 038 v.02	2026-08-10	PM092501	Permanent Marker	reissue	MISSING	MISSING	MISSING	MISSING
QCiCoA 039/01	QCCoQ 039 v.01	2026-02-02	SJ092501	Sleepy Joe	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 040/01	QCCoQ 040 v.01	2026-02-02	WC082501	Wedding Crasher	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 041/01	QCCoQ 041 v.01	2026-02-03	OPM092501	Orange Punch Mimosa	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 042/01	QCCoQ 042 v.01	2026-03-02	SJ112501	Sleepy Joe	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 043/01	QCCoQ 043 v.01	2026-03-04	GRC102501_2	Grapes and Cream	release	HELD	HELD	HELD	MISSING
QCiCoA 044/01	QCCoQ 044 v.01	2026-03-04	J31102501	Jokerz 31	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 044/02	QCCoQ 044 v.02	2026-08-10	J31102501	Jokerz 31	reissue	MISSING	MISSING	MISSING	MISSING
QCiCoA 045/01	QCCoQ 045 v.01	2026-03-04	KC102501	Kush Crasher	release	HELD	HELD	HELD	MISSING
QCiCoA 046/01	QCCoQ 046 v.01	2026-03-04	SJ102501	Sleepy Joe	release	HELD	HELD	HELD	MISSING
QCiCoA 047/01	QCCoQ 047 v.01	2026-03-05	PM112501	Permanent Marker	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 048/01	QCCoQ 048 v.01	2026-04-09	J31112501	Jokerz 31	release	HELD	HELD	MISSING	MISSING
QCiCoA 049/01	QCCoQ 049 v.01	2026-04-23	OPM122501	Orange Punch Mimosa	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 049/02	QCCoQ 049 v.02	2026-08-10	OPM122501	Orange Punch Mimosa	reissue	HELD	HELD	HELD	MISSING
QCiCoA 050/01	QCCoQ 050 v.01	2026-04-29	CC112501	Cash Cow	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 051/01	QCCoQ 051 v.01	2026-04-29	FB112501	Fat Bastard	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 052/01	QCCoQ 052 v.01	2026-05-11	FB012601_1	Fat Bastard	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 053/01	QCCoQ 053 v.01	2026-05-11	GG012601*	Gorilla Glue	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 054/01	QCCoQ 054 v.01	2026-05-11	GG112501	Gorilla Glue	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 055/01	QCCoQ 055 v.01	2026-05-11	JD012601*	Jelly Donuts	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 056/01	QCCoQ 056 v.01	2026-05-11	JD112501*	Jelly Donuts	release	MISSING	MISSING	MISSING	MISSING
QCiCoA 057/01	QCCoQ 057 v.01	2026-05-11	PO50022	Grape Pie	release	MISSING	MISSING	MISSING	MISSING
