# Head of QC priority list, 31.08.2026 — run these batches' eCoAs first, in this order.
# strain	cultivation_batch	pp_batch
Blue Gelato	BG1024	BG1024
Blue Sunset Sherbet	BSS1024	BSS1024
Cap Junky	CJ052501/01	P050162
Cap Junky	CJ082501/2	P060032
Fat Bastard	FB012602	P060352
Gorilla Glue	GG012603	P060402
Gorilla Glue	GG1024_01	P050092
Grape Pie	GP052501	P050152
Grape Pie	GP0824_02	P050022
Grape Pie	GP082501/2	P050322
High Pro Amnesia	HPA1024	HPA1024
High Pro Amnesia	HPA1024_01	P050052
Jelly Donuts	JD112501	P060212
Jokerz 31	J31102501	P060152
Orange Punch Mimosa	OPM1024	OPM1024
Orange Punch Mimosa	OPM1024_02	P050062
Orange Punch Mimosa	OPM122501	P060242
Permanent Marker	PM092501	P060062
Scrambler	SCR012603	P060382
Amnesia Core Cut	ACC102501	P060122
Blue Sunset Sherbet	BSS052501	P050192
Cap Junky	CJ062501/1	P050222
Cap Junky	CJ082501/1	P060022
Cap Junky	CJ092501	P060072
Cash Cow	CC012603	P060372
Chem Flyer	CF102501	P060132
Clemosa A Bud	CLE072501	P050282
Fat Bastard	FB012601/1	P060322
Gorilla Glue	GG1024	GG1024
Grape Pie	GP072501/2	P050302
Grape Pie	GP0824_03	P050072
Grape Pie	GP082501/1	P050312
Grape Pie	GP092501	P060092
Grapes and Cream	GRC102501/2	P060182
High Pro Amnesia	HPA052501	P050182
Jelly Donuts	JD012603/01	P060362
Jelly Donuts	JD012603/02	P060412
Jelly Donuts	JD012603/02V	P060422
Kush Crasher	KC102501	P060172
Motor Breath	MB0824_05	P050112
Orange Punch Mimosa	OMP1024_01	P050042
Orange Punch Mimosa	OPM092501	P060042
Orange Punch Mimosa	OPM1024_03	P050082
Permanent Marker	PM112501	P060232
Pure Michigen	PUM102501	P060112
Scrambler	SCR112501	P060282
Sleepy Joe	SJ092501	P060082
Wedding Crusher	WC082501	P060012
Appels & Bananas	AB092501	P060052
Blue Sunset Sherbet	BSS1024_01/1	P050122
Cap Junky	CJ052501/02	P050172
Cap Junky	CJ072501	P050252
Cap Junky	CJ1024	CJ1024
CashCow	CC112501	P060272
Fat Bastard	FB012603	P060432
Fat Bastard	FB012603V	P060392
Fat Bastard	FB112501	P060292
Gorilla Glue	GG012601	P060302
Gorilla Glue	GG112501	P060252
Gorilla Glue	GG1024_02	P050012
Grape Pie	GP062501	P050202
Grape Pie	GP072501/1	P050292
Grapes and Cream	GRC102501/1	P060142
Jelly Donuts	JD012601	P060312
Jokerz 31	J31112501	P060202
Jokerz 31	J31122501	P060262
Motor Breath	MB0824_04	P050032
Orange Punch Mimosa	OPM052501	P050132
Orange Punch Mimosa	OPM112501	P060222
Permanent Marker	PM072501	P050272
Scrambler	SCR012601	P060342
Scrambler	SCR022601	P060442
Sleepy Joe	SJ102501	P060162
Sleepy Joe	SJ112501	P060192
Wedding Cake	WED102501	P060102
Wedding Crusher	WC072501	P050262
